name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
24 Hour Fitness,basketball,fitness_centre,32.9210726,-96.9758244,,,TX,,false,true,false,openstreetmap
3 Point Challenge,basketball,pitch,29.5966832,-98.6091398,,,TX,,false,true,false,openstreetmap
Al G. Langford Chaparral Center,basketball,sports_centre,32.0279507,-102.1027279,,,TX,,false,true,false,openstreetmap
Alamo Convocation Center,basketball,sports_centre,29.4627999,-98.4779125,,,TX,,false,true,false,openstreetmap
Antelope Gym,basketball,pitch,33.8303939,-101.8472591,,,TX,,false,true,false,openstreetmap
Arlie White Memorial Basketball Court,basketball,pitch,32.7613314,-96.2744615,,,TX,,false,true,false,openstreetmap
Arlington Park,basketball,pitch,31.9110734,-106.4340815,,,TX,,false,true,false,openstreetmap
Autry Court,basketball,pitch,29.7151,-95.4037,,,TX,,false,true,false,openstreetmap
Basketball,basketball,pitch,28.8161874,-97.8623501,,,TX,,false,true,false,openstreetmap
Basketball,basketball,pitch,28.8161522,-97.8625774,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.5788261,-101.8838245,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,32.6416116,-96.9546673,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.0991805,-96.1232087,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,34.9698072,-101.9097824,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,32.9523372,-96.5394599,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,31.9830603,-102.0861334,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.2752972,-96.7995064,,,TX,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.6381796,-101.8244828,,,TX,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,31.9655096,-102.1373428,,,TX,,false,true,false,openstreetmap
Basketball Goal Practice,basketball,pitch,30.2124119,-95.4684963,,,TX,,false,true,false,openstreetmap
Basketball Pavilion,basketball,pitch,30.1177443,-95.5958521,,,TX,,false,true,false,openstreetmap
Basketball court at Cross Creek Ranch Arbor Park,basketball,pitch,29.7044358,-95.8615129,,,TX,,false,true,false,openstreetmap
Basketball courts,basketball,pitch,32.030642,-102.1571804,,,TX,,false,true,false,openstreetmap
Basletball Court,basketball,pitch,33.57076,-101.9608384,,,TX,,false,true,false,openstreetmap
Big REC. Yard Wallball Court,basketball,pitch,31.3954193,-103.5348039,,,TX,,false,true,false,openstreetmap
Big Yard Basketball Court,basketball,pitch,31.395354,-103.5344209,,,TX,,false,true,false,openstreetmap
Bradshaw Basketball Courts,basketball,pitch,32.6998891,-96.9860834,,,TX,,false,true,false,openstreetmap
Candler Physical Education Center,basketball,sports_centre,29.4453818,-98.4986973,,,TX,,false,true,false,openstreetmap
Carver Park Basketball Court,basketball,pitch,32.3573197,-97.3731523,,,TX,,false,true,false,openstreetmap
Central Park Dream Court,basketball,pitch,32.8315115,-97.1340774,,,TX,,false,true,false,openstreetmap
Chevron Basketball Court,basketball,pitch,31.9895477,-102.1660968,,,TX,,false,true,false,openstreetmap
Church Basketball Court,basketball,pitch,32.3841264,-94.8719665,,,TX,,false,true,false,openstreetmap
Cockrell Basketball Court,basketball,pitch,33.2467312,-96.7370517,,,TX,,false,true,false,openstreetmap
Comerica Center,basketball,sports_centre,33.1005668,-96.8194322,,,TX,,false,true,false,openstreetmap
Court 1,basketball,pitch,32.2161078,-98.222426,,,TX,,false,true,false,openstreetmap
Court 2,basketball,pitch,32.2162212,-98.2225092,,,TX,,false,true,false,openstreetmap
Court 3,basketball,pitch,32.2163392,-98.2225856,,,TX,,false,true,false,openstreetmap
Crawford Park Basketball Court #1,basketball,pitch,32.5958831,-96.9556913,,,TX,,false,true,false,openstreetmap
Crawford Park Basketball Court #2,basketball,pitch,32.5958775,-96.9555457,,,TX,,false,true,false,openstreetmap
