name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Bonita Beach and Tennis Club,pickleball,pitch,26.3318741,-81.842311,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,pickleball,pitch,26.3318718,-81.8422179,,,FL,,false,true,false,openstreetmap
Crescent Lake Pickleball Courts,pickleball,pitch,27.7851883,-82.6425818,,,FL,,false,true,false,openstreetmap
Flynn Park Pickleball Court,pickleball,pitch,30.1492208,-81.6397803,,,FL,,false,true,false,openstreetmap
Langford Park Pickleball,pickleball,pitch,27.2252414,-80.2206081,,,FL,,false,true,false,openstreetmap
PB #1,pickleball,pitch,27.6828263,-80.3939466,,,FL,,false,true,false,openstreetmap
PB #2,pickleball,pitch,27.6828249,-80.3940433,,,FL,,false,true,false,openstreetmap
PB #3,pickleball,pitch,27.6830351,-80.3939535,,,FL,,false,true,false,openstreetmap
PB #4,pickleball,pitch,27.6830352,-80.3940516,,,FL,,false,true,false,openstreetmap
Patch Reef Covered Pickleball Courts,pickleball,pitch,26.3887245,-80.1281354,,,FL,,false,true,false,openstreetmap
Pickleball,pickleball,pitch,28.3774325,-81.6759268,,,FL,,false,true,false,openstreetmap
Pickleball,pickleball,pitch,28.3772368,-81.6763376,,,FL,,false,true,false,openstreetmap
Pickleball Court,pickleball,pitch,30.1980344,-81.841696,,,FL,,false,true,false,openstreetmap
Pickleball Courts,pickleball,pitch,29.286252,-81.0859321,,,FL,,false,true,false,openstreetmap
Pickleball Courts,pickleball,sports_centre,29.6458936,-82.3526405,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.825143,-81.9728767,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8251322,-81.9727559,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8251209,-81.9726356,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8249613,-81.9729006,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8249511,-81.9727792,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8249388,-81.972659,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.825274,-81.972377,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8252505,-81.9721751,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8252641,-81.9722752,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8254375,-81.9723537,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.825428,-81.9722536,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8254152,-81.9721527,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8256082,-81.9723291,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8255974,-81.9722274,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8255879,-81.9721281,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8257506,-81.9721042,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.82576,-81.9722043,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8257702,-81.9723059,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8257304,-81.97193,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8257196,-81.9718323,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8257074,-81.9717322,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8255421,-81.9717576,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8255529,-81.9718569,,,FL,,false,true,false,openstreetmap
Rohan Regional Recreation Center,pickleball,pitch,28.8255657,-81.9719563,,,FL,,false,true,false,openstreetmap
Weston Regional Pickleball Court,pickleball,pitch,26.1033795,-80.4194928,,,FL,,false,true,false,openstreetmap
Pickleball Courts,pickleball,pitch,30.5835729,-86.9490897,4074 Yellow River Ranch Road,Milton,FL,32583,false,true,false,openstreetmap
Pickleball Kingdom,pickleball,pitch,27.8369978,-82.6882894,7300 US Highway 19 North,Pinellas Park,FL,33781,true,false,false,openstreetmap
Sebastian Pickleball Complex,pickleball,sports_centre,27.8123473,-80.4881629,160 Airport Drive East,Sebastian,FL,32958,false,true,false,openstreetmap
Central Winds Pickleball Courts,pickleball,pitch,28.7078188,-81.2750719,1000 Central Winds Drive,Winter Springs,FL,32708,false,true,false,openstreetmap
