name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,tennis,pitch,37.7126978,-121.8565069,,,CA,,false,true,false,openstreetmap
1,tennis,pitch,37.5569785,-121.9605529,,,CA,,false,true,false,openstreetmap
10,tennis,pitch,37.5573033,-121.9598781,,,CA,,false,true,false,openstreetmap
11,tennis,pitch,37.5573035,-121.9596711,,,CA,,false,true,false,openstreetmap
12,tennis,pitch,37.5573036,-121.9594641,,,CA,,false,true,false,openstreetmap
13,tennis,pitch,37.5576563,-121.9598761,,,CA,,false,true,false,openstreetmap
14,tennis,pitch,37.5576565,-121.9596691,,,CA,,false,true,false,openstreetmap
15,tennis,pitch,37.5576568,-121.959462,,,CA,,false,true,false,openstreetmap
16,tennis,pitch,37.5579823,-121.9598735,,,CA,,false,true,false,openstreetmap
17,tennis,pitch,37.5579824,-121.9596664,,,CA,,false,true,false,openstreetmap
18,tennis,pitch,37.5579826,-121.9594594,,,CA,,false,true,false,openstreetmap
2,tennis,pitch,37.5569781,-121.9603482,,,CA,,false,true,false,openstreetmap
2,tennis,pitch,37.7126999,-121.8563438,,,CA,,false,true,false,openstreetmap
3,tennis,pitch,37.5569777,-121.9601435,,,CA,,false,true,false,openstreetmap
3,tennis,pitch,37.7127009,-121.8561755,,,CA,,false,true,false,openstreetmap
4,tennis,pitch,37.5569773,-121.9598807,,,CA,,false,true,false,openstreetmap
4,tennis,pitch,37.712702,-121.8560112,,,CA,,false,true,false,openstreetmap
4 minitennis,tennis,pitch,33.7417572,-116.4006591,,,CA,,false,true,false,openstreetmap
4 minitennis,tennis,pitch,33.7417969,-116.400465,,,CA,,false,true,false,openstreetmap
5,tennis,pitch,37.5569775,-121.9596738,,,CA,,false,true,false,openstreetmap
6,tennis,pitch,37.5569778,-121.9594668,,,CA,,false,true,false,openstreetmap
7,tennis,pitch,37.5573064,-121.9605519,,,CA,,false,true,false,openstreetmap
8,tennis,pitch,37.557306,-121.9603472,,,CA,,false,true,false,openstreetmap
9,tennis,pitch,37.5573053,-121.9601425,,,CA,,false,true,false,openstreetmap
963,tennis,pitch,37.409415,-122.0603737,,,CA,,false,true,false,openstreetmap
Abandoned,tennis,pitch,37.4358065,-122.2378584,,,CA,,false,true,false,openstreetmap
Albert A. Hutler Tennis Center,tennis,sports_centre,32.8754701,-117.2170612,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6778373,-118.188666,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6778408,-118.1884998,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6778436,-118.188341,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6778422,-118.1881786,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6781686,-118.1881768,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6781731,-118.1883393,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6781701,-118.1884963,,,CA,,false,true,false,openstreetmap
Antelope Valley College,tennis,pitch,34.6781672,-118.1886622,,,CA,,false,true,false,openstreetmap
Aragon tennis courts,tennis,pitch,37.5491538,-122.3289813,,,CA,,false,true,false,openstreetmap
Arnhold Tennis Center,tennis,sports_centre,34.4168298,-119.8508813,,,CA,,false,true,false,openstreetmap
Aztec Tennis Center,tennis,sports_centre,32.7742125,-117.0805902,,,CA,,false,true,false,openstreetmap
Bay Club Tennis Courts,tennis,pitch,37.5189914,-122.2509481,,,CA,,false,true,false,openstreetmap
Beach Cove Apartments,tennis,pitch,37.5526732,-122.2585367,,,CA,,false,true,false,openstreetmap
Bernardo Pines Tennis Court,tennis,pitch,33.0335563,-117.0751461,,,CA,,false,true,false,openstreetmap
Bodega Harbor Tennis Court 1,tennis,pitch,38.3127618,-123.0267946,,,CA,,false,true,false,openstreetmap
Bodega Harbor Tennis Court 2,tennis,pitch,38.3124821,-123.0270151,,,CA,,false,true,false,openstreetmap
Buena Vista Park Tennis Courts,tennis,sports_centre,37.7694874,-122.439356,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6362103,-117.6573628,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6362082,-117.6571524,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6362055,-117.6569504,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6362029,-117.6567505,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6358709,-117.6567527,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6358735,-117.6569526,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6358762,-117.6571547,,,CA,,false,true,false,openstreetmap
Burroughs High School,tennis,pitch,35.6358781,-117.6573652,,,CA,,false,true,false,openstreetmap
BusterPro Tennis,tennis,pitch,34.0528241,-118.4670142,,,CA,,false,true,false,openstreetmap
Calabasas Park Estates Tennis Courts West,tennis,pitch,34.1386487,-118.6672206,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.786164,-122.4378222,1770 Scott Street,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7861075,-122.4380154,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7861276,-122.4378507,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7861544,-122.4376418,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.786175,-122.4374873,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7861946,-122.4373338,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7857835,-122.4377753,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7858045,-122.4376146,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7858251,-122.4374526,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7858578,-122.4372511,,,CA,,false,true,false,openstreetmap
California Tennis Club,tennis,pitch,37.7858757,-122.4370976,,,CA,,false,true,false,openstreetmap
Carnelian Woods,tennis,pitch,39.2287716,-120.0802261,,,CA,,false,true,false,openstreetmap
Carnelian Woods,tennis,pitch,39.2288676,-120.0804021,,,CA,,false,true,false,openstreetmap
Carnelian Woods,tennis,pitch,39.2289881,-120.0805617,,,CA,,false,true,false,openstreetmap
Castellucci Family Tennis Center,tennis,pitch,37.9800173,-122.5181136,,,CA,,false,true,false,openstreetmap
Claremont Tennis Shop,tennis,pitch,37.8357015,-122.2471515,,,CA,,false,true,false,openstreetmap
Community Tennis Court,tennis,pitch,38.0172914,-121.8768246,,,CA,,false,true,false,openstreetmap
Community Tennis Courts,tennis,pitch,33.9710267,-117.7513003,,,CA,,false,true,false,openstreetmap
Country Club Tennis Courts,tennis,pitch,34.18542,-118.1209056,,,CA,,false,true,false,openstreetmap
Court 1,tennis,pitch,33.1596903,-117.2849387,,,CA,,false,true,false,openstreetmap
Court 1,tennis,pitch,35.2115802,-120.626032,,,CA,,false,true,false,openstreetmap
Court 2,tennis,pitch,33.1596898,-117.2850971,,,CA,,false,true,false,openstreetmap
Court 2,tennis,pitch,35.2116108,-120.6262238,,,CA,,false,true,false,openstreetmap
Court 3,tennis,pitch,33.1596889,-117.2852548,,,CA,,false,true,false,openstreetmap
Court 3,tennis,pitch,35.2112909,-120.6263084,,,CA,,false,true,false,openstreetmap
Court 4,tennis,pitch,33.160021,-117.2849452,,,CA,,false,true,false,openstreetmap
Court 4,tennis,pitch,35.2113253,-120.6265063,,,CA,,false,true,false,openstreetmap
Court 5,tennis,pitch,33.1600213,-117.2851012,,,CA,,false,true,false,openstreetmap
Court 5,tennis,pitch,35.2110326,-120.6265352,,,CA,,false,true,false,openstreetmap
Court 6,tennis,pitch,33.1600185,-117.2852577,,,CA,,false,true,false,openstreetmap
Court 6,tennis,pitch,35.2108806,-120.6266409,,,CA,,false,true,false,openstreetmap
Crystyl Ranch Tennis Courts,tennis,pitch,37.9323478,-121.9764897,,,CA,,false,true,false,openstreetmap
Cyprus Landing Tennis Courts,tennis,pitch,36.6882801,-121.6570675,,,CA,,false,true,false,openstreetmap
Degheri Tennis Center,tennis,pitch,37.3484354,-121.9350141,,,CA,,false,true,false,openstreetmap
Demuth Tennis Court,tennis,pitch,33.8077867,-116.4975931,,,CA,,false,true,false,openstreetmap
Dignity Health Tennis Center,tennis,stadium,33.8625153,-118.261101,,,CA,,false,true,false,openstreetmap
Don Johnson Tennis Courts,tennis,sports_centre,37.3529111,-121.884935,,,CA,,false,true,false,openstreetmap
Douglas F. Manchester Tennis Center,tennis,pitch,32.8415998,-117.2770777,,,CA,,false,true,false,openstreetmap
Dutch Flat Community Center,tennis,pitch,39.2045879,-120.8373599,,,CA,,false,true,false,openstreetmap
East Tennis Courts,tennis,pitch,32.7742563,-117.1818083,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4162481,-119.7403504,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4163269,-119.740167,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4159417,-119.7399892,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4158557,-119.7401875,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4155932,-119.7398685,,,CA,,false,true,false,openstreetmap
Elings Park Tennis Courts,tennis,pitch,34.4155114,-119.7400525,,,CA,,false,true,false,openstreetmap
Flint Canyon Tennis Club,tennis,sports_centre,34.1887663,-118.1820183,265 Berkshire Avenue,,CA,,false,true,false,openstreetmap
Frances M. McAteer Tennis Courts,tennis,pitch,37.7349865,-122.4782693,,,CA,,false,true,false,openstreetmap
Glorietta Park Tennis Courts,tennis,pitch,34.1879267,-118.2275493,,,CA,,false,true,false,openstreetmap
Golden State Tennis,tennis,pitch,37.7803765,-122.4745015,5129 Geary Boulevard,,CA,,false,true,false,openstreetmap
