name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
(P5) - Tennis Courts,tennis,pitch,27.4220262,-80.3577567,,,FL,,false,true,false,openstreetmap
4 tennis courts,tennis,sports_centre,26.6225024,-81.7250447,,,FL,,false,true,false,openstreetmap
Arbor Lakes Tennis Court,tennis,pitch,28.0927695,-82.588792,,,FL,,false,true,false,openstreetmap
Baytree Community Tennis Courts,tennis,pitch,28.2166772,-80.7082219,,,FL,,false,true,false,openstreetmap
Boca Glades Community Tennis Courts,tennis,pitch,26.3700131,-80.1773622,,,FL,,false,true,false,openstreetmap
Boca Springs Tennis,tennis,pitch,26.341491,-80.2083392,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3320669,-81.843478,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3320664,-81.8432931,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.332177,-81.8431089,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3321777,-81.842929,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3321785,-81.8427457,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3321792,-81.8425699,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3321801,-81.8423815,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3318317,-81.8427119,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3318309,-81.8428943,,,FL,,false,true,false,openstreetmap
Bonita Beach and Tennis Club,tennis,pitch,26.3318287,-81.8430768,,,FL,,false,true,false,openstreetmap
Brookside Manor Apartments,tennis,pitch,27.8874546,-82.2697733,,,FL,,false,true,false,openstreetmap
Butch Buchholz,tennis,stadium,25.9567529,-80.241117,,,FL,,false,true,false,openstreetmap
CT1,tennis,pitch,25.955068,-80.2387901,,,FL,,false,true,false,openstreetmap
CT10,tennis,pitch,25.9562223,-80.2415052,,,FL,,false,true,false,openstreetmap
CT11,tennis,pitch,25.9562178,-80.2416874,,,FL,,false,true,false,openstreetmap
CT12,tennis,pitch,25.9562132,-80.2418691,,,FL,,false,true,false,openstreetmap
CT13,tennis,pitch,25.9562087,-80.2420513,,,FL,,false,true,false,openstreetmap
CT14,tennis,pitch,25.9562044,-80.2422338,,,FL,,false,true,false,openstreetmap
CT15,tennis,pitch,25.9561999,-80.2424174,,,FL,,false,true,false,openstreetmap
CT16,tennis,pitch,25.9561954,-80.2426014,,,FL,,false,true,false,openstreetmap
CT17,tennis,pitch,25.9556143,-80.2414874,,,FL,,false,true,false,openstreetmap
CT18,tennis,pitch,25.9556101,-80.2416694,,,FL,,false,true,false,openstreetmap
CT19,tennis,pitch,25.9556059,-80.2418511,,,FL,,false,true,false,openstreetmap
CT2,tennis,pitch,25.9550592,-80.2391694,,,FL,,false,true,false,openstreetmap
CT20,tennis,pitch,25.9556015,-80.2420341,,,FL,,false,true,false,openstreetmap
CT21,tennis,pitch,25.9555973,-80.2422169,,,FL,,false,true,false,openstreetmap
CT22,tennis,pitch,25.9555929,-80.2423996,,,FL,,false,true,false,openstreetmap
CT23,tennis,pitch,25.9555888,-80.2425826,,,FL,,false,true,false,openstreetmap
