name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,tennis,pitch,40.6972327,-73.8578011,,,NY,,false,true,false,openstreetmap
2,tennis,pitch,40.6972669,-73.8576284,,,NY,,false,true,false,openstreetmap
3,tennis,pitch,40.6972971,-73.8574621,,,NY,,false,true,false,openstreetmap
4,tennis,pitch,40.6973275,-73.8572926,,,NY,,false,true,false,openstreetmap
5,tennis,pitch,40.6973603,-73.8571262,,,NY,,false,true,false,openstreetmap
6,tennis,pitch,40.6973868,-73.8569522,,,NY,,false,true,false,openstreetmap
7,tennis,pitch,40.6974169,-73.8567864,,,NY,,false,true,false,openstreetmap
Abandoned,tennis,pitch,41.2638823,-73.8064278,,,NY,,false,true,false,openstreetmap
Activity Court,tennis,pitch,41.9895636,-74.5004548,,,NY,,false,true,false,openstreetmap
Alley Pond Tennis Center,tennis,sports_hall,40.7393265,-73.7358432,,,NY,,false,true,false,openstreetmap
Audubon Tennis Courts,tennis,sports_centre,43.0171445,-78.7716659,,,NY,,false,true,false,openstreetmap
Ausable Acres Tennis Courts,tennis,pitch,44.4129164,-73.7247135,,,NY,,false,true,false,openstreetmap
Blackberry Woods,tennis,park,41.3305068,-73.8452058,,,NY,,false,true,false,openstreetmap
Broadway Ave Park Tennis Courts,tennis,pitch,40.7525555,-73.0686852,,,NY,,false,true,false,openstreetmap
Brookville Park Tennis Courts,tennis,sports_centre,40.6617569,-73.7444603,,,NY,,false,true,false,openstreetmap
Central Park Tennis Center,tennis,sports_centre,40.7899092,-73.9620621,,,NY,,false,true,false,openstreetmap
Chappaqua Swim and Tennis,tennis,pitch,41.1704815,-73.7898069,,,NY,,false,true,false,openstreetmap
Country Point Tennis Courts,tennis,pitch,40.8488808,-72.9883707,,,NY,,false,true,false,openstreetmap
County Tennis Club,tennis,pitch,41.0123573,-73.7930898,,,NY,,false,true,false,openstreetmap
Court #1,tennis,pitch,43.1012858,-77.4571563,,,NY,,false,true,false,openstreetmap
Court #2,tennis,pitch,43.101344,-77.4573019,,,NY,,false,true,false,openstreetmap
Court #3,tennis,pitch,43.1009997,-77.4573746,,,NY,,false,true,false,openstreetmap
Court #4,tennis,pitch,43.1010576,-77.4575189,,,NY,,false,true,false,openstreetmap
Court #5,tennis,pitch,43.1007144,-77.4575916,,,NY,,false,true,false,openstreetmap
Court #6,tennis,pitch,43.1007733,-77.4577364,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,44.7651672,-73.9826795,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.5604776,-77.5989398,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.1623914,-78.7391155,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.1025914,-77.2315995,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.880279,-76.9898413,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.9530243,-76.4284204,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.1664632,-78.9652481,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,43.1552823,-75.8925337,,,NY,,false,true,false,openstreetmap
Court 1,tennis,pitch,42.1210944,-77.011186,,,NY,,false,true,false,openstreetmap
Court 10,tennis,pitch,40.748245,-73.8464654,,,NY,,false,true,false,openstreetmap
Court 11,tennis,pitch,40.7491128,-73.8456379,,,NY,,false,true,false,openstreetmap
Court 12,tennis,pitch,40.7492197,-73.8453143,,,NY,,false,true,false,openstreetmap
Court 13,tennis,pitch,40.7484623,-73.8458312,,,NY,,false,true,false,openstreetmap
Court 14,tennis,pitch,40.7485641,-73.8455304,,,NY,,false,true,false,openstreetmap
Court 15,tennis,pitch,40.7486652,-73.8452288,,,NY,,false,true,false,openstreetmap
Court 16,tennis,pitch,40.7487646,-73.8449271,,,NY,,false,true,false,openstreetmap
Court 16,tennis,pitch,40.7522874,-73.9450302,,,NY,,true,false,false,openstreetmap
Court 2,tennis,pitch,44.7651285,-73.9829627,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.560231,-77.5986461,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.1623939,-78.7389443,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.102619,-77.2314244,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.880281,-76.9896644,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.9530382,-76.4282002,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.1664689,-78.9650743,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,43.1553169,-75.8927166,,,NY,,false,true,false,openstreetmap
Court 2,tennis,pitch,42.1210964,-77.0109991,,,NY,,false,true,false,openstreetmap
