name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Albuquerque Highschool Baseball Field,baseball,pitch,35.0953847,-106.635774,,,NM,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,36.3939307,-105.5744786,,,NM,,false,true,false,openstreetmap
Batter's edge,baseball,pitch,35.0728475,-106.6743154,Jeannette Avenue Southwest,,NM,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,34.403723,-103.2653527,,,NM,,false,true,false,openstreetmap
Bomber Field,baseball,pitch,35.8937953,-106.2867256,,,NM,,false,true,false,openstreetmap
Bonahoom Park,baseball,pitch,36.8984551,-104.4332864,,,NM,,false,true,false,openstreetmap
Boneau Field,baseball,pitch,32.8258243,-104.4336449,,,NM,,false,true,false,openstreetmap
Brady Field,baseball,pitch,34.3913532,-103.2016053,,,NM,,false,true,false,openstreetmap
Bullhead Park,baseball,pitch,35.0521953,-106.5783836,2621 San Pedro Drive Southeast,,NM,,false,true,false,openstreetmap
Bun Ryan Field,baseball,pitch,35.8940285,-106.285401,,,NM,,false,true,false,openstreetmap
Carlsbad High School Softball Field,baseball,pitch,32.4316096,-104.2592704,,,NM,,false,true,false,openstreetmap
Church Field,baseball,pitch,32.8256881,-104.4360917,,,NM,,false,true,false,openstreetmap
Field 1,baseball,pitch,32.3512237,-108.717745,,,NM,,false,true,false,openstreetmap
Field 2,baseball,pitch,32.3514626,-108.7196631,,,NM,,false,true,false,openstreetmap
Field 3,baseball,pitch,32.3508019,-108.7188383,,,NM,,false,true,false,openstreetmap
Field 4,baseball,pitch,32.349918,-108.717262,,,NM,,false,true,false,openstreetmap
Field of Dreams Softball Complex,baseball,pitch,32.3217649,-106.8065563,1601 Bruins Lane,,NM,,false,true,false,openstreetmap
Flag Athletic Field,baseball,pitch,35.0565555,-106.5574942,,,NM,,false,true,false,openstreetmap
Foster Field,baseball,pitch,34.1626465,-103.3444431,,,NM,,false,true,false,openstreetmap
Harty Ball Field Complex,baseball,sports_centre,32.3174286,-106.7601215,1840 East Hadley Avenue,,NM,,false,true,false,openstreetmap
Isleta Little League,baseball,pitch,34.9014947,-106.7022081,,,NM,,false,true,false,openstreetmap
Isleta Little League,baseball,pitch,34.9010317,-106.7025916,,,NM,,false,true,false,openstreetmap
Isotopes Park,baseball,stadium,35.0697073,-106.6292398,,,NM,,false,true,false,openstreetmap
JV Baseball Field,baseball,pitch,35.1542802,-106.5581799,,,NM,,false,true,false,openstreetmap
JV Softball Field,baseball,pitch,35.1508311,-106.5558358,,,NM,,false,true,false,openstreetmap
Jal High School's Babe Ruth Baseball Field,baseball,pitch,32.1076136,-103.1779162,,,NM,,false,true,false,openstreetmap
Jal Little League Field,baseball,pitch,32.1019369,-103.1964676,,,NM,,false,true,false,openstreetmap
John D. Gunther Field,baseball,pitch,35.1173038,-106.556211,,,NM,,false,true,false,openstreetmap
Johnson Field,baseball,pitch,32.8258212,-104.4348685,,,NM,,false,true,false,openstreetmap
Junion Field,baseball,pitch,32.8233387,-104.4370118,,,NM,,false,true,false,openstreetmap
La Cueva Memorial Baseball Park,baseball,pitch,35.1835975,-106.5588326,,,NM,,false,true,false,openstreetmap
Lake Arthur Little League Baseball Field,baseball,pitch,33.003813,-104.3664351,,,NM,,false,true,false,openstreetmap
Langston Field,baseball,pitch,32.8229981,-104.4335081,,,NM,,false,true,false,openstreetmap
Legion Park Baseball Field,baseball,pitch,35.6180638,-105.2296495,,,NM,,false,true,false,openstreetmap
Lobo Baseball Field,baseball,pitch,35.0652274,-106.6323339,,,NM,,false,true,false,openstreetmap
Lobo Softball Field,baseball,pitch,35.0650539,-106.6341584,,,NM,,false,true,false,openstreetmap
Maag Ball Park,baseball,sports_centre,32.3160236,-106.7637022,1700 East Hadley Avenue,,NM,,false,true,false,openstreetmap
Magers Field,baseball,pitch,35.6956116,-105.9346537,,,NM,,false,true,false,openstreetmap
Marburger Baseball Field,baseball,pitch,35.1542774,-106.5565043,,,NM,,false,true,false,openstreetmap
Morris Field,baseball,pitch,35.05584,-106.5954735,,,NM,,false,true,false,openstreetmap
Mount Taylor Fields,baseball,park,35.0555958,-107.4451553,22 Bay Tree Road,,NM,,false,true,false,openstreetmap
Newcomb High baseball field,baseball,pitch,36.2786735,-108.7080861,,,NM,,false,true,false,openstreetmap
Noon Optimist Major Field,baseball,pitch,33.4110034,-104.5411075,,,NM,,false,true,false,openstreetmap
Noon Optimist Minor Field,baseball,pitch,33.4103917,-104.541873,,,NM,,false,true,false,openstreetmap
Noon Optimist Peewee Field,baseball,pitch,33.4109656,-104.5418387,,,NM,,false,true,false,openstreetmap
Oscar Huber Memorial Ballpark,baseball,pitch,35.4107556,-106.1502215,,,NM,,false,true,false,openstreetmap
Paz Ball Park,baseball,sports_centre,32.3197029,-106.7605159,1875 East Hadley Avenue,,NM,,false,true,false,openstreetmap
Practice Field,baseball,pitch,35.158464,-103.7242176,,,NM,,false,true,false,openstreetmap
Presley Askew Field,baseball,pitch,32.2790622,-106.7441143,,,NM,,false,true,false,openstreetmap
R.D. & Joan Dale Hubbard Clubhouse,baseball,pitch,35.0644493,-106.6319352,1719 University Boulevard Southeast,,NM,,false,true,false,openstreetmap
Rickey Field,baseball,pitch,32.8230433,-104.4357526,,,NM,,false,true,false,openstreetmap
Ronald D Gala T-Ball Fields,baseball,pitch,32.3184776,-106.7622689,1800 East Hadley Avenue,,NM,,false,true,false,openstreetmap
Sally Romero Field,baseball,pitch,36.8899523,-104.4457905,,,NM,,false,true,false,openstreetmap
San Jon Little League Field,baseball,pitch,35.1075298,-103.3326771,,,NM,,false,true,false,openstreetmap
San Jon PS Baseball Field,baseball,pitch,35.1077659,-103.3255508,,,NM,,false,true,false,openstreetmap
Softball Complex,baseball,pitch,32.2800754,-106.7439738,,,NM,,false,true,false,openstreetmap
Softball Field,baseball,pitch,36.3945147,-105.5754496,,,NM,,false,true,false,openstreetmap
Steven Martinez Field,baseball,pitch,35.8969057,-106.1200402,,,NM,,false,true,false,openstreetmap
Tesuque Baseball Field,baseball,pitch,35.8062367,-105.966199,,,NM,,false,true,false,openstreetmap
Tingley Field,baseball,pitch,35.0779602,-106.6583872,,,NM,,false,true,false,openstreetmap
Valtierra Ball Park,baseball,park,32.0392639,-106.6862976,,,NM,,false,true,false,openstreetmap
Varsity Softball Field,baseball,pitch,35.1507089,-106.5571501,,,NM,,false,true,false,openstreetmap
WM Baseball Field,baseball,pitch,35.0966843,-106.7131228,,,NM,,false,true,false,openstreetmap
Williams Field,baseball,pitch,32.8229995,-104.4348065,,,NM,,false,true,false,openstreetmap
Worley Field,baseball,pitch,36.7541396,-108.1985885,,,NM,,false,true,false,openstreetmap
Zia Softball Field,baseball,pitch,34.1817726,-103.3499358,,,NM,,false,true,false,openstreetmap
Albuquerque Regional Sports Complex,baseball,stadium,35.0947842,-106.7636673,1801 Arroyo Vista Boulevard Northwest,Albuquerque,NM,87120,false,true,false,openstreetmap
Isotopes Park,baseball,pitch,35.0699269,-106.6290144,1601 Avenida Cesar Chavez Southeast,Albuquerque,NM,87106,false,true,false,openstreetmap
Harold K. Brandt Baseball Field,baseball,pitch,35.6012979,-105.2252442,,Las Vegas,NM,87701,false,true,false,openstreetmap
North Mesa Sports Complex,baseball,sports_centre,35.8935677,-106.287403,565-585 North Mesa Road,Los Alamos,NM,87544,false,true,false,openstreetmap
