name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,40.6612062,-73.9762814,,,NY,,false,true,false,openstreetmap
1,baseball,pitch,40.8005796,-73.925307,,,NY,,false,true,false,openstreetmap
1,baseball,pitch,40.8183027,-73.8778759,,,NY,,false,true,false,openstreetmap
1,baseball,pitch,42.7066171,-73.9662574,,,NY,,false,true,false,openstreetmap
2,baseball,pitch,40.6620566,-73.9747857,,,NY,,false,true,false,openstreetmap
2,baseball,pitch,40.8010423,-73.924651,,,NY,,false,true,false,openstreetmap
2,baseball,pitch,42.7060471,-73.9666786,,,NY,,false,true,false,openstreetmap
3,baseball,pitch,40.6623098,-73.9741937,,,NY,,false,true,false,openstreetmap
3,baseball,pitch,40.8010324,-73.9240721,,,NY,,false,true,false,openstreetmap
3,baseball,pitch,42.7062613,-73.9674533,,,NY,,false,true,false,openstreetmap
4,baseball,pitch,40.6619058,-73.9728157,,,NY,,false,true,false,openstreetmap
4,baseball,pitch,40.8008301,-73.9229668,,,NY,,false,true,false,openstreetmap
4,baseball,pitch,42.7055972,-73.9678033,,,NY,,false,true,false,openstreetmap
5,baseball,pitch,40.6612733,-73.97335,,,NY,,false,true,false,openstreetmap
5,baseball,pitch,40.8001185,-73.9225663,,,NY,,false,true,false,openstreetmap
5,baseball,pitch,42.7063493,-73.9687881,,,NY,,false,true,false,openstreetmap
5 Tool Baseball Academy,baseball,pitch,40.5384702,-74.2327807,,,NY,,false,true,false,openstreetmap
6,baseball,pitch,40.6611235,-73.9739876,,,NY,,false,true,false,openstreetmap
6,baseball,pitch,42.7064436,-73.9681163,,,NY,,false,true,false,openstreetmap
7,baseball,pitch,40.6609234,-73.9749087,,,NY,,false,true,false,openstreetmap
7,baseball,pitch,40.6493976,-73.9697068,,,NY,,false,true,false,openstreetmap
7,baseball,pitch,42.7069452,-73.9684238,,,NY,,false,true,false,openstreetmap
77th Street Baseball Fields,baseball,pitch,40.7845578,-73.9857606,,,NY,,false,true,false,openstreetmap
8,baseball,pitch,42.7070411,-73.9672785,,,NY,,false,true,false,openstreetmap
9,baseball,pitch,40.8000318,-73.9212724,,,NY,,false,true,false,openstreetmap
A Diamond,baseball,pitch,42.797512,-73.9089177,,,NY,,false,true,false,openstreetmap
A. J. Snyder Field,baseball,pitch,41.8396103,-74.101763,,,NY,,false,true,false,openstreetmap
Ackley Field,baseball,pitch,43.0857973,-77.5091316,,,NY,,false,true,false,openstreetmap
Adventure Landing Batting Cages,baseball,sports_centre,43.2123909,-77.7166487,,,NY,,false,true,false,openstreetmap
Albertson Park Baseball Diamond 1,baseball,pitch,40.7645699,-73.6505772,,,NY,,false,true,false,openstreetmap
Albertson Park Baseball Diamond 2,baseball,pitch,40.7640603,-73.6495757,,,NY,,false,true,false,openstreetmap
Alken Avenue Baseball Fields,baseball,pitch,40.6969324,-73.4907231,,,NY,,false,true,false,openstreetmap
All 4 Fun Batting Cages,baseball,batting_cage,42.7641284,-73.8091415,,,NY,,false,true,false,openstreetmap
Allen Terjesen Batting Cage,baseball,pitch,40.6442259,-74.1058208,,,NY,,false,true,false,openstreetmap
American Legion Memorial Field,baseball,pitch,42.6357914,-73.7728294,,,NY,,false,true,false,openstreetmap
Angelo Lorenzo Memorial Baseball Feild,baseball,pitch,40.8093464,-73.6017769,,,NY,,false,true,false,openstreetmap
Anthony Varvaro Memorial Complex,baseball,sports_centre,40.6433819,-74.1054087,,,NY,,false,true,false,openstreetmap
Ashby Field,baseball,pitch,42.5391262,-73.7255866,,,NY,,false,true,false,openstreetmap
Ashby Field,baseball,pitch,42.5395163,-73.7246789,,,NY,,false,true,false,openstreetmap
B Diamond,baseball,pitch,42.7955767,-73.9102765,,,NY,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,41.2044471,-73.9711727,,,NY,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,41.7917535,-74.0665597,,,NY,,false,true,false,openstreetmap
