name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,baseball,pitch,35.302883,-80.8331768,,,NC,,false,true,false,openstreetmap
#2,baseball,pitch,35.3026926,-80.8319731,,,NC,,false,true,false,openstreetmap
#3,baseball,pitch,35.3016807,-80.8322118,,,NC,,false,true,false,openstreetmap
#4,baseball,pitch,35.3018751,-80.833455,,,NC,,false,true,false,openstreetmap
1,baseball,pitch,35.259453,-82.7056683,,,NC,,false,true,false,openstreetmap
2,baseball,pitch,35.2586972,-82.7056636,,,NC,,false,true,false,openstreetmap
3,baseball,pitch,35.2579949,-82.7057637,,,NC,,false,true,false,openstreetmap
4,baseball,pitch,35.2579124,-82.7067801,,,NC,,false,true,false,openstreetmap
5,baseball,pitch,35.259008,-82.7069686,,,NC,,false,true,false,openstreetmap
6,baseball,pitch,35.2591468,-82.70491,,,NC,,false,true,false,openstreetmap
A,baseball,pitch,35.0663475,-80.7395052,,,NC,,false,true,false,openstreetmap
Abbey Yard Baseball Field,baseball,pitch,35.2595006,-81.039631,,,NC,,false,true,false,openstreetmap
All-Star Field,baseball,pitch,36.4363,-81.4691088,,,NC,,false,true,false,openstreetmap
Aquadale Youth League,baseball,pitch,35.2275909,-80.2220026,,,NC,,false,true,false,openstreetmap
Asheville High Baseball Field,baseball,pitch,35.5706672,-82.552071,,,NC,,false,true,false,openstreetmap
Atrium Health Ballpark,baseball,sports_centre,35.4982972,-80.6271427,,,NC,,false,true,false,openstreetmap
B,baseball,pitch,35.0652828,-80.7392014,,,NC,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,35.0041652,-80.7108555,,,NC,,false,true,false,openstreetmap
Ballfield #1,baseball,pitch,35.1646645,-80.7046362,,,NC,,false,true,false,openstreetmap
Ballfield #2,baseball,pitch,35.1652953,-80.7051879,,,NC,,false,true,false,openstreetmap
Barnes Field,baseball,pitch,35.840141,-77.0669607,,,NC,,false,true,false,openstreetmap
Barton College Baseball,baseball,pitch,35.7441437,-77.9136776,,,NC,,false,true,false,openstreetmap
Baseball #1,baseball,pitch,35.1945863,-80.8415526,,,NC,,false,true,false,openstreetmap
Baseball #2,baseball,pitch,35.1950751,-80.841209,,,NC,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,35.0618338,-78.6957468,,,NC,,false,true,false,openstreetmap
Batting Cage,baseball,yes,36.267541,-76.2106622,,,NC,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,35.7085403,-78.6108379,,,NC,,false,true,false,openstreetmap
Batting Range,baseball,pitch,34.6951909,-77.0678257,,,NC,,false,true,false,openstreetmap
Bauer Baseball Field,baseball,pitch,36.0144777,-77.7774256,,,NC,,false,true,false,openstreetmap
Beaver Field,baseball,pitch,36.2113182,-81.6928074,,,NC,,false,true,false,openstreetmap
Bill Durham Athletic Field,baseball,pitch,35.878852,-79.4374007,,,NC,,false,true,false,openstreetmap
Bob Gryder Stadium,baseball,pitch,35.91792,-81.1875419,,,NC,,false,true,false,openstreetmap
Bob Walton Field,baseball,pitch,35.1426631,-80.802386,,,NC,,false,true,false,openstreetmap
Bonner-Ballard Field,baseball,pitch,34.5316109,-79.2968699,,,NC,,false,true,false,openstreetmap
Boshamer Stadium,baseball,stadium,35.9063494,-79.0431444,,,NC,,false,true,false,openstreetmap
Brevard College Softball Field,baseball,pitch,35.235864,-82.7229397,,,NC,,false,true,false,openstreetmap
Brooks Field,baseball,stadium,34.2218815,-77.8733865,,,NC,,false,true,false,openstreetmap
Bryson Field,baseball,pitch,35.905815,-79.0432514,,,NC,,false,true,false,openstreetmap
Buck Fraley Baseball Field,baseball,pitch,35.3825168,-81.3763226,,,NC,,false,true,false,openstreetmap
Buck Hardee Field,baseball,pitch,34.2031743,-77.9370947,,,NC,,false,true,false,openstreetmap
Buck Leonard Park,baseball,pitch,35.9344822,-77.804796,,,NC,,false,true,false,openstreetmap
Burlington Athletic Stadium,baseball,stadium,36.0873942,-79.4097479,,,NC,,false,true,false,openstreetmap
Burrus Field,baseball,pitch,35.2644569,-75.5266206,,,NC,,false,true,false,openstreetmap
C.B. Huss Recreation Complex Baseball,baseball,pitch,35.2410306,-81.0743516,,,NC,,false,true,false,openstreetmap
