name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Air Force Field,baseball,pitch,40.3557479,-111.9067397,,,UT,,false,true,false,openstreetmap
Army Field,baseball,pitch,40.355751,-111.9050344,,,UT,,false,true,false,openstreetmap
Barnes Park Field 1,baseball,pitch,41.041205,-111.9602879,,,UT,,false,true,false,openstreetmap
Barnes Park Field 2,baseball,pitch,41.0412019,-111.9589253,,,UT,,false,true,false,openstreetmap
Barnes Park Field 3,baseball,pitch,41.0401742,-111.9589252,,,UT,,false,true,false,openstreetmap
Barnes Park Field 4,baseball,pitch,41.0401742,-111.9602879,,,UT,,false,true,false,openstreetmap
Barnes Park Field 5,baseball,pitch,41.0391671,-111.9588828,,,UT,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.7154035,-112.1040024,,,UT,84044,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.3242375,-111.9874139,,,UT,,false,true,false,openstreetmap
Bruce Hurst Field,baseball,pitch,37.0986608,-113.5651707,,,UT,,false,true,false,openstreetmap
Bullpen,baseball,pitch,41.3241845,-111.9866107,,,UT,,false,true,false,openstreetmap
Bullpen,baseball,pitch,41.323339,-111.9876788,,,UT,,false,true,false,openstreetmap
Castle Dale Baseball Diamond,baseball,pitch,39.2094005,-111.011106,,,UT,,false,true,false,openstreetmap
Castle Dale Baseball Diamond,baseball,pitch,39.2101833,-111.0109573,,,UT,,false,true,false,openstreetmap
Cate Field,baseball,pitch,40.5869249,-111.9759325,,,UT,,false,true,false,openstreetmap
Church of Jesus Christ of Latter-day Saints,baseball,pitch,40.6377995,-111.9901789,,,UT,,false,true,false,openstreetmap
Coast Guard Field,baseball,pitch,40.3563614,-111.9074334,,,UT,,false,true,false,openstreetmap
Cooper Fields,baseball,pitch,37.099942,-113.5651879,,,UT,,false,true,false,openstreetmap
Derks Field,baseball,pitch,40.7405595,-111.8925838,,,UT,,false,true,false,openstreetmap
Diamond 1,baseball,pitch,40.7859623,-111.9348079,,,UT,,false,true,false,openstreetmap
Diamond 2,baseball,pitch,40.7858998,-111.935563,,,UT,,false,true,false,openstreetmap
East High School Baseball Field,baseball,pitch,40.750565,-111.8523783,,,UT,,false,true,false,openstreetmap
Field #1,baseball,pitch,41.1426686,-112.0801978,,,UT,,false,true,false,openstreetmap
Field #1,baseball,pitch,41.1424716,-112.0799169,,,UT,,false,true,false,openstreetmap
Field #1,baseball,pitch,41.1641655,-111.9645299,,,UT,,false,true,false,openstreetmap
Field #1,baseball,pitch,40.6076558,-111.9462223,,,UT,,false,true,false,openstreetmap
Field #2,baseball,pitch,41.1426686,-112.0806097,,,UT,,false,true,false,openstreetmap
Field #2,baseball,pitch,41.142483,-112.0808892,,,UT,,false,true,false,openstreetmap
Field #2,baseball,pitch,41.1645354,-111.9645208,,,UT,,false,true,false,openstreetmap
Field #2,baseball,pitch,40.607652,-111.9454564,,,UT,,false,true,false,openstreetmap
Field #3,baseball,pitch,41.1429853,-112.0805926,,,UT,,false,true,false,openstreetmap
Field #3,baseball,pitch,41.143213,-112.0808862,,,UT,,false,true,false,openstreetmap
Field #3,baseball,pitch,41.1643399,-111.9651135,,,UT,,false,true,false,openstreetmap
Field #3,baseball,pitch,40.6068411,-111.9452513,,,UT,,false,true,false,openstreetmap
Field #4,baseball,pitch,41.142953,-112.0801892,,,UT,,false,true,false,openstreetmap
Field #4,baseball,pitch,41.143211,-112.0799084,,,UT,,false,true,false,openstreetmap
Field #4,baseball,pitch,40.6069863,-111.94623,,,UT,,false,true,false,openstreetmap
Field 1,baseball,pitch,40.3209903,-111.6987885,,,UT,,false,true,false,openstreetmap
Field 1,baseball,pitch,40.3311358,-112.0190265,,,UT,,false,true,false,openstreetmap
Field 2,baseball,pitch,40.3218626,-111.698793,,,UT,,false,true,false,openstreetmap
Field 2,baseball,pitch,40.3300387,-112.0190328,,,UT,,false,true,false,openstreetmap
Field 4,baseball,pitch,40.2905362,-111.7366964,,,UT,,false,true,false,openstreetmap
Field 4,baseball,pitch,40.2913456,-111.7384579,,,UT,,false,true,false,openstreetmap
Field 4,baseball,pitch,40.2918997,-111.7376645,,,UT,,false,true,false,openstreetmap
Field 4,baseball,pitch,40.291534,-111.7366236,,,UT,,false,true,false,openstreetmap
Field 5,baseball,pitch,40.2904937,-111.7380491,,,UT,,false,true,false,openstreetmap
First Responders Field,baseball,pitch,40.3563807,-111.9043374,,,UT,,false,true,false,openstreetmap
Gammon Field,baseball,pitch,40.2961046,-111.747673,,,UT,,false,true,false,openstreetmap
Glenmoor Field,baseball,pitch,40.5770055,-112.0002201,,,UT,,false,true,false,openstreetmap
Layton City,baseball,pitch,41.0933574,-111.9254204,,,UT,,false,true,false,openstreetmap
Layton City,baseball,pitch,41.093571,-111.9244001,,,UT,,false,true,false,openstreetmap
Layton City,baseball,pitch,41.0751192,-111.9350667,,,UT,,false,true,false,openstreetmap
Layton City,baseball,pitch,41.0751925,-111.9339692,,,UT,,false,true,false,openstreetmap
Lindquist Field,baseball,pitch,41.2241963,-111.9749225,,,UT,,false,true,false,openstreetmap
Mapleton City Park Ball Field,baseball,pitch,40.1292148,-111.5765194,,,UT,,false,true,false,openstreetmap
Marines Field,baseball,pitch,40.3569887,-111.9067458,,,UT,,false,true,false,openstreetmap
Navy Field,baseball,pitch,40.3569966,-111.9050395,,,UT,,false,true,false,openstreetmap
Norma Carr Softball Field,baseball,pitch,40.6742162,-111.9472419,,,UT,,false,true,false,openstreetmap
North Castle Dale Baseball Field,baseball,pitch,39.2219477,-111.0237767,,,UT,,false,true,false,openstreetmap
Practice Field,baseball,pitch,40.7838758,-111.9347145,,,UT,,false,true,false,openstreetmap
Provo High Baseball,baseball,pitch,40.2505206,-111.7192161,,,UT,,false,true,false,openstreetmap
San Rafael Junior High Baseball Diamond,baseball,pitch,39.0818194,-111.1369522,,,UT,,false,true,false,openstreetmap
San Rafael Junior High Baseball Diamond,baseball,pitch,39.0814755,-111.1369867,,,UT,,false,true,false,openstreetmap
Starkey Field,baseball,pitch,41.0689457,-111.9611262,,,UT,,false,true,false,openstreetmap
Summit Academy High School Baseball Diamond,baseball,pitch,40.4815569,-111.9085664,,,UT,,false,true,false,openstreetmap
Sunset View Field,baseball,pitch,40.2287006,-111.6862641,,,UT,,false,true,false,openstreetmap
The Ballpark at America First Square,baseball,stadium,40.5496432,-112.0223716,,,UT,,false,true,false,openstreetmap
The Church of Jesus Christ of Latter Day Saints,baseball,pitch,41.156464,-112.053319,,,UT,,false,true,false,openstreetmap
Trailside Field,baseball,pitch,40.3049998,-111.7449916,,,UT,,false,true,false,openstreetmap
UCCU Ballpark,baseball,stadium,40.2768102,-111.7171312,,,UT,,false,true,false,openstreetmap
Walt Borla Field,baseball,pitch,39.6932675,-110.8666171,,,UT,,false,true,false,openstreetmap
Wendell Snow Field,baseball,pitch,41.0683808,-111.9617541,,,UT,,false,true,false,openstreetmap
Wolverine Softball Field,baseball,pitch,40.277716,-111.7185986,,,UT,,false,true,false,openstreetmap
Smith's Ballpark,baseball,stadium,40.7407317,-111.8927968,77 West 1300 South,Salt Lake City,UT,84115,false,true,false,openstreetmap
