name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,basketball,pitch,37.7133925,-121.8565382,,,CA,,false,true,false,openstreetmap
2,basketball,pitch,37.7133944,-121.8563319,,,CA,,false,true,false,openstreetmap
3,basketball,pitch,37.7133971,-121.8561254,,,CA,,false,true,false,openstreetmap
3 / Gym,basketball,sports_hall,34.4927297,-118.6544236,,,CA,,false,true,false,openstreetmap
4,basketball,pitch,37.7133987,-121.8559188,,,CA,,false,true,false,openstreetmap
5000 / GYM,basketball,sports_hall,34.14484,-118.2328371,,,CA,,false,true,false,openstreetmap
ASA Basketball,basketball,pitch,37.9287947,-122.0242132,,,CA,,false,true,false,openstreetmap
Al Attles Court,basketball,pitch,37.8004993,-122.2685299,,,CA,,false,true,false,openstreetmap
Arcata High Home Basketball Court,basketball,pitch,40.8777936,-124.0890569,,,CA,,true,false,false,openstreetmap
BBall,basketball,pitch,33.7048728,-116.6500496,,,CA,,false,true,false,openstreetmap
BBall,basketball,pitch,33.7044956,-116.6500893,,,CA,,false,true,false,openstreetmap
Basketball,basketball,pitch,37.9193676,-122.00216,,,CA,,false,true,false,openstreetmap
Basketball 1,basketball,pitch,37.711911,-121.8761205,,,CA,,false,true,false,openstreetmap
Basketball 2,basketball,pitch,37.7119107,-121.8759124,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.6789887,-117.1689645,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,37.883355,-119.8563762,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.9013221,-117.2491869,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,36.7281007,-118.1496858,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,32.6770187,-117.078932,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.8209533,-118.0304387,,,CA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,37.0478181,-122.052553,,,CA,,false,true,false,openstreetmap
Basketball Court #!,basketball,pitch,36.7276024,-119.7438336,,,CA,,false,true,false,openstreetmap
Basketball Court #2,basketball,pitch,36.7276061,-119.7436291,,,CA,,false,true,false,openstreetmap
Basketball Court 1,basketball,pitch,37.4082853,-121.9059018,,,CA,,false,true,false,openstreetmap
Basketball Court 2,basketball,pitch,37.4085019,-121.9059467,,,CA,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,36.8426126,-121.383455,,,CA,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,32.8954285,-117.0983605,,,CA,,false,true,false,openstreetmap
Basketball Half Court,basketball,pitch,32.7793916,-117.1466341,,,CA,,false,true,false,openstreetmap
Basketball Half Court,basketball,pitch,32.7794333,-117.1464584,,,CA,,false,true,false,openstreetmap
Basketball court,basketball,pitch,37.8327863,-122.285211,,,CA,,false,true,false,openstreetmap
Basketball court,basketball,pitch,34.1033671,-118.3358745,,,CA,,false,true,false,openstreetmap
Basketball court,basketball,pitch,38.733739,-121.2526125,,,CA,,false,true,false,openstreetmap
Basketball courts,basketball,pitch,36.8799828,-121.5559276,,,CA,,false,true,false,openstreetmap
Basketball courts,basketball,pitch,38.1671033,-122.238299,,,CA,,false,true,false,openstreetmap
Basketball courts,basketball,pitch,38.1671706,-122.237417,,,CA,,false,true,false,openstreetmap
Berkeley Student Cooperative,basketball,pitch,37.8651726,-122.2597325,,,CA,,false,true,false,openstreetmap
Beta Basketball Court,basketball,pitch,37.982126,-121.3111632,,,CA,,false,true,false,openstreetmap
Blue Group Meeting Area,basketball,pitch,37.2392911,-122.0692914,,,CA,,false,true,false,openstreetmap
Bob Miller,basketball,pitch,34.0437087,-118.2665084,,,CA,,false,true,false,openstreetmap
Bobby Winslow Court,basketball,pitch,37.8728166,-122.2784251,,,CA,,false,true,false,openstreetmap
Bodega Harbor Basketball Court,basketball,pitch,38.3124286,-123.0271924,,,CA,,false,true,false,openstreetmap
Brisbane Basketball Courts,basketball,pitch,37.6856929,-122.4025205,,,CA,,false,true,false,openstreetmap
Burroughs High School,basketball,pitch,35.6351387,-117.6570259,,,CA,,false,true,false,openstreetmap
"California State University, Northridge",basketball,pitch,34.2477532,-118.5242219,,,CA,,false,true,false,openstreetmap
Calvert Court,basketball,pitch,34.0540461,-117.2163915,,,CA,,false,true,false,openstreetmap
Calwa Halfcourt,basketball,pitch,36.7155195,-119.7486664,,,CA,,false,true,false,openstreetmap
Carmel Mountain Ranch/Sabre Springs Recreation Center,basketball,sports_hall,32.9670161,-117.0912886,,,CA,,false,true,false,openstreetmap
Carmel Valley Rec Outdoor Court 1,basketball,pitch,32.9486834,-117.2329367,,,CA,,false,true,false,openstreetmap
Carmel Valley Rec Outdoor Court 2,basketball,pitch,32.9486796,-117.2327677,,,CA,,false,true,false,openstreetmap
Castano Court,basketball,pitch,37.424756,-122.1613327,,,CA,,false,true,false,openstreetmap
Centennial Park Basketball Courts,basketball,pitch,34.01994,-117.6401631,,,CA,,false,true,false,openstreetmap
Chick Hearn,basketball,pitch,34.0436877,-118.2663704,,,CA,,false,true,false,openstreetmap
Chorpus Christi Gymnasium,basketball,pitch,37.5742585,-121.9759259,,,CA,,false,true,false,openstreetmap
City of Lake Forest,basketball,sports_centre,33.663493,-117.6571509,,,CA,,false,true,false,openstreetmap
Colony Club House (401),basketball,pitch,35.3213216,-120.7060996,,,CA,,false,true,false,openstreetmap
Court 1,basketball,pitch,33.1595551,-117.2856224,,,CA,,false,true,false,openstreetmap
Court 2,basketball,pitch,33.1595544,-117.2858014,,,CA,,false,true,false,openstreetmap
Court 3,basketball,pitch,33.1598087,-117.2856224,,,CA,,false,true,false,openstreetmap
Court 4,basketball,pitch,33.1598059,-117.2858055,,,CA,,false,true,false,openstreetmap
Crystyl Ranch Basketball,basketball,pitch,37.9319555,-121.9762975,,,CA,,false,true,false,openstreetmap
Cub Lake Basketball Court,basketball,pitch,35.1607716,-118.6429947,,,CA,,false,true,false,openstreetmap
Cubic Basketball court,basketball,pitch,32.8212882,-117.1306594,,,CA,,false,true,false,openstreetmap
Dixon Landing Basketball Court,basketball,pitch,37.4517889,-121.9151751,,,CA,,false,true,false,openstreetmap
Donahue Gym,basketball,sports_centre,37.8669078,-122.2711034,,,CA,,false,true,false,openstreetmap
Dream St. Park Baskball Court,basketball,pitch,38.332056,-121.9585545,,,CA,,false,true,false,openstreetmap
East Outdoor Basketball Courts,basketball,pitch,36.9950049,-122.0547193,,,CA,,false,true,false,openstreetmap
East Union Gym,basketball,sports_centre,37.8215223,-121.2330299,,,CA,,false,true,false,openstreetmap
Elevate Basketball Court,basketball,pitch,37.5346134,-122.2562672,,,CA,,false,true,false,openstreetmap
Elgin Baylor,basketball,pitch,34.0435103,-118.2660604,,,CA,,false,true,false,openstreetmap
Esporta Indoor Basketball,basketball,pitch,33.5689028,-117.2071012,,,CA,,false,true,false,openstreetmap
Esporta Indoor Basketball,basketball,pitch,33.5689446,-117.2072074,,,CA,,false,true,false,openstreetmap
Flanagan Hall,basketball,sports_centre,37.3406492,-121.8828268,,,CA,,false,true,false,openstreetmap
GBHS Basketball Court,basketball,pitch,38.7321837,-121.2112632,,,CA,,false,true,false,openstreetmap
Gleason Gym,basketball,fitness_centre,37.5183938,-122.2843242,,,CA,,false,true,false,openstreetmap
Golden Bears Gymnasium,basketball,sports_centre,33.5029219,-117.1155172,,,CA,,false,true,false,openstreetmap
Gym,basketball,fitness_centre,37.742256,-122.428295,,,CA,,false,true,false,openstreetmap
Haas Pavilion,basketball,sports_hall,37.7825797,-122.1846423,,,CA,,false,true,false,openstreetmap
Half Basketball Court,basketball,pitch,36.8523968,-119.7070026,,,CA,,false,true,false,openstreetmap
Hardcourts,basketball,pitch,34.4931478,-118.6558352,,,CA,,false,true,false,openstreetmap
Hidahl Elementary Basketball Court,basketball,pitch,37.5741848,-120.9540163,,,CA,,false,true,false,openstreetmap
Hope Court,basketball,pitch,33.9045031,-118.0151785,,,CA,,false,true,false,openstreetmap
