name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
316th Force Support Squadron,basketball,pitch,38.7999992,-76.889548,,,MD,,false,true,false,openstreetmap
Abbey Park Basetball Court,basketball,pitch,38.9368481,-76.4780176,,,MD,,false,true,false,openstreetmap
Alumni Hall,basketball,pitch,38.9844943,-76.48779,90 Decatur Road,,MD,,false,true,false,openstreetmap
Annapolis HS Outdoor Basketball Court,basketball,pitch,38.9758538,-76.5655225,,,MD,,false,true,false,openstreetmap
Baltimore City Department of Recreation and Parks,basketball,pitch,39.3032956,-76.5987526,,,MD,,false,true,false,openstreetmap
Baltimore City Department of Recreation and Parks,basketball,pitch,39.306145,-76.5870994,,,MD,,false,true,false,openstreetmap
Baltimore City Public Schools,basketball,pitch,39.3125329,-76.6128188,,,MD,,false,true,false,openstreetmap
Baltimore City Public Schools,basketball,pitch,39.2529369,-76.6228105,,,MD,,false,true,false,openstreetmap
Baltimore City Public Schools,basketball,pitch,39.2472255,-76.6247619,,,MD,,false,true,false,openstreetmap
Baltimore City Public Schools,basketball,pitch,39.2471221,-76.6244997,,,MD,,false,true,false,openstreetmap
Baltimore City Public Schools,basketball,pitch,39.3042294,-76.5901896,,,MD,,false,true,false,openstreetmap
Basketball,basketball,pitch,39.5752396,-77.7972188,,,MD,,false,true,false,openstreetmap
Basketball,basketball,pitch,39.6341087,-77.835952,,,MD,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,39.1370813,-77.0781865,,,MD,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,39.0702732,-76.6871132,,,MD,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,39.0956796,-76.5825206,,,MD,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,38.9739997,-77.1385986,,,MD,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,38.2660142,-76.461267,,,MD,,false,true,false,openstreetmap
Battle Grove Basketball Court,basketball,pitch,39.2628085,-76.4691223,,,MD,,false,true,false,openstreetmap
Cloverdale Court,basketball,pitch,39.3146984,-76.6421088,,,MD,,false,true,false,openstreetmap
E/W Basketball Court,basketball,pitch,39.3806627,-77.165948,,,MD,,false,true,false,openstreetmap
Emmitsburg Elementary Court,basketball,pitch,39.703509,-77.3292064,,,MD,,false,true,false,openstreetmap
Gael Center,basketball,sports_centre,39.6644812,-77.7052178,,,MD,,false,true,false,openstreetmap
Germantown Elementary Basketball Court,basketball,pitch,38.9821958,-76.5161762,,,MD,,false,true,false,openstreetmap
Grantsville,basketball,pitch,39.6981408,-79.1560056,,,MD,,false,true,false,openstreetmap
Hall Springs Basketball Court,basketball,pitch,39.3348391,-76.5763098,,,MD,,false,true,false,openstreetmap
Halsey Field House,basketball,stadium,38.9778793,-76.4841812,23 King George Street,,MD,,false,true,false,openstreetmap
Havre de Grace High School courts,basketball,pitch,39.5476674,-76.0973973,,,MD,,false,true,false,openstreetmap
Jackson Road Elememntary School Blacktop and Basketball Hoops,basketball,pitch,39.0570019,-76.9915453,,,MD,,false,true,false,openstreetmap
Kennedy Krieger Institute,basketball,pitch,39.2930863,-76.5929962,,,MD,,false,true,false,openstreetmap
Largo-Lottsford Basketball Court,basketball,pitch,38.9059333,-76.8312314,,,MD,,false,true,false,openstreetmap
McAbee Court,basketball,pitch,39.3034789,-76.6434882,,,MD,,false,true,false,openstreetmap
Mid-Town Basketball Court,basketball,pitch,39.6100404,-76.1213314,,,MD,,false,true,false,openstreetmap
Middlebridge Village HOA,basketball,pitch,39.0731835,-77.0420026,,,MD,,false,true,false,openstreetmap
Navy Baketball Facility,basketball,sports_centre,38.9778077,-76.4842424,,,MD,,false,true,false,openstreetmap
Oest Basketball Court,basketball,pitch,39.6845515,-76.2644648,,,MD,,false,true,false,openstreetmap
Old Bates Outdoor Basketball Court,basketball,pitch,38.9740355,-76.5113867,,,MD,,false,true,false,openstreetmap
Pump House,basketball,pitch,39.0532092,-76.4881295,,,MD,,false,true,false,openstreetmap
Red Cloud Court Basketball Court,basketball,pitch,39.1190838,-76.7393381,,,MD,,false,true,false,openstreetmap
Red Cloud Court Basketball Court,basketball,pitch,39.1184875,-76.7394029,,,MD,,false,true,false,openstreetmap
Retriever Activities Center,basketball,sports_centre,39.2528576,-76.7125528,,,MD,,false,true,false,openstreetmap
Ritchie Park Outdoor Basketball Court,basketball,pitch,39.0636516,-77.1743532,,,MD,,false,true,false,openstreetmap
Soukup,basketball,pitch,39.4022538,-76.4489057,,,MD,,false,true,false,openstreetmap
Spencer Basketball Court,basketball,pitch,39.6886642,-76.2792873,,,MD,,false,true,false,openstreetmap
Sport Court,basketball,pitch,39.4132409,-76.8042401,,,MD,,false,true,false,openstreetmap
Stevenson University Gymnasium,basketball,sports_centre,39.4276335,-76.7791575,,,MD,,false,true,false,openstreetmap
Third Street Basketball Court,basketball,pitch,38.8876663,-75.8307344,,,MD,,false,true,false,openstreetmap
