name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alanson Public School,basketball,pitch,45.4448615,-84.7907981,,,MI,,false,true,false,openstreetmap
Bankshot Basketball,basketball,pitch,42.982974,-82.5259753,,,MI,,false,true,false,openstreetmap
Basketball,basketball,pitch,44.7332339,-83.9423059,,,MI,,false,true,false,openstreetmap
Basketball,basketball,pitch,44.7370418,-83.9477022,,,MI,,false,true,false,openstreetmap
Basketball Court at West St.,basketball,pitch,42.6123733,-83.9326343,,,MI,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,45.4228156,-83.8140896,,,MI,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,43.9833854,-83.952181,,,MI,,false,true,false,openstreetmap
Basketball Hoop,basketball,hoop,42.7574104,-84.5874796,,,MI,,false,true,false,openstreetmap
Basketball Hoop,basketball,pitch,45.2808492,-83.4686292,,,MI,,false,true,false,openstreetmap
Basktetball Court,basketball,pitch,42.5061363,-83.8914865,,,MI,,false,true,false,openstreetmap
Brecon Park Basketball Court,basketball,pitch,42.174239,-83.7784304,,,MI,,false,true,false,openstreetmap
Bridge Street Basketball Courts,basketball,pitch,47.1184404,-88.5735322,,,MI,,false,true,false,openstreetmap
Bruce D. Collins Elementary School,basketball,pitch,42.562294,-82.9970176,,,MI,,false,true,false,openstreetmap
Bruce D. Collins Elementary School,basketball,pitch,42.5623025,-82.9972565,,,MI,,false,true,false,openstreetmap
Bruce D. Collins Elementary School,basketball,pitch,42.5623051,-82.9967043,,,MI,,false,true,false,openstreetmap
Bruce D. Collins Elementary School,basketball,pitch,42.5623248,-82.9964877,,,MI,,false,true,false,openstreetmap
City of Alpena,basketball,pitch,45.071361,-83.4206076,,,MI,,false,true,false,openstreetmap
City of Alpena,basketball,pitch,45.0712444,-83.4204685,,,MI,,false,true,false,openstreetmap
City of Alpena,basketball,pitch,45.0701138,-83.4359905,,,MI,,false,true,false,openstreetmap
City of Alpena,basketball,pitch,45.0699769,-83.4358588,,,MI,,false,true,false,openstreetmap
