name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
16th Street Basketball Court,basketball,pitch,40.7329101,-74.0422087,,,NJ,,false,true,false,openstreetmap
16th Street Courts,basketball,pitch,40.6626231,-74.1302859,,,NJ,,false,true,false,openstreetmap
1st Street Basketball Courts,basketball,pitch,40.6453897,-74.1338802,,,NJ,,false,true,false,openstreetmap
1st Street Basketball Courts,basketball,pitch,40.6454023,-74.1343062,,,NJ,,false,true,false,openstreetmap
76ers Training Complex,basketball,sports_centre,39.9423896,-75.1284024,,,NJ,,false,true,false,openstreetmap
Alexandra Basketball Court,basketball,pitch,40.5115183,-74.6394401,,,NJ,,false,true,false,openstreetmap
B1,basketball,pitch,40.2552899,-74.6347508,,,NJ,,false,true,false,openstreetmap
B2,basketball,pitch,40.2552816,-74.6341906,,,NJ,,false,true,false,openstreetmap
B3,basketball,pitch,40.2552762,-74.6339552,,,NJ,,false,true,false,openstreetmap
B4,basketball,pitch,40.255685,-74.6345852,,,NJ,,false,true,false,openstreetmap
B5,basketball,pitch,40.2556796,-74.6343497,,,NJ,,false,true,false,openstreetmap
B6,basketball,pitch,40.2556668,-74.633948,,,NJ,,false,true,false,openstreetmap
B7,basketball,pitch,40.2556614,-74.6337126,,,NJ,,false,true,false,openstreetmap
Basketball,basketball,pitch,40.6815215,-74.1144729,,,NJ,,false,true,false,openstreetmap
Basketball,basketball,pitch,40.9292462,-74.7372781,,,NJ,,false,true,false,openstreetmap
Basketball Course,basketball,pitch,40.9773655,-74.2753388,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.4051094,-74.5637447,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.9466049,-74.2986226,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.9600656,-74.2903261,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.9316154,-74.2819167,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.9222303,-74.2819925,,,NJ,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.8827907,-74.2469051,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.8494466,-74.1085483,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.8369167,-74.5703173,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,41.0176109,-74.2444725,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.9685334,-74.254719,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.9887953,-74.261162,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,41.0201635,-74.3386157,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.6184614,-74.4392291,,,NJ,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,39.6579046,-74.9979521,,,NJ,,false,true,false,openstreetmap
Basketball Games,basketball,pitch,40.1380911,-74.4390619,,,NJ,,false,true,false,openstreetmap
Cranbury School,basketball,pitch,40.3114913,-74.5187861,,,NJ,,false,true,false,openstreetmap
Cranbury School,basketball,pitch,40.3114396,-74.5185826,,,NJ,,false,true,false,openstreetmap
Croydon Hall Gym,basketball,sports_hall,40.4096922,-74.0563899,,,NJ,,false,true,false,openstreetmap
Evergreen Park Basketball Court,basketball,pitch,40.4057837,-74.1188404,,,NJ,,false,true,false,openstreetmap
Fenton Lane Fieldhouse,basketball,pitch,40.1413094,-74.6683057,,,NJ,,true,false,false,openstreetmap
Frickes courts,basketball,pitch,39.9064947,-75.0283441,,,NJ,,false,true,false,openstreetmap
Hillside Park Basketball Court,basketball,pitch,40.4070964,-74.0477363,,,NJ,,false,true,false,openstreetmap
Hudson County Basketball Courts,basketball,pitch,40.6837364,-74.114287,,,NJ,,false,true,false,openstreetmap
Hudson County Basketball Courts,basketball,pitch,40.6824845,-74.1160079,,,NJ,,false,true,false,openstreetmap
Juliette Street Basketball Court,basketball,pitch,40.6503321,-74.1382523,,,NJ,,false,true,false,openstreetmap
Keeler Courts,basketball,pitch,40.7845751,-74.4004375,,,NJ,,false,true,false,openstreetmap
Kuhnert Courts,basketball,pitch,40.211856,-74.2903007,,,NJ,,false,true,false,openstreetmap
Liebenzell Basketball Court,basketball,pitch,40.7955932,-74.8266975,,,NJ,,false,true,false,openstreetmap
Limewood park basketball court,basketball,pitch,40.2164177,-74.644144,,,NJ,,false,true,false,openstreetmap
Lions Park Basketball Court,basketball,pitch,40.7014735,-74.3960337,,,NJ,,false,true,false,openstreetmap
Luke Park Basketball Court,basketball,pitch,40.443081,-74.5217843,,,NJ,,false,true,false,openstreetmap
M.T. Thompson Park Basketball Court,basketball,pitch,40.3311456,-74.1278035,,,NJ,,false,true,false,openstreetmap
Mahwah Middle School Basketball Court,basketball,pitch,41.083914,-74.1624615,,,NJ,,false,true,false,openstreetmap
Memorial Courts,basketball,pitch,40.9313733,-74.1389986,,,NJ,,false,true,false,openstreetmap
Merged driveway basketball court (present day),basketball,pitch,40.2081996,-74.2129867,,,NJ,,false,true,false,openstreetmap
Park Ridge High School Basketball Court,basketball,pitch,41.0327864,-74.0387027,,,NJ,,false,true,false,openstreetmap
Presidental Estates Basketball Court,basketball,pitch,40.3643878,-74.3628912,,,NJ,,false,true,false,openstreetmap
Pupek Road Basketball Court,basketball,pitch,40.4882473,-74.2884702,,,NJ,,false,true,false,openstreetmap
RWJBarnabas Health Arena,basketball,stadium,39.9822094,-74.1957119,,,NJ,,false,true,false,openstreetmap
Ramtown courts,basketball,pitch,40.1146832,-74.1542821,,,NJ,,false,true,false,openstreetmap
Rock Ridge Basketball Court,basketball,pitch,40.9120249,-74.4614613,,,NJ,,false,true,false,openstreetmap
Ron Murphy Gymnasium,basketball,sports_hall,39.9010112,-74.8266348,,,NJ,,false,true,false,openstreetmap
Sgt. Anthony Park Basketball Court,basketball,pitch,40.7323561,-74.0515309,,,NJ,,false,true,false,openstreetmap
Small Gym,basketball,pitch,40.3264814,-74.7945194,,,NJ,,false,true,false,openstreetmap
Somerset Park Basketball Court,basketball,pitch,40.4465595,-74.5257912,,,NJ,,false,true,false,openstreetmap
St. Marys Church,basketball,pitch,40.6580056,-74.1250509,,,NJ,,false,true,false,openstreetmap
Sunfield Pavilion,basketball,pitch,40.3324257,-74.2302475,,,NJ,,false,true,false,openstreetmap
Tara Park,basketball,pitch,40.5393122,-74.4914997,Ellis Pky,,NJ,,false,true,false,openstreetmap
Terry Basketball Court,basketball,pitch,40.1370672,-74.6958427,,,NJ,,false,true,false,openstreetmap
Township of Cranbury,basketball,pitch,40.3119072,-74.5124958,,,NJ,,false,true,false,openstreetmap
Tufts Court,basketball,pitch,40.2203172,-74.3162353,,,NJ,,false,true,false,openstreetmap
Vernon Twp. PAL Center,basketball,sports_centre,41.2031066,-74.4868391,,,NJ,,false,true,false,openstreetmap
Warren Park Basket Ball Court,basketball,pitch,40.5400044,-74.2808338,,,NJ,,false,true,false,openstreetmap
West Deptford Park Basketball Courts,basketball,pitch,39.827094,-75.1977548,,,NJ,,false,true,false,openstreetmap
canterbury basketball court,basketball,pitch,40.7924845,-74.2166795,,,NJ,,false,true,false,openstreetmap
Expert Court,basketball,pitch,40.8126312,-74.185598,24 Mt. Vernon Avenue,Bloomfield,NJ,07003,false,true,false,openstreetmap
Novice Court,basketball,pitch,40.8125076,-74.1854259,24 Mount Vernon Avenue,Bloomfield,NJ,07003,false,true,false,openstreetmap
Princeton Orchards Apartments Basketball Court,basketball,pitch,40.3756303,-74.5055527,356 Ridge Road,Dayton,NJ,08810,false,true,false,openstreetmap
Walsh Gymnasium,basketball,sports_hall,40.7418456,-74.2449474,400 South Orange Avenue,South Orange,NJ,,false,true,false,openstreetmap
Hilltop Lakeview Park,basketball,park,41.0253995,-74.6402097,25 Lakeview Road,Sparta,NJ,07871,false,true,false,openstreetmap
