name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
"""R"" Field",football,pitch,34.0676356,-117.1635498,,,CA,,false,true,false,openstreetmap
ARC Stadium,football,pitch,38.6466955,-121.3477913,,,CA,,false,true,false,openstreetmap
Admiral Prout Field,football,pitch,32.6791158,-117.1126364,,,CA,,false,true,false,openstreetmap
Antelope High School -Titans Field,football,pitch,38.712491,-121.3545395,,,CA,,false,true,false,openstreetmap
Aragon High School Football Field,football,pitch,37.5505898,-122.3277624,,,CA,,false,true,false,openstreetmap
Arnold Field,football,pitch,40.4152938,-120.6574395,,,CA,,false,true,false,openstreetmap
Arthur N. Wheelock Field,football,pitch,33.9726815,-117.3803636,,,CA,,false,true,false,openstreetmap
Ayala Park Stadium,football,stadium,33.9960772,-117.6791843,,,CA,,false,true,false,openstreetmap
Bailey Field,football,pitch,38.4539462,-122.7190885,,,CA,,false,true,false,openstreetmap
Banning Football Field,football,pitch,33.9320994,-116.8756513,,,CA,,false,true,false,openstreetmap
Berean Christian,football,pitch,37.9127582,-122.0316355,,,CA,,false,true,false,openstreetmap
Big Pine High School Football Field,football,pitch,37.1620507,-118.2877333,,,CA,,false,true,false,openstreetmap
Bison Liberty,football,pitch,33.6513459,-117.122024,,,CA,,false,true,false,openstreetmap
Blue Devils Practice Field,football,pitch,38.0089275,-122.0515765,,,CA,,false,true,false,openstreetmap
Bob Jacob Memorial Stadium,football,pitch,34.2750606,-118.6839412,,,CA,,false,true,false,openstreetmap
Bobcat Stadium,football,pitch,33.1582534,-117.2862765,,,CA,,false,true,false,openstreetmap
Boron High School Football Stadium,football,stadium,35.0068505,-117.653588,,,CA,,false,true,false,openstreetmap
Boswell Field,football,pitch,33.7531165,-118.0117231,,,CA,,false,true,false,openstreetmap
Bradford Stadium,football,pitch,33.8792878,-117.8666166,,,CA,,false,true,false,openstreetmap
Bradly Field,football,pitch,37.4450006,-122.2332678,,,CA,,false,true,false,openstreetmap
Breniman Field,football,pitch,34.1953675,-118.6037,,,CA,,false,true,false,openstreetmap
