name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Abe Martin Stadium,football,stadium,31.3354607,-94.6850528,,,TX,,false,true,false,openstreetmap
Alexander Durley Sports Complex,football,stadium,29.7209741,-95.3623685,,,TX,,false,true,false,openstreetmap
"Alfredo ""Boxer"" Hernandez Field",football,pitch,26.2123283,-98.2161223,,,TX,,false,true,false,openstreetmap
Alice Memorial Stadium,football,pitch,27.7542365,-98.0559991,,,TX,,false,true,false,openstreetmap
Allan Sepkowitz Stadium,football,pitch,31.9082952,-106.4149494,,,TX,,false,true,false,openstreetmap
Amon G. Carter Stadium,football,pitch,32.7097506,-97.3680863,,,TX,,false,true,false,openstreetmap
Anna Coyotes,football,pitch,33.3614827,-96.5523812,,,TX,,false,true,false,openstreetmap
Antelope Field,football,pitch,33.6028912,-102.6189313,,,TX,,false,true,false,openstreetmap
Antelope Stadium,football,pitch,33.8302201,-101.8487132,,,TX,,false,true,false,openstreetmap
Anthony Field at Wildcat Stadium,football,pitch,32.4735207,-99.7089585,,,TX,,false,true,false,openstreetmap
Antonian Football field,football,pitch,29.5222212,-98.5290133,,,TX,,false,true,false,openstreetmap
Apple Stadium,football,pitch,33.6457907,-96.5997423,,,TX,,false,true,false,openstreetmap
Argyle Middle School Football Field,football,pitch,33.106528,-97.1881081,,,TX,,false,true,false,openstreetmap
Arp Tigers Stadium,football,pitch,32.2308637,-95.0560653,,,TX,,false,true,false,openstreetmap
Atlanta Rabbit Stadium,football,stadium,33.1225169,-94.1437636,,,TX,,false,true,false,openstreetmap
Badger Field,football,pitch,28.8867013,-97.8899852,,,TX,,false,true,false,openstreetmap
Band Practice / Event Bus Parking,football,pitch,26.2238485,-98.2388502,,,TX,,false,true,false,openstreetmap
Band Practice Field,football,pitch,30.5102551,-97.6987929,,,TX,,false,true,false,openstreetmap
Barnett Junior High School Football Field,football,pitch,32.6496173,-97.0733908,,,TX,,false,true,false,openstreetmap
Barrow Field,football,pitch,32.8575609,-97.223305,,,TX,,false,true,false,openstreetmap
