name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Abe Dillon Feild,football,pitch,44.2681415,-88.4264972,,,WI,,false,true,false,openstreetmap
Akin Field,football,pitch,44.3399993,-88.6321645,,,WI,,false,true,false,openstreetmap
Ameche Field,football,pitch,42.5485956,-87.8381702,,,WI,,false,true,false,openstreetmap
Art Keller Field,football,stadium,42.6199723,-87.8230683,,,WI,,false,true,false,openstreetmap
Avitus Ripp Field,football,pitch,43.3485045,-90.4084371,,,WI,,false,true,false,openstreetmap
Baldwin-Woodville Football Field,football,pitch,44.9680144,-92.3822203,,,WI,,false,true,false,openstreetmap
Barry Alvarez Field,football,pitch,43.0699432,-89.4126869,,,WI,,false,true,false,openstreetmap
Brillion Lions Football Field,football,pitch,44.1730571,-88.0677308,,,WI,,false,true,false,openstreetmap
Brown Field,football,pitch,43.4571014,-88.8262166,,,WI,,false,true,false,openstreetmap
Carl F Anderson Field,football,pitch,42.7756658,-88.9534705,,,WI,,false,true,false,openstreetmap
Chippewa Falls Youth Football,football,sports_centre,44.8978937,-91.3914138,,,WI,,false,true,false,openstreetmap
Clarke Hinkle Field,football,pitch,44.4983927,-88.0583168,,,WI,,false,true,false,openstreetmap
Cordano Field,football,pitch,42.6352152,-88.6594067,,,WI,,false,true,false,openstreetmap
DMB Community Bank Stadium,football,pitch,43.2428049,-89.3280814,,,WI,,false,true,false,openstreetmap
Doehling Practice Field,football,pitch,43.8384371,-88.851908,,,WI,,false,true,false,openstreetmap
Don Dalton Stadium,football,pitch,42.6704137,-88.2527068,,,WI,,false,true,false,openstreetmap
East High School Practice Field,football,pitch,44.5063687,-87.9914148,,,WI,,false,true,false,openstreetmap
Ebben Field,football,pitch,43.7428112,-87.7848443,,,WI,,false,true,false,openstreetmap
Football Field,football,pitch,42.5249123,-88.5931733,,,WI,,false,true,false,openstreetmap
Football Practice Fields,football,pitch,45.0998838,-92.5230394,,,WI,,false,true,false,openstreetmap
Forward Feild,football,pitch,44.9600271,-90.9213408,,,WI,,false,true,false,openstreetmap
Fox Valley Pop Warner Football Complex,football,sports_centre,44.3258088,-88.3922496,,,WI,,false,true,false,openstreetmap
Fuerstein Field,football,pitch,43.0730513,-88.2639152,,,WI,,false,true,false,openstreetmap
Gale-Ettrick-Trempealeau Football Field,football,pitch,44.0925763,-91.3447888,,,WI,,false,true,false,openstreetmap
Gib Mahr Field,football,pitch,43.3091953,-88.3831666,,,WI,,false,true,false,openstreetmap
Glover Field,football,pitch,43.0703072,-88.7896607,,,WI,,false,true,false,openstreetmap
Goerke Field,football,stadium,44.5252512,-89.5605451,,,WI,,false,true,false,openstreetmap
Iowa-Grant High School Field,football,pitch,42.9305684,-90.3956358,,,WI,,false,true,false,openstreetmap
