name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
9-Iron Practice Center (Driving Range),golf,pitch,37.3408421,-120.5371685,,,CA,,false,true,false,openstreetmap
Andrew E. Rubin Practice Facility,golf,pitch,34.1264859,-118.2141004,,,CA,,false,true,false,openstreetmap
Angeles National Golf Course,golf,pitch,34.2681248,-118.3347681,,,CA,,false,true,false,openstreetmap
Bear Creek Golf Club,golf,pitch,33.5821652,-117.262317,,,CA,,false,true,false,openstreetmap
Carlsbad Golf Center (Driving Range),golf,pitch,33.1804514,-117.3210046,,,CA,,false,true,false,openstreetmap
Chipping Green,golf,pitch,34.44601,-119.2302964,,,CA,,false,true,false,openstreetmap
Claremont Golf Shop,golf,pitch,37.8360374,-122.2471554,,,CA,,false,true,false,openstreetmap
Club Champion,golf,pitch,34.0364072,-118.4710276,,,CA,,false,true,false,openstreetmap
Club House,golf,pitch,33.9900978,-117.8662125,,,CA,,false,true,false,openstreetmap
Club House & Resturant,golf,pitch,34.6059782,-118.1417387,,,CA,,false,true,false,openstreetmap
Driving Range,golf,pitch,37.6317889,-118.9701734,,,CA,,false,true,false,openstreetmap
Driving Range,golf,pitch,33.4692782,-117.0915114,,,CA,,false,true,false,openstreetmap
Driving Range,golf,pitch,34.2654562,-118.3311489,,,CA,,false,true,false,openstreetmap
Eagle Club Indoor Golf,golf,amusement_arcade,37.7813845,-122.402295,840 Folsom Street,,CA,,false,true,false,openstreetmap
El Cariso Driving Range,golf,pitch,34.3142628,-118.4138291,,,CA,,false,true,false,openstreetmap
Fairway Golf Shop,golf,pitch,32.8334083,-117.1536023,,,CA,,false,true,false,openstreetmap
Fig Garden Golf Club,golf,golf_course,36.8532954,-119.8377519,,,CA,,false,true,false,openstreetmap
Golf Apparel,golf,pitch,33.1270293,-117.321207,,,CA,,false,true,false,openstreetmap
Golf Center,golf,pitch,33.7292466,-116.384934,,,CA,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,37.9448323,-122.0608544,,,CA,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,34.0733175,-117.2102705,,,CA,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,38.7820095,-121.2726402,5771 Five Star Boulevard,,CA,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,34.1322527,-117.6344976,,,CA,,false,true,false,openstreetmap
Golf Links to the Past,golf,pitch,36.5690253,-121.9503089,,,CA,,false,true,false,openstreetmap
Golftec,golf,pitch,34.0176113,-118.486668,,,CA,,false,true,false,openstreetmap
Golftec,golf,pitch,32.8677881,-117.2063848,,,CA,,false,true,false,openstreetmap
Green H01,golf,pitch,32.8019846,-117.2185866,,,CA,,false,true,false,openstreetmap
Green H02,golf,pitch,32.8016514,-117.217764,,,CA,,false,true,false,openstreetmap
Green H03,golf,pitch,32.8007509,-117.2165155,,,CA,,false,true,false,openstreetmap
Green H04,golf,pitch,32.8009155,-117.2157462,,,CA,,false,true,false,openstreetmap
Green H05,golf,pitch,32.8016316,-117.2170942,,,CA,,false,true,false,openstreetmap
Green H06,golf,pitch,32.8020216,-117.2175778,,,CA,,false,true,false,openstreetmap
Green H07,golf,pitch,32.800917,-117.214976,,,CA,,false,true,false,openstreetmap
Green H08,golf,pitch,32.8003774,-117.2142506,,,CA,,false,true,false,openstreetmap
Green H09,golf,pitch,32.8004322,-117.2160201,,,CA,,false,true,false,openstreetmap
Lucious Bateman Driving Range,golf,pitch,37.7372797,-122.2341278,,,CA,,false,true,false,openstreetmap
Metropolitan Golf Links Driving Range,golf,pitch,37.7185188,-122.1921275,,,CA,,false,true,false,openstreetmap
Montclair Golf Course Pro Shop,golf,pitch,37.8187033,-122.2084724,,,CA,,false,true,false,openstreetmap
Mt. Shasta Resort,golf,golf_course,41.2835558,-122.3218076,,,CA,,false,true,false,openstreetmap
PGA Store,golf,pitch,37.4618358,-122.1367808,,,CA,,false,true,false,openstreetmap
Perform for Golf,golf,fitness_centre,37.7729922,-122.4223791,1700 Market Street,,CA,,false,true,false,openstreetmap
Practice Green,golf,pitch,35.3344183,-120.7316698,,,CA,,false,true,false,openstreetmap
Practice Green,golf,pitch,35.4696784,-120.6429537,,,CA,,false,true,false,openstreetmap
Practice Green,golf,pitch,36.5600569,-121.8360586,,,CA,,false,true,false,openstreetmap
Practice Green,golf,pitch,34.4461322,-119.2312025,,,CA,,false,true,false,openstreetmap
Practice Putting Green,golf,pitch,33.6232149,-116.2742212,,,CA,,false,true,false,openstreetmap
Practice green,golf,pitch,36.5813534,-121.9726085,,,CA,,false,true,false,openstreetmap
Primetime Golf,golf,amusement_arcade,37.8017777,-122.2687449,306 12th Street,,CA,,false,true,false,openstreetmap
Pro Shop,golf,pitch,37.003965,-122.0257607,,,CA,,false,true,false,openstreetmap
Pro Shop,golf,pitch,36.4599443,-116.8673702,,,CA,,false,true,false,openstreetmap
Pro Shop,golf,pitch,37.739362,-122.1192379,11450 Golf Links Road,,CA,,false,true,false,openstreetmap
Pro Shop/Snack Bar,golf,pitch,34.1500164,-118.8176202,,,CA,,false,true,false,openstreetmap
Putting Green,golf,pitch,33.4676069,-117.0919231,,,CA,,false,true,false,openstreetmap
Putting practice,golf,pitch,34.3143435,-118.4154194,,,CA,,false,true,false,openstreetmap
Putting practice,golf,pitch,34.3139647,-118.4159927,,,CA,,false,true,false,openstreetmap
Putting practice,golf,pitch,34.3147438,-118.4153455,,,CA,,false,true,false,openstreetmap
Redhawk Golf Course,golf,pitch,33.4685645,-117.0912687,,,CA,,false,true,false,openstreetmap
