name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
10th Hole,golf,pitch,42.7261479,-73.6402827,,,NY,,false,true,false,openstreetmap
10th Hole,golf,pitch,42.6838644,-73.746622,,,NY,,false,true,false,openstreetmap
10th Hole,golf,pitch,42.7922908,-73.8971507,,,NY,,false,true,false,openstreetmap
11th Hole,golf,pitch,42.725217,-73.6368124,,,NY,,false,true,false,openstreetmap
11th Hole,golf,pitch,42.6835131,-73.7484198,,,NY,,false,true,false,openstreetmap
11th Hole,golf,pitch,42.793565,-73.8970815,,,NY,,false,true,false,openstreetmap
12th Hole,golf,pitch,42.7234109,-73.633287,,,NY,,false,true,false,openstreetmap
12th Hole,golf,pitch,42.6824323,-73.7480106,,,NY,,false,true,false,openstreetmap
12th Hole,golf,pitch,42.7932806,-73.8962222,,,NY,,false,true,false,openstreetmap
13th Hole,golf,pitch,42.7223798,-73.6338905,,,NY,,false,true,false,openstreetmap
13th Hole,golf,pitch,42.6807809,-73.7473494,,,NY,,false,true,false,openstreetmap
13th Hole,golf,pitch,42.7901385,-73.8942861,,,NY,,false,true,false,openstreetmap
14th Hole,golf,pitch,42.7242865,-73.6371941,,,NY,,false,true,false,openstreetmap
14th Hole,golf,pitch,42.6800859,-73.746504,,,NY,,false,true,false,openstreetmap
14th Hole,golf,pitch,42.786844,-73.8937833,,,NY,,false,true,false,openstreetmap
15th Hole,golf,pitch,42.7251399,-73.638909,,,NY,,false,true,false,openstreetmap
15th Hole,golf,pitch,42.67881,-73.7440147,,,NY,,false,true,false,openstreetmap
15th Hole,golf,pitch,42.7843189,-73.8949745,,,NY,,false,true,false,openstreetmap
16th Hole,golf,pitch,42.6772158,-73.7455858,,,NY,,false,true,false,openstreetmap
16th Hole,golf,pitch,42.7872079,-73.8948289,,,NY,,false,true,false,openstreetmap
16th hole,golf,pitch,42.723965,-73.6387362,,,NY,,false,true,false,openstreetmap
17th Hole,golf,pitch,42.7236185,-73.6394509,,,NY,,false,true,false,openstreetmap
17th Hole,golf,pitch,42.6782396,-73.7484627,,,NY,,false,true,false,openstreetmap
17th Hole,golf,pitch,42.7898349,-73.8952599,,,NY,,false,true,false,openstreetmap
18th Hole,golf,pitch,42.7251166,-73.6419959,,,NY,,false,true,false,openstreetmap
18th Hole,golf,pitch,42.6794273,-73.7479074,,,NY,,false,true,false,openstreetmap
1st Hole,golf,pitch,42.7236176,-73.6423185,,,NY,,false,true,false,openstreetmap
1st Hole,golf,pitch,42.6798163,-73.7477923,,,NY,,false,true,false,openstreetmap
2nd Hole,golf,pitch,42.7225416,-73.639905,,,NY,,false,true,false,openstreetmap
2nd Hole,golf,pitch,42.6828117,-73.7502848,,,NY,,false,true,false,openstreetmap
3rd Hole,golf,pitch,42.7218607,-73.6389371,,,NY,,false,true,false,openstreetmap
3rd Hole,golf,pitch,42.684923,-73.7487971,,,NY,,false,true,false,openstreetmap
4th Hole,golf,pitch,42.7215113,-73.633938,,,NY,,false,true,false,openstreetmap
4th Hole,golf,pitch,42.684877,-73.7456612,,,NY,,false,true,false,openstreetmap
5 Iron Golf,golf,sports_centre,40.7839829,-73.9499919,1681 3rd Avenue,,NY,10128,false,true,false,openstreetmap
5th Hole,golf,pitch,42.7224949,-73.6313152,,,NY,,false,true,false,openstreetmap
5th Hole,golf,pitch,42.6857005,-73.7470044,,,NY,,false,true,false,openstreetmap
6th Hole,golf,pitch,42.7243703,-73.633532,,,NY,,false,true,false,openstreetmap
6th Hole,golf,pitch,42.6863194,-73.7472915,,,NY,,false,true,false,openstreetmap
7th Hole,golf,pitch,42.7274392,-73.6369569,,,NY,,false,true,false,openstreetmap
7th Hole,golf,pitch,42.6849369,-73.7441222,,,NY,,false,true,false,openstreetmap
8th Hole,golf,pitch,42.7289037,-73.639177,,,NY,,false,true,false,openstreetmap
8th Hole,golf,pitch,42.6834441,-73.7438402,,,NY,,false,true,false,openstreetmap
9th Hole,golf,pitch,42.7268355,-73.640395,,,NY,,false,true,false,openstreetmap
9th Hole,golf,pitch,42.683633,-73.745254,,,NY,,false,true,false,openstreetmap
Alapaha Golf Link & Driving Range,golf,golf_course,41.9477217,-74.0162567,,,NY,,false,true,false,openstreetmap
Alder Creek Golf Course,golf,pitch,43.4114326,-75.227601,,,NY,,false,true,false,openstreetmap
Atlantic Golf Club,golf,golf_course,40.9501087,-72.3399989,,,NY,,false,true,false,openstreetmap
Brae Burn Golf Pro Shop,golf,pitch,42.5523791,-77.6955865,,,NY,,false,true,false,openstreetmap
Club Champion,golf,pitch,43.035737,-77.4499431,,,NY,,false,true,false,openstreetmap
Cortland Country Club,golf,golf_course,42.6238507,-76.1886851,,,NY,,false,true,false,openstreetmap
Deepdale Golf Club,golf,golf_course,40.772146,-73.6963172,,,NY,,false,true,false,openstreetmap
Driving Range,golf,pitch,40.8374662,-72.8159889,,,NY,,false,true,false,openstreetmap
Driving range,golf,pitch,42.9625714,-78.9462404,,,NY,,false,true,false,openstreetmap
Driving range (former),golf,pitch,42.8729044,-73.7707845,,,NY,,false,true,false,openstreetmap
Dutch Hollow Country Club,golf,golf_course,42.8607286,-76.4566567,,,NY,,false,true,false,openstreetmap
Dutchess Golf Club,golf,golf_course,41.6666927,-73.9224562,,,NY,,false,true,false,openstreetmap
East Hampton Golf Club,golf,golf_course,40.9892789,-72.158134,,,NY,,false,true,false,openstreetmap
Edgewood Club of Tivoli,golf,golf_course,42.0746482,-73.9128952,,,NY,,false,true,false,openstreetmap
Forest Glen Club (abandoned),golf,golf_course,41.5596206,-74.7541097,,,NY,,false,true,false,openstreetmap
