name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Benton Park Pickleball Courts,pickleball,pitch,38.5976244,-90.2236525,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1617483,-94.3140909,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1617475,-94.3140008,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1617445,-94.3137981,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1617453,-94.3138882,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1615863,-94.3140041,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1615871,-94.3140942,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.161582,-94.3138034,,,MO,,false,true,false,openstreetmap
Griggs Park Pickleball Courts,pickleball,pitch,37.1615829,-94.3138935,,,MO,,false,true,false,openstreetmap
Kansas City Parks and Recreation,pickleball,sports_centre,39.265845,-94.5015091,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0948923,-94.5095661,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0946565,-94.5094109,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0946859,-94.5094924,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0947141,-94.5095702,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0947427,-94.5096501,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0948066,-94.5093289,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0948351,-94.5094089,,,MO,,false,true,false,openstreetmap
Landreth Park Pickleball Courts,pickleball,pitch,37.0948635,-94.5094882,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.1023534,-94.4747127,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.102189,-94.4747176,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.1021876,-94.4746249,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.102187,-94.47451,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.102186,-94.4744184,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.1023503,-94.4744135,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.1023515,-94.474505,,,MO,,false,true,false,openstreetmap
Millennium Family Fitness,pickleball,pitch,37.102352,-94.47462,,,MO,,false,true,false,openstreetmap
Pickleball,pickleball,pitch,37.9494509,-90.9292534,,,MO,,false,true,false,openstreetmap
