name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Dallas Indoor Pickleball Club,pickleball,pitch,32.9862978,-96.8436489,,,TX,,false,true,false,openstreetmap
DeCordova Pickleball Court,pickleball,pitch,32.4372016,-97.7000687,,,TX,,false,true,false,openstreetmap
Dill Dinkers Pickleball,pickleball,pitch,32.577644,-97.3557879,,,TX,,false,true,false,openstreetmap
Houston Pickleball Center,pickleball,pitch,29.634105,-95.4057217,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.7626519,-95.4987613,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.7626082,-95.4988856,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.7627805,-95.4984409,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.762713,-95.4986174,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.7625203,-95.4978524,,,TX,,false,true,false,openstreetmap
Houston Racquet Club,pickleball,pitch,29.7623608,-95.4977761,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.839863,-97.9949828,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8398934,-97.9948953,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8399348,-97.9947784,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8399667,-97.994691,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8396521,-97.9948918,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8396825,-97.9948042,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8397239,-97.9946873,,,TX,,false,true,false,openstreetmap
Kissing Tree 55+ residental community,pickleball,pitch,29.8397558,-97.9945999,,,TX,,false,true,false,openstreetmap
Life Time Pickleball,pickleball,pitch,33.1597496,-96.8429974,,,TX,,false,true,false,openstreetmap
Life Time Pickleball Courts,pickleball,pitch,32.9778615,-97.1713259,,,TX,,false,true,false,openstreetmap
Memorial Forest Club,pickleball,pitch,29.7637959,-95.5407711,,,TX,,false,true,false,openstreetmap
Pickle Lab,pickleball,pitch,29.7344579,-95.381119,,,TX,,false,true,false,openstreetmap
Pickleball Courts,pickleball,pitch,27.787814,-97.3999488,,,TX,,false,true,false,openstreetmap
Pickler University,pickleball,pitch,32.9894266,-96.9377093,2800 I-35E Frontage Road,,TX,,false,true,false,openstreetmap
Texas Pickleball,pickleball,pitch,33.0094881,-97.2218107,,,TX,,false,true,false,openstreetmap
The Picklr,pickleball,pitch,29.577917,-98.3396951,,,TX,,false,true,false,openstreetmap
Whispering Hills Pickleball Court,pickleball,pitch,32.9196425,-96.707328,,,TX,,false,true,false,openstreetmap
Austin Pickle Ranch,pickleball,sports_centre,30.276272,-97.765952,1717 West 6th Street,Austin,TX,78703,false,true,false,openstreetmap
FTS Pickleball,pickleball,pitch,30.0321294,-95.6412718,18003 Shaw Road,Cypress,TX,77429,true,false,false,openstreetmap
Pickle Point Cypress,pickleball,sports_centre,30.0002388,-95.7310161,15623 Mueschke Road,Cypress,TX,77433,false,true,false,openstreetmap
The Picklr,pickleball,sports_centre,33.2318539,-97.1408085,824 West University Drive,Denton,TX,76201,false,true,false,openstreetmap
City Pickle,pickleball,pitch,32.8930083,-97.3210327,8600 North City Drive,Fort Worth,TX,76177,false,true,false,openstreetmap
Pickleball Courts Sun City,pickleball,sports_centre,30.7309325,-97.7701046,700 County Road 245,Georgetown,TX,78633,false,true,false,openstreetmap
Houston Pickleball Center,pickleball,sports_hall,29.6339533,-95.4061497,12233 Robin Boulevard,Houston,TX,77045,false,true,false,openstreetmap
Pickle Point Katy,pickleball,sports_centre,29.8260597,-95.7803279,23437 Clay Road,Katy,TX,77493,false,true,false,openstreetmap
Chicken N Pickle,pickleball,restaurant,29.5144289,-95.1179788,210 Blue Heron Drive,Webster,TX,77598,false,true,false,openstreetmap
