name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,soccer,pitch,41.8378493,-88.074556,,,IL,,false,true,false,openstreetmap
2,soccer,pitch,41.8378357,-88.0752091,,,IL,,false,true,false,openstreetmap
3,soccer,pitch,41.8378229,-88.0758461,,,IL,,false,true,false,openstreetmap
ARC Soccer Fields,soccer,pitch,41.738251,-88.0393059,,,IL,,false,true,false,openstreetmap
Aberdeen Park,soccer,pitch,42.3254833,-88.9140367,,,IL,,false,true,false,openstreetmap
Adelaide Street Field,soccer,sports_centre,40.5148588,-89.0008136,,,IL,,false,true,false,openstreetmap
Ashley Jacobson Memorial Field,soccer,pitch,40.7069915,-89.275448,,,IL,,false,true,false,openstreetmap
Avanti's Dome,soccer,pitch,40.5496701,-89.5969883,,,IL,,false,true,false,openstreetmap
CHS Soccer Field,soccer,pitch,39.4881582,-88.1676667,,,IL,,false,true,false,openstreetmap
Cahokia Khoury League,soccer,pitch,38.5574429,-90.1560038,,,IL,,false,true,false,openstreetmap
Cahokia Soccer Field,soccer,pitch,38.5574876,-90.1774714,,,IL,,false,true,false,openstreetmap
Campus South Athletic Field,soccer,pitch,41.7846417,-87.595462,,,IL,,false,true,false,openstreetmap
Clark Turf Field,soccer,pitch,41.9460776,-87.6935218,,,IL,,false,true,false,openstreetmap
Cornjerkers Soccer Field,soccer,pitch,40.4555311,-87.6630011,,,IL,,false,true,false,openstreetmap
Davis Anderson Field,soccer,pitch,39.268767,-89.890098,,,IL,,false,true,false,openstreetmap
Depaul University,soccer,pitch,41.9242499,-87.652103,,,IL,,false,true,false,openstreetmap
Dodds Park Soccer Complex,soccer,sports_centre,40.1295177,-88.2837631,,,IL,,false,true,false,openstreetmap
Edwardsville Community Unit School District 7,soccer,pitch,38.8068337,-89.9689264,,,IL,,false,true,false,openstreetmap
FLAMES🔥soccer field,soccer,pitch,41.9640364,-87.6779744,,,IL,,false,true,false,openstreetmap
Field #1,soccer,pitch,42.0241536,-88.0341266,,,IL,,false,true,false,openstreetmap
Field #12,soccer,pitch,42.0217328,-88.0373518,,,IL,,false,true,false,openstreetmap
Field #5,soccer,pitch,42.0218025,-88.0347494,,,IL,,false,true,false,openstreetmap
Field 1,soccer,pitch,40.7278901,-89.4466389,,,IL,,false,true,false,openstreetmap
Field 1,soccer,pitch,41.8050674,-87.9049802,,,IL,,false,true,false,openstreetmap
Field 18,soccer,pitch,42.2241896,-87.9537904,,,IL,,false,true,false,openstreetmap
Field 2,soccer,pitch,40.7278618,-89.4475531,,,IL,,false,true,false,openstreetmap
Field 2,soccer,pitch,41.8051476,-87.9059072,,,IL,,false,true,false,openstreetmap
Field 3,soccer,pitch,40.7278618,-89.448583,,,IL,,false,true,false,openstreetmap
Field 3,soccer,pitch,41.8058825,-87.9059377,,,IL,,false,true,false,openstreetmap
Field 4,soccer,pitch,40.7278626,-89.4494399,,,IL,,false,true,false,openstreetmap
Field 4,soccer,pitch,41.8051298,-87.9094724,,,IL,,false,true,false,openstreetmap
Field 5,soccer,pitch,41.8061727,-87.9104294,,,IL,,false,true,false,openstreetmap
Field 7,soccer,pitch,40.7291424,-89.4486811,,,IL,,false,true,false,openstreetmap
Field 8,soccer,pitch,40.7291393,-89.4496262,,,IL,,false,true,false,openstreetmap
Field 9,soccer,pitch,40.7291326,-89.450304,,,IL,,false,true,false,openstreetmap
Flames Field,soccer,pitch,41.865511,-87.6502799,,,IL,,false,true,false,openstreetmap
Forresters Soccer,soccer,pitch,42.2431408,-87.8288946,,,IL,,false,true,false,openstreetmap
Francis Field,soccer,pitch,38.8809199,-89.4057807,,,IL,,false,true,false,openstreetmap
Freshman Soccer Field,soccer,pitch,42.2718707,-88.1484294,,,IL,,false,true,false,openstreetmap
Geneseo HS Soccer Field,soccer,pitch,41.4636014,-90.1522385,,,IL,,false,true,false,openstreetmap
Hawthorne Turf Field,soccer,pitch,41.9421602,-87.6570316,,,IL,,false,true,false,openstreetmap
