name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Allen Field,soccer,pitch,44.1965499,-70.4109727,,,ME,,false,true,false,openstreetmap
Alumni Field,soccer,pitch,44.5234036,-69.6608696,,,ME,,false,true,false,openstreetmap
Alumni Memorial Field,soccer,pitch,47.2482921,-68.5909192,,,ME,,false,true,false,openstreetmap
Anderson Field,soccer,pitch,44.4071788,-70.7958715,,,ME,,false,true,false,openstreetmap
Andover Soccer Field,soccer,pitch,44.6330104,-70.7524416,,,ME,,false,true,false,openstreetmap
Barr Field,soccer,pitch,44.4082907,-70.7969242,,,ME,,false,true,false,openstreetmap
Bernatchez Field,soccer,pitch,44.5225902,-69.6635521,,,ME,,false,true,false,openstreetmap
Bicycle Path Field,soccer,pitch,43.9210041,-69.9542507,,,ME,,false,true,false,openstreetmap
Bill Alfond Field,soccer,pitch,44.5683018,-69.6563732,,,ME,,false,true,false,openstreetmap
Bowhay Field,soccer,pitch,44.4083393,-70.7960622,,,ME,,false,true,false,openstreetmap
Bristol Consolidated School Soccer Field,soccer,pitch,43.9009688,-69.5056524,,,ME,,false,true,false,openstreetmap
Calumet Soccer Field,soccer,pitch,44.3301836,-69.777738,,,ME,,false,true,false,openstreetmap
Cascade Brook Soccer Field,soccer,pitch,44.673729,-70.1277824,,,ME,,false,true,false,openstreetmap
Cross Soccer Field,soccer,pitch,44.4197986,-70.7680718,,,ME,,false,true,false,openstreetmap
Cushing Field,soccer,park,44.0217378,-69.2491591,,,ME,,false,true,false,openstreetmap
Field 3 - Turf Field,soccer,pitch,43.2298509,-70.8026517,,,ME,,false,true,false,openstreetmap
Field A,soccer,pitch,43.7496418,-70.4433898,,,ME,,false,true,false,openstreetmap
Field A1,soccer,pitch,43.7494955,-70.4423029,,,ME,,false,true,false,openstreetmap
Field A2,soccer,pitch,43.7499741,-70.4428078,,,ME,,false,true,false,openstreetmap
Field B,soccer,pitch,43.7499682,-70.4423482,,,ME,,false,true,false,openstreetmap
Field C,soccer,pitch,43.7499203,-70.4420078,,,ME,,false,true,false,openstreetmap
Field D,soccer,pitch,43.7498298,-70.4414402,,,ME,,false,true,false,openstreetmap
Field E,soccer,pitch,43.7497685,-70.4408189,,,ME,,false,true,false,openstreetmap
Field F,soccer,pitch,43.749697,-70.4390214,,,ME,,false,true,false,openstreetmap
Field G,soccer,pitch,43.7497641,-70.4399518,,,ME,,false,true,false,openstreetmap
Gehrig Johnson Soccer Field,soccer,pitch,46.700498,-68.0321175,,,ME,,false,true,false,openstreetmap
Hodgdon Field,soccer,pitch,43.6812861,-70.4493819,,,ME,,false,true,false,openstreetmap
Hosmer Soccer Field,soccer,pitch,44.5574929,-70.5506582,,,ME,,false,true,false,openstreetmap
Hosmer Soccer Field,soccer,pitch,44.5590421,-70.5518059,,,ME,,false,true,false,openstreetmap
KSB Soccer Field,soccer,pitch,44.5435132,-69.6045144,,,ME,,false,true,false,openstreetmap
Kennebec Savings Bank Field,soccer,pitch,44.3000792,-69.7476423,,,ME,,false,true,false,openstreetmap
LCYDC,soccer,pitch,43.6408272,-70.3090794,,,ME,,false,true,false,openstreetmap
Leavitt Area High School Soccer Field,soccer,pitch,44.2653779,-70.2259002,,,ME,,false,true,false,openstreetmap
Leib Soccer Field,soccer,pitch,44.6698406,-70.1548322,,,ME,,false,true,false,openstreetmap
