name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,soccer,pitch,40.2340277,-74.8212179,,,PA,,false,true,false,openstreetmap
10,soccer,pitch,40.2327185,-74.8202562,,,PA,,false,true,false,openstreetmap
2,soccer,pitch,40.2338496,-74.8214526,,,PA,,false,true,false,openstreetmap
3,soccer,pitch,40.2336349,-74.8217175,,,PA,,false,true,false,openstreetmap
AIM Academy Field,soccer,pitch,40.0583166,-75.2648689,,,PA,,false,true,false,openstreetmap
AYSO Soccor Fields ,soccer,pitch,40.5116506,-78.3759652,,,PA,,false,true,false,openstreetmap
Ace Adams Field,soccer,pitch,39.9504381,-75.1850399,,,PA,,false,true,false,openstreetmap
Ambrose Urbanic Field,soccer,pitch,40.4446095,-79.9672972,,,PA,,false,true,false,openstreetmap
Amosland Soccer Field,soccer,pitch,39.8993586,-75.3149226,,,PA,,false,true,false,openstreetmap
Andrew S. Leh Stadium,soccer,pitch,40.7437422,-75.2986706,,,PA,,false,true,false,openstreetmap
Archdiocese Soccer Field,soccer,pitch,39.9530642,-75.6154883,,,PA,,false,true,false,openstreetmap
Armstrong East Soccer Club Field,soccer,pitch,40.8843717,-79.239416,,,PA,,false,true,false,openstreetmap
Armstrong East Soccer Club Field,soccer,pitch,40.8842499,-79.2385873,,,PA,,false,true,false,openstreetmap
Auxiliary Field,soccer,pitch,40.051243,-75.3742893,,,PA,,false,true,false,openstreetmap
Avon Grove High School Turfs,soccer,pitch,39.8172047,-75.812788,,,PA,,false,true,false,openstreetmap
Avon Grove High School Turfs,soccer,pitch,39.8173792,-75.8119721,,,PA,,false,true,false,openstreetmap
BAYSA Soccer Complex,soccer,pitch,40.3507521,-80.3411742,,,PA,,false,true,false,openstreetmap
Beaman Field,soccer,pitch,40.6450363,-80.0881367,,,PA,,false,true,false,openstreetmap
Bethel Springs Elementary School Soccer Fields,soccer,pitch,39.84528,-75.4883435,,,PA,,false,true,false,openstreetmap
Blue Ridge Field,soccer,pitch,40.6859168,-80.1444575,,,PA,,false,true,false,openstreetmap
Bocci Court,soccer,pitch,40.3180258,-79.7215831,,,PA,,false,true,false,openstreetmap
Bridge Valley Soccer Field,soccer,pitch,40.280316,-75.091125,,,PA,,false,true,false,openstreetmap
Brockway Youth Soccer Fields,soccer,pitch,41.247714,-78.7595544,,,PA,,false,true,false,openstreetmap
Brooks Field,soccer,pitch,39.9984639,-76.3569062,,,PA,,false,true,false,openstreetmap
Bulldog Field,soccer,pitch,40.3329464,-76.0037862,,,PA,,false,true,false,openstreetmap
C,soccer,pitch,40.2370558,-74.8245281,,,PA,,false,true,false,openstreetmap
Camp Security Park Soccer Field,soccer,pitch,39.9789768,-76.6472361,,,PA,,false,true,false,openstreetmap
Carter Field,soccer,pitch,40.0284742,-75.347918,,,PA,,false,true,false,openstreetmap
Centerport Soccer Field,soccer,pitch,40.4863127,-76.0048068,,,PA,,false,true,false,openstreetmap
Coatesville Soccer Field,soccer,pitch,39.9893952,-75.7937718,,,PA,,false,true,false,openstreetmap
Community / Wehr's Dam Soccer Field,soccer,pitch,40.6273488,-75.5698366,,,PA,,false,true,false,openstreetmap
Conemaugh Township Soccer Field,soccer,pitch,40.2304379,-78.939884,,,PA,,false,true,false,openstreetmap
Council Rock High School South Varsity,soccer,pitch,40.2100762,-74.9780789,,,PA,,false,true,false,openstreetmap
Coyle 11,soccer,pitch,40.7716633,-75.4130673,,,PA,,false,true,false,openstreetmap
D,soccer,pitch,40.2371678,-74.8234336,,,PA,,false,true,false,openstreetmap
Danubia Soccer Field,soccer,pitch,40.1226306,-74.9974041,,,PA,,false,true,false,openstreetmap
Devon Prep Soccer Training Area and Wall,soccer,pitch,40.0551931,-75.4230544,,,PA,,false,true,false,openstreetmap
DiSerafino Field,soccer,pitch,40.0098988,-75.7132783,,,PA,,false,true,false,openstreetmap
Dicks Sporting Goods Soccer Field,soccer,pitch,40.5095357,-80.2639061,,,PA,,false,true,false,openstreetmap
Discovery Soccer Field,soccer,pitch,40.4895502,-80.1884661,,,PA,,false,true,false,openstreetmap
Donald H. Funk Field,soccer,pitch,40.0744039,-76.2898713,,,PA,,false,true,false,openstreetmap
Dunning-Cohen Champions Field,soccer,pitch,39.9507247,-75.1861389,,,PA,,false,true,false,openstreetmap
E,soccer,pitch,40.2375999,-74.8221242,,,PA,,false,true,false,openstreetmap
East Soccer Practice Fields,soccer,pitch,40.2860649,-76.8027661,,,PA,,false,true,false,openstreetmap
Eddie White Soccer Field,soccer,pitch,41.2555489,-75.8315959,,,PA,,false,true,false,openstreetmap
Edgebrook Field,soccer,pitch,40.3110014,-80.001849,,,PA,,false,true,false,openstreetmap
Edith Robb Dixon Field,soccer,pitch,40.0571745,-75.377884,,,PA,,false,true,false,openstreetmap
Ellis Soccer Field,soccer,pitch,40.4550995,-79.9176152,,,PA,,false,true,false,openstreetmap
Emmitt Field,soccer,pitch,40.954115,-76.8911256,,,PA,,false,true,false,openstreetmap
F,soccer,pitch,40.2371052,-74.8210883,,,PA,,false,true,false,openstreetmap
Farquhar Field,soccer,pitch,39.9470528,-76.7234424,,,PA,,false,true,false,openstreetmap
Field #1,soccer,pitch,40.3017023,-79.7820507,,,PA,,false,true,false,openstreetmap
Field #10,soccer,pitch,40.3025044,-79.7840744,,,PA,,false,true,false,openstreetmap
Field #3,soccer,pitch,40.3007944,-79.7835908,,,PA,,false,true,false,openstreetmap
Field #3 U-12,soccer,pitch,40.3011349,-79.7828325,,,PA,,false,true,false,openstreetmap
Field #6,soccer,pitch,40.3012982,-79.7852023,,,PA,,false,true,false,openstreetmap
Field #7,soccer,pitch,40.3018841,-79.7856967,,,PA,,false,true,false,openstreetmap
Field #8,soccer,pitch,40.300788,-79.7868361,,,PA,,false,true,false,openstreetmap
