name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,tennis,pitch,34.2209977,-77.9025596,,,NC,,false,true,false,openstreetmap
10,tennis,pitch,34.2208828,-77.9031801,,,NC,,false,true,false,openstreetmap
11,tennis,pitch,34.2208871,-77.9033784,,,NC,,false,true,false,openstreetmap
12,tennis,pitch,34.2208883,-77.9035822,,,NC,,false,true,false,openstreetmap
13,tennis,pitch,34.2208937,-77.9037819,,,NC,,false,true,false,openstreetmap
14,tennis,pitch,34.2217712,-77.9032475,,,NC,,false,true,false,openstreetmap
15,tennis,pitch,34.2217726,-77.903044,,,NC,,false,true,false,openstreetmap
16,tennis,pitch,34.2217672,-77.9028388,,,NC,,false,true,false,openstreetmap
17,tennis,pitch,34.2217618,-77.9026385,,,NC,,false,true,false,openstreetmap
18,tennis,pitch,34.2217645,-77.9024398,,,NC,,false,true,false,openstreetmap
19,tennis,pitch,34.2221764,-77.9036889,,,NC,,false,true,false,openstreetmap
2,tennis,pitch,34.2209944,-77.9024019,,,NC,,false,true,false,openstreetmap
20,tennis,pitch,34.2221764,-77.9034941,,,NC,,false,true,false,openstreetmap
21,tennis,pitch,34.2221721,-77.9032958,,,NC,,false,true,false,openstreetmap
22,tennis,pitch,34.2221699,-77.9030966,,,NC,,false,true,false,openstreetmap
23,tennis,pitch,34.2221677,-77.9029,,,NC,,false,true,false,openstreetmap
3,tennis,pitch,34.2209944,-77.9022038,,,NC,,false,true,false,openstreetmap
4,tennis,pitch,34.2209882,-77.9020538,,,NC,,false,true,false,openstreetmap
5,tennis,pitch,34.2213171,-77.9025483,,,NC,,false,true,false,openstreetmap
6,tennis,pitch,34.221314,-77.9023868,,,NC,,false,true,false,openstreetmap
7,tennis,pitch,34.2213108,-77.9021926,,,NC,,false,true,false,openstreetmap
8,tennis,pitch,34.2213092,-77.9020368,,,NC,,false,true,false,openstreetmap
9,tennis,pitch,34.2208838,-77.9029763,,,NC,,false,true,false,openstreetmap
Adams Farm Tennis Courts,tennis,pitch,36.0225101,-79.9051914,,,NC,,false,true,false,openstreetmap
Ambler Tennis Stadium,tennis,sports_centre,35.9977706,-78.9401117,,,NC,,false,true,false,openstreetmap
Armfield Tennis Complex,tennis,pitch,36.1433816,-79.7947516,,,NC,,false,true,false,openstreetmap
Asheville High Tennis Courts,tennis,pitch,35.5729143,-82.5540064,,,NC,,false,true,false,openstreetmap
Asheville High Tennis Courts,tennis,pitch,35.5729258,-82.5538457,,,NC,,false,true,false,openstreetmap
Asheville High Tennis Courts,tennis,pitch,35.5725902,-82.5539586,,,NC,,false,true,false,openstreetmap
Asheville High Tennis Courts,tennis,pitch,35.5726001,-82.5537949,,,NC,,false,true,false,openstreetmap
