venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Voulez Bar,,,,,,,,-34.5792027,-58.4126688,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00001,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
bule-bar,,,,,,,,-34.6395072,-58.5057209,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00002,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Macondo Bar,,,,,,,,-34.5885084,-58.4302819,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00003,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Cine Bar,,,,,,,,-34.6034,-58.3955902,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00004,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Dickens Pub,3017 Avenida Diagonal Pueyrredón,,,,,,,-37.9986806,-57.5515151,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00005,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
La Flor de Barracas,,,,,,,,-34.6417763,-58.3795602,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00006,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Gran Bar Danzón,1161 Libertad,Ciudad Autónoma de Buenos Aires,,,+54 11 4811-1108,http://www.granbardanzon.com.ar,,-34.5948934,-58.3843075,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00007,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Martin Sur Bar & Restó,Avenida General San Martín Sur,Godoy Cruz,,,,,,-32.9309891,-68.849648,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00008,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Liverpool Pub,,,,,,,,-32.8916533,-68.8398574,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00009,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Argentino Resto Bar,,,,,,,,-32.8962746,-68.8436862,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00010,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Lobby Bar,,,,,,,,-32.8995902,-68.841934,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00011,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
Barro,Amigorena,,,,,,,-32.8916772,-68.8388963,2026-05-25T00:11:57.816491+00:00,approved,active,Argentina,community,osm_venues_ar_v4,ar_00012,ar_venues_batch_v4,2026-05-25T00:11:57.816491+00:00,osm_import_terminal_v4,{},venue
