venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Bar Cornetteria,,,,,,,,41.871175,12.4790787,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00001,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar San Calisto,3/4/5 Piazza di San Calisto,Roma,,00153,+39 06 5835678,,,41.8890547,12.4707375,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00002,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Dar filettaro a Santa Barbara,88 Largo dei Librari,Roma,,00186,+39 06 6864018,,,41.8946709,12.473696,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00003,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar del Tennis,,,,,,,,41.9301169,12.4557331,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00004,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Rosi,117 Via del Pigneto,Roma,,00176,+393809080195,,,41.8888496,12.5269051,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00005,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
The Old Fox Pub,21 Via Cesare da Sesto,Milano,,20123,+39 02 8940 2622,,,45.4588109,9.1707677,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00006,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Barstrò,,,,,,,,45.4950751,9.197087,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00007,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Nilo,Via Ippolito Rosellini,Milano,,20124,,http://www.barnilo.it/,,45.4887935,9.1943986,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00008,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Da Vinci,,,,,,,,45.4809461,9.2252976,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00009,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Magenta,13 Via Giosuè Carducci,Milano,,20123,+39028053808,https://barmagenta.it/,,45.465692,9.175656,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00010,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Mio Bar,,,,,,,,41.9190012,12.4994512,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00011,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Baldassarre,22 Via Ruggero Boscovich,Milano,,20124,,,,45.481866,9.203625,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00012,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Gelateria Aquilone,,,,,,,,45.5499241,9.1776235,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00013,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar Cassis,,,,,,,,45.5495784,9.175552,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00014,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Place's Pub,9 Via Omodei,Cusano Milanino,,20095,,,,45.5484668,9.1759075,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00015,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Murphy's Pub,,,,,,,,45.4696964,9.2280645,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00016,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Bar degli Studenti,99 Viale Palmiro Togliatti,Roma,,00175,+39 347 5798846,,,41.8573195,12.5706744,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00017,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
Non Solo Bar,177 Viale Palmiro Togliatti,Roma,,,,,,41.8607249,12.5695357,2026-05-24T23:20:26.162899+00:00,approved,active,Italy,community,osm_venues_it_v4,it_00018,it_venues_batch_v4,2026-05-24T23:20:26.162899+00:00,osm_import_terminal_v4,{},venue
