venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Barrigas,,,,,,,,41.1590503,-8.5975147,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00001,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Bar Arché Cohiba,,,,,,www.achecohiba.com,,38.7128224,-9.1437112,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00002,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Bar Charh,,,,,,,,38.7352581,-9.1555128,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00003,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Cheers Irish Pub,126 Rua da Atalaia,Lisboa,,,+351 213470982,https://www.cheerslisbon.com/,,38.7128318,-9.1449891,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00004,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Café Barcarola,,,,,,,,41.1668988,-8.5942605,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00005,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Bar Vermelho,,,,,,,,41.241389,-8.7262164,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00006,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Bar da Kebrada,,,,,,,,41.2375571,-8.723566,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00007,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
The Couch Sports Bar,85 Avenida Duque de Loulé,,,1050-089,,,,38.7263065,-9.1472604,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00008,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Sushi Bar Tuppa,,,,,,,,41.1844682,-8.6847697,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00009,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
Vibrações Bar,,,,,,,,41.1034592,-8.6613707,2026-05-24T23:21:10.003790+00:00,approved,active,Portugal,community,osm_venues_pt_v4,pt_00010,pt_venues_batch_v4,2026-05-24T23:21:10.003790+00:00,osm_import_terminal_v4,{},venue
