venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
O'Callaghans Shamrock Pub,,,,,+41 44 482 10 62,http://www.shamrock-irishpub.ch/,,47.3389071,8.5303237,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00001,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Mellow Bar,,,,,,,,47.3406107,8.5298134,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00002,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Sprüngli Café-Bar,21 Bahnhofstrasse,Zürich,,8001,,,,47.3692939,8.5392157,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00003,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Big Ben Westside Pub,234 Hardstrasse,Zürich,,8005,+41 44 271 02 66,https://www.bigbenwestside.ch/,,47.3872345,8.519462,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00004,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Café Bar ODEON,2 Limmatquai,Zürich,,8001,,https://odeon.ch/,,47.3677942,8.5451446,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00005,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Drinx Bar db,24 Dufourstrasse,Zürich,,8008,,https://www.drinxbar.ch/,,47.3637126,8.547619,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00006,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Hotel Hechtplatz Bar,,,,,,,,47.3682148,8.5452505,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00007,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Milchbar,16 Kappelergasse,Zürich,,8001,,https://www.milchbar.ch/,,47.3689961,8.5402339,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00008,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Old Fashion Bar,,,,,+41 44 225 18 86,https://old-fashion-bar.ch/,,47.3686626,8.5407519,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00009,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
Negishi sushi bar,22 Stadelhoferstrasse,Zürich,,8001,,,,47.3671507,8.547428,2026-05-24T23:22:05.802996+00:00,approved,active,Switzerland,community,osm_venues_ch_v4,ch_00010,ch_venues_batch_v4,2026-05-24T23:22:05.802996+00:00,osm_import_terminal_v4,{},venue
