venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Sky Club Bar,,,,,,,,41.3224057,19.8179435,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00001,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar FIORENTINA,,,,,,,,41.3244688,19.4460208,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00002,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar FLAMURTARI,,,,,,,,41.324459,19.4485332,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00003,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Chicago Bar,,,,,,,,42.0671716,19.5143504,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00004,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar Angel,Rruga e Kavajës,Tirana,,,,,,41.3235537,19.7954171,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00005,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar Dollia,,,,,,,,41.3235038,19.7938006,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00006,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Irish Pub,1 Македонски Просветители,Охрид,,6000,,,,41.1150114,20.8006878,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00007,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
unique bar fitnes,Rruga Rexhep Shala,Tiranë,,1052,,,,41.3238631,19.7814967,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00008,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar Kafe,,,,,,,,42.0663839,19.5180298,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00009,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar Bufe,,,,,,,,42.0657629,19.5191844,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00010,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Baste Sportive,,,,,,,,42.068359,19.5157344,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00011,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
Bar Kafe,,,,,,,,42.0618838,19.5061388,2026-05-25T00:00:23.182147+00:00,approved,active,Albania,community,osm_venues_al_v4,al_00012,al_venues_batch_v4,2026-05-25T00:00:23.182147+00:00,osm_import_terminal_v4,{},venue
