venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Bar do Salomão,,,,,,,,-19.9388896,-43.9198583,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00001,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Fortaleza de Santa Cruz da Barra,,,,,,,,-22.9385766,-43.1310176,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00002,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Bar da Dalva,,,,,,,,-19.9349914,-43.9292622,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00003,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Chop Stick / Vinnil Cultura Bar,1068 Rua dos Inconfidentes,Belo Horizonte,,30140-120,,,,-19.9353545,-43.9359405,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00004,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Bar do Serafim,24 Rua Alice,Rio de Janeiro,,,,,,-22.9362044,-43.1902901,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00005,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Café e Bar Vila Viçosa,143G Rua das Laranjeiras,,,,,,,-22.9333469,-43.1841151,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00006,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Café e Bar Céu da Guanabara,143B Rua das Laranjeiras,Rio de Janeiro,,,,,,-22.933188,-43.1839321,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00007,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Café e Bar 31,31 Rua Voluntários da Pátria,Rio de Janeiro,,,,,,-22.9508898,-43.1825322,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00008,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
choperia siri bar,,,,,,,,-23.5373131,-46.6843487,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00009,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Churrascaria Barranco,1578 Avenida Protásio Alves,,,,+55 51 3331-6172,https://churrascariabarranco.com.br/,,-30.0405812,-51.1922847,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00010,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Antônio's Bar,88 Avenida Mem de Sá,,,,,,,-22.9129588,-43.1819792,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00011,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
Restaurante Bar Brasil,90 Avenida Mem de Sá,,,,,,,-22.912878,-43.1821393,2026-05-25T00:21:26.075929+00:00,approved,active,Brazil,community,osm_venues_br_v4,br_00012,br_venues_batch_v4,2026-05-25T00:21:26.075929+00:00,osm_import_terminal_v4,{},venue
