venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
El Irish,83-48 Carrera 12A,,,,,,,4.667793,-74.0535672,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00001,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Barcelona Restaurante Bar,,,,,,,,6.2084831,-75.5677829,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00002,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Rock Garden Pub,,,,,,,,4.6666085,-74.0551827,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00003,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Dublin Irish Pub,,,,,,,,4.6892913,-74.069395,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00004,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Colombian Pub,,,,,,,,4.641762,-74.0758712,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00005,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
The Pub,,,,,,,,4.694772,-74.0316853,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00006,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Rock Garden Pub Usaquen,,,,,,,,4.6960653,-74.0304583,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00007,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Tienda BAR bailey,,,,,,,,4.5638043,-74.1292077,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00008,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Blossom Bar Rock,6-04 Calle 53,,,,+5712102629,,,4.6394703,-74.062472,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00009,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
restaurante-bar,,,,,,,,4.7559219,-74.0510303,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00010,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
