venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Bistro Point-Barre,,,,,,,,45.7382022,4.7710909,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00001,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Flan' Ruin Pub,,,,,+33 4 78 72 51 68,https://flanruinpub.fr/,,45.7686724,4.8361996,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00002,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le République,,,,,+33 4 78 42 59 56,,,45.7593521,4.8358619,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00003,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar de L'Eldorado,,,,,,,,45.7544636,4.8458006,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00004,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar du Quartier Latin,,,,,,,,45.7475962,4.8338401,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00005,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar-Tabac L'Européen,,,,,,,,48.8222833,2.2068942,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00006,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Pub Danois,,,,,,,,45.7622544,4.8286874,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00007,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar à huitre Thomas,,,,,+33 4 78 05 28 99,https://www.restaurant-thomas.com/,,45.7532609,4.8320183,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00008,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar Hemingway,,,,,,,,48.8687856,2.3275106,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00009,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Willi's Wine Bar,13 Rue des Petits Champs,,,,,,,48.8663449,2.3382902,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00010,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Harry's Bar,,,,,,www.harrysbar.fr,,48.8692089,2.3321714,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00011,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Buddha-Bar Paris,8-12 Rue Boissy d'Anglas,Paris,,75008,+33 1 53 05 90 00,https://www.buddhabar.com/,,48.8680799,2.3215688,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00012,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Barabaar,,,,,,,,45.7791637,4.8038231,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00013,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Clown-Bar,,,,,+33143558735,,,48.8636232,2.3671745,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00014,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
The Canadian Embassy Pub,71 Boulevard Gouvion-Saint-Cyr,Paris,,75017,+33 9 74 64 03 74,https://www.thefork.fr/restaurant/the-canadian-embassy-pub-r386801,,48.8802602,2.2852551,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00015,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar nouveau,5 Rue des Haudriettes,,,,,,,48.861504,2.3575623,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00016,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar de la Poste,,,,,,,,45.7577997,4.8128396,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00017,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
You Cocktail Bar,56 Rue Ney,,,,,https://youfreebrand.com/,,45.767864,4.855429,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00018,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Black Angus République,,,,,,,,48.8667526,2.3657202,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00019,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Café République,9 Place de la République,Paris,,75003,+33 1 42 72 31 44,https://www.cafe-republique.com,,48.8667246,2.3638798,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00020,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Belushi's Bar Canal,,,,,+33 1 40 34 34 40,,,48.8884858,2.3790155,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00021,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Bar Belge,,,,,,,,48.8924314,2.3270614,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00022,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Bar Basque,,,,,+33 5 61 21 55 64,,,43.6037148,1.436058,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00023,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Pub Saint-Pierre,,,,,+33 5 61 21 74 13,,,43.6039482,1.4356073,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00024,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Bar du Marché,,,,,,,,48.8539544,2.3370609,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00025,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Pub Gay-Lussac,,,,,,,,48.841516,2.343644,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00026,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Débarcadaire,170 Quai de Stalingrad,Issy-les-Moulineaux,,92130,,,,48.8267208,2.2566433,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00027,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Little Temple Bar,,,,,,,,48.8522494,2.3344273,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00028,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
Le Bar du Coin,,,,,,,,47.2154343,-1.5535244,2026-05-24T23:44:48.544713+00:00,approved,active,France,community,osm_venues_fr_v4,fr_00029,fr_venues_batch_v4,2026-05-24T23:44:48.544713+00:00,osm_import_terminal_v4,{},venue
