venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Newton Bar,57 Charlottenstraße,Berlin,,10117,,https://www.newton-bar.de/,,52.5129305,13.3912298,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00001,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Izumi Sushi Bar,66 Kronenstraße,Berlin,,10117,+49 30 20649938,,,52.511292,13.3887116,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00002,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Carambar,1 Rathausstraße,Berlin,,10178,,https://carambar.de,,52.5203514,13.4122196,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00003,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Sportler-Eck,68 Ernststraße,Berlin,,13509,+49 30 4327668,,,52.5840688,13.302578,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00004,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
No Limit Shishabar,,,,,+4915788084160,,,52.5655612,13.3209279,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00005,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
ChillOut Bar,25 General-Barby-Straße,Berlin,,13403,+49 30 46994340,http://www.chillout-berlin.de/,,52.5688285,13.3170085,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00006,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Irish-Pub.Berlin,58 Triftstraße,Berlin,,13353,,,,52.5431648,13.3566864,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00007,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Shaxe Bar,,,,,,,,48.1514568,11.5626993,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00008,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
SALTA Bar,14 Erich-Kästner-Straße,München,,80796,+49 89 18927726,https://salta-bar.de/,,48.1629956,11.5693919,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00009,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Z-Bar,2 Bergstraße,Berlin,,10115,+49 30 28389121,https://zbarberlin.com,,52.5295259,13.3956385,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00010,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Pils-Pub Royal,,,,,+49 89 35 7472 32,https://pilspubroyal.eatbu.com/?lang=de,,48.1992353,11.5443578,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00011,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Fortuna Cafébar,18 Sedanstraße,München,,81667,+49 89 18922823,http://www.fortuna-cafebar.de/,,48.129749,11.598075,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00012,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Bar Tapas Teatro,23 Balanstraße,München,,81669,,https://www.teatro-bar-tapas.de/,,48.1265126,11.5954148,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00013,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
EscoBar,19 Breisacher Straße,München,,81667,+49 89 485137,https://escobar-muenchen.de/,,48.1306142,11.6048328,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00014,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
Lottibar,40 Pariser Straße,München,,81667,,https://www.lottibar.de/,,48.128618,11.6006988,2026-05-24T23:20:44.765774+00:00,approved,active,Germany,community,osm_venues_de_v4,de_00015,de_venues_batch_v4,2026-05-24T23:20:44.765774+00:00,osm_import_terminal_v4,{},venue
