venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Pub Saint-Georges,,,,,,,,50.3717794,3.0870572,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00001,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
CSP Bar,,,,,,,,50.3722496,3.0853918,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00002,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar Parallèle,,,,,+33 3 28 07 73 97,https://lebarparallele.com/,,50.6388083,3.0620971,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00003,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Irish Coffee,,,,,,http://www.irishcoffee-valenciennes.fr/,,50.3632373,3.5304622,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00004,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Le Barbier qui fume,,,,,+33 3 20 06 99 35,https://www.lebarbierquifume.fr/le-barbier-qui-fume-vieux-lille.html,,50.641375,3.0620802,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00005,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Le New's Pub,,,,,,,,50.739836,3.116733,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00006,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
"La Réserve, bar à manger",,,,,+33 3 62 28 51 02,,,50.6258148,3.051623,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00007,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar Saint-Éloi,4 Place Carnot,,,,,,,49.8396365,3.3007333,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00008,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bommel bar,57 Rue de l'Amiral Ronarc'h,,,,,,,51.0354161,2.3735303,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00009,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
L'intervalle bar,,,,,,,,50.6398695,3.0565641,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00010,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Café des sports,,,,,,,,50.2630073,3.1649252,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00011,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar le 421,,,,,,,,50.2618683,3.1650969,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00012,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Café des Sports,,,,,,,,49.9113936,2.2549791,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00013,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Wall Street Pub,,,,,,,,51.0338971,2.3770356,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00014,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Au Palais Jean Bart,,,,,,,,51.0342931,2.3780527,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00015,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Cocktails Bar,38 Rue Albert 1er,,,,,,,50.5314361,2.6402616,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00016,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Le Barbue d'Anvers,,,,,+33 3 20 55 11 68,https://www.lebarbuedanvers.fr/,,50.6373783,3.0620151,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00017,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar Tabac PMU Le Sulky,,,,,,,,51.0135242,2.2935928,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00018,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar Le Saint-Jacques,Avenue de l'Ancien Village,Grande-Synthe,,,,,,51.0112985,2.2942124,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00019,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Baobar,,,,,,,,49.895549,2.3036101,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00020,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
La Boulangerie Bar,,,,,,https://laboulangeriebar.fr/,,50.6277099,3.0574787,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00021,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Bar du Midi,,,,,,,,49.8936893,2.2983109,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00022,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
La terrasse du Barœul,,,,,,,,50.6500362,3.1082191,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00023,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Hyde Bar,,,,,,,,50.6284695,3.0519524,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00024,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
16 Bar,,,,,,,,50.3570929,3.5206679,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00025,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
Le Sporting,,,,,,,,50.3548265,3.5286419,2026-05-25T20:03:10.184829+00:00,approved,active,North France,community,osm_venues_fr_north_v4,fr_north_00026,fr_north_venues_batch_v4,2026-05-25T20:03:10.184829+00:00,osm_import_terminal_v4,{},venue
