venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Bar Barocco,,,,,,,,40.4130638,-3.7129344,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00001,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Irish Rover,7 Avenida de Brasil,Madrid,,28020,+34 915 974 811;+34 637 564 168,https://www.theirishrover.com/,,40.4547254,-3.6939836,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00002,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Acueducto,,,,,,,,40.4859346,-3.6863931,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00003,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
"Bar ""La Toledana""",,,,,,,,40.4857917,-3.6902926,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00004,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Positivo gastrobar,,,,,,,,40.487335,-3.6890846,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00005,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Derby,,,,,,,,40.4875148,-3.6903193,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00006,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
"Bar ""annais""",,,,,,,,40.4849503,-3.6868917,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00007,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Díaz,,,,,,,,40.4039506,-3.7014278,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00008,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar Teide,2 Calle de las Delicias,Madrid,,28045,+34 915 30 38 68,,,40.4041585,-3.6959215,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00009,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
Bar la familia,,,,,,,,40.4048223,-3.6960055,2026-05-24T23:20:21.554352+00:00,approved,active,Spain,community,osm_venues_es_v4,es_00010,es_venues_batch_v4,2026-05-24T23:20:21.554352+00:00,osm_import_terminal_v4,{},venue
