venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
The Union Bar,,,,,,,,51.5004234,-0.1777428,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00001,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
The Polish Bar (Na Zdrowie),6 Little Turnstile,London,,WC1V 7DX,,,,51.5173465,-0.1189566,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00002,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
All Bar One,58 Kingsway,London,,WC2B 6DX,+44 20 7269 5171,http://www.allbarone.co.uk/all-bar-one-kingsway/,,51.5163376,-0.119321,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00003,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Bold Food & Bar,126 Dartmouth Park Hill,London,,N19 5HS,+447585 957 145,https://www.thehouselondon.co.uk/,,51.5649774,-0.140689,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00004,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Aces and Eights Saloon Bar,156-158 Fortess Road,London,,NW5 2HP,,https://www.acesandeightssaloonbar.com/,,51.5566538,-0.1383959,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00005,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Canalside Bar,"38 Middle Yard, Camden Lock Place",London,,NW1 8AF,,,,51.5411992,-0.1458705,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00006,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Barlow Croft,,Manchester,,M20 5PG,,https://www.greeneking.co.uk/pubs/greater-manchester/barlow-croft,,53.4107971,-2.2184809,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00007,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Kro Bar,325 Oxford Road,,,,+44 161 274 3100,,,53.4648954,-2.2319363,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00008,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Bar Story,Blenheim Grove,London,,SE15 4QL,,,,51.4695231,-0.0698846,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00009,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
The Baring Arms,55 Baring Street,London,,N1 3DS,,,,51.537057,-0.0884773,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00010,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
135 bar & lounge,135 Cambridge Heath Road,London,,E1 5RN,,,,51.5229869,-0.0552609,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00011,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Bank Restaurant & Bar,45 Buckingham Gate,London,,SW1E 6BS,+44 20 7630 6644,https://www.individualrestaurants.com/,,51.4986304,-0.1372558,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00012,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
Hen and Chickens theatre & bar,,,,,,,,51.5460243,-0.1019468,2026-05-24T23:21:02.413484+00:00,approved,active,United Kingdom,community,osm_venues_uk_v4,uk_00013,uk_venues_batch_v4,2026-05-24T23:21:02.413484+00:00,osm_import_terminal_v4,{},venue
