import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
california_production_v1,1,state_curated_california_v1,toms_watch_bar_los_angeles,Tom's Watch Bar Los Angeles,1011 S Figueroa St Ste B101,Los Angeles,CA,90015,USA,34.0446358,-118.2643592,(213) 746-8667,https://tomswatchbar.com/los-angeles/
california_production_v1,2,state_curated_california_v1,toms_watch_bar_inglewood,Tom's Watch Bar Inglewood,3900 W Century Blvd,Inglewood,CA,90303,USA,33.9453999,-118.3414034,,https://tomswatchbar.com/inglewood/
california_production_v1,3,state_curated_california_v1,dave_busters_hollywood,Dave & Buster's Hollywood,6801 Hollywood Blvd Ste C3-343,Los Angeles,CA,90028,USA,34.1016014,-118.3387620,(323) 603-2400,https://www.daveandbusters.com/
california_production_v1,4,state_curated_california_v1,dave_busters_westchester,Dave & Buster's Los Angeles Westchester,6081 Center Dr,Los Angeles,CA,90045,USA,33.9781686,-118.3929919,,https://www.daveandbusters.com/us/en/about/locations/los-angeles-westchester
california_production_v1,5,state_curated_california_v1,thirty_three_taps_dtla,33 Taps Downtown LA,1240 S Figueroa St,Los Angeles,CA,90015,USA,34.0413616,-118.2672666,(442) 249-5443,https://www.eatdrink33.com/location/downtown-la/
california_production_v1,6,state_curated_california_v1,thirty_three_taps_silver_lake,33 Taps Silver Lake,3725 W Sunset Blvd,Los Angeles,CA,90026,USA,34.0906715,-118.2779905,,https://www.eatdrink33.com/location/33-taps-silver-lake/
california_production_v1,7,state_curated_california_v1,thirty_three_taps_weho,33 Taps West Hollywood,8941 Santa Monica Blvd,West Hollywood,CA,90069,USA,34.0841161,-118.3852436,(310) 402-0770,https://www.eatdrink33.com/location/westhollywood/
california_production_v1,8,state_curated_california_v1,thirty_three_taps_culver,33 Taps Culver City,9739 Culver Blvd,Culver City,CA,90232,USA,34.0218637,-118.3962490,,https://www.eatdrink33.com/
california_production_v1,9,state_curated_california_v1,roccos_studio_city,Rocco's Tavern Studio City,12514 Ventura Blvd,Studio City,CA,91604,USA,34.1426773,-118.4056558,(818) 985-9876,https://roccostavern.com/locations/studio-city
california_production_v1,10,state_curated_california_v1,roccos_culver_city,Rocco's Tavern Culver City,3843 Main St,Culver City,CA,90232,USA,34.0247601,-118.3945964,(310) 559-5500,https://www.roccostavern.com/locations/culver-city
california_production_v1,11,state_curated_california_v1,roccos_westwood,Rocco's Tavern Westwood,1000 Gayley Ave,Los Angeles,CA,90024,USA,34.0619489,-118.4478788,(424) 248-3145,https://roccostavern.com/locations/westwood
california_production_v1,12,state_curated_california_v1,roccos_pasadena,Rocco's Tavern Pasadena,44 W Green St,Pasadena,CA,91105,USA,34.1444517,-118.1513048,(626) 765-6810,https://roccostavern.com/
california_production_v1,13,state_curated_california_v1,buffalo_wild_wings_wilshire,Buffalo Wild Wings Wilshire,3150 Wilshire Blvd Ste 100,Los Angeles,CA,90010,USA,34.0617406,-118.2906424,(213) 201-6570,https://www.buffalowildwings.com/
california_production_v1,14,state_curated_california_v1,buffalo_wild_wings_hollywood,Buffalo Wild Wings Hollywood,7060 Hollywood Blvd,Los Angeles,CA,90028,USA,34.1015299,-118.3434209,(323) 466-1721,https://www.buffalowildwings.com/
california_production_v1,15,state_curated_california_v1,barneys_beanery_weho,Barney's Beanery West Hollywood,8447 Santa Monica Blvd,West Hollywood,CA,90069,USA,34.0905583,-118.3742273,(323) 654-2287,https://barneysbeanery.com/
california_production_v1,16,state_curated_california_v1,founders_ale_house,Founders Ale House,8771 W Pico Blvd,Los Angeles,CA,90035,USA,34.0547283,-118.3832049,(310) 854-0450,https://foundersalehouse.com/
california_production_v1,17,state_curated_california_v1,dave_busters_orange,Dave & Buster's Orange,20 City Blvd W,Orange,CA,92868,USA,33.7824108,-117.8899420,,https://www.daveandbusters.com/us/en/about/locations/california-orange
california_production_v1,18,state_curated_california_v1,danny_ks_orange,Danny K's Billiards & Sports Bar,1096 N Main St,Orange,CA,92867,USA,33.8047738,-117.8669632,(714) 771-9706,https://dannyks.com/
california_production_v1,19,state_curated_california_v1,lopez_leftys_anaheim,Lopez & Lefty's,1759 S Claudina Way,Anaheim,CA,92805,USA,33.8059480,-117.9013654,(714) 300-0000,https://lopezandleftys.com/
california_production_v1,20,state_curated_california_v1,hooters_costa_mesa,Hooters of Costa Mesa,1507 S Coast Dr,Costa Mesa,CA,92626,USA,33.6915603,-117.9212171,(714) 546-9464,https://www.hooters.com/
california_production_v1,21,state_curated_california_v1,the_cave_fullerton,The Cave Sports Bar,628 W Orangethorpe Ave,Fullerton,CA,92832,USA,33.8593376,-117.9355769,(714) 871-2222,https://www.thecaveoc.com/
california_production_v1,22,state_curated_california_v1,classic_q_newport,Classic Q,4251 MacArthur Blvd,Newport Beach,CA,92660,USA,33.6655752,-117.8641030,(949) 261-9458,https://www.classicq.com/
california_production_v1,23,state_curated_california_v1,cruisers_newport,Cruisers Pizza Bar Grill Newport Beach,801 E Balboa Blvd,Newport Beach,CA,92661,USA,33.6018709,-117.8994405,(949) 220-9414,https://www.cruisersnewport.com/
california_production_v1,24,state_curated_california_v1,malarkys_newport,Malarky's Irish Pub,3011 Newport Blvd,Newport Beach,CA,92663,USA,33.6150394,-117.9303992,(949) 675-2340,https://malarkysirishpub.com/
