import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
california_production_v2_la_expansion,1,state_curated_california_v2,dtla_sports_bar,DTLA Sports Bar and Grill,2065 S Santa Fe Ave,Los Angeles,CA,90021,USA,34.0199968,-118.2303444,213-596-6913,https://www.dtlasportsbar.com/
california_production_v2_la_expansion,2,state_curated_california_v2,lucky_strike_la_live,Lucky Strike at LA Live,800 W Olympic Blvd,Los Angeles,CA,90015,USA,34.0453893,-118.2658292,213-542-4880,https://www.luckystrikeent.com/location/lucky-strike-la-live
california_production_v2_la_expansion,3,state_curated_california_v2,lucky_strike_los_angeles,Lucky Strike Los Angeles,8731 Lincoln Blvd,Westchester,CA,90045,USA,33.9583629,-118.4179830,310-670-0688,https://www.luckystrikeent.com/location/lucky-strike-los-angeles
california_production_v2_la_expansion,4,state_curated_california_v2,lucky_strike_beverly_hills,Lucky Strike Beverly Hills,8500 Beverly Blvd Suite 136,Los Angeles,CA,90048,USA,34.0759809,-118.3766565,310-492-0309,https://www.luckystrikeent.com/location/lucky-strike-beverly-hills
california_production_v2_la_expansion,5,state_curated_california_v2,lucky_strike_hollywood,Lucky Strike Hollywood,6801 Hollywood Blvd Ste 143,Los Angeles,CA,90028,USA,34.1016014,-118.3387620,,https://www.luckystrikeent.com/
california_production_v2_la_expansion,6,state_curated_california_v2,topgolf_el_segundo,Topgolf El Segundo,400 S Pacific Coast Hwy,El Segundo,CA,90245,USA,33.9281934,-118.3961748,,https://topgolf.com/us/el-segundo/
california_production_v2_la_expansion,7,state_curated_california_v2,the_lakes_el_segundo,The Lakes at El Segundo,398 S Pacific Coast Hwy,El Segundo,CA,90245,USA,33.9262257,-118.3963518,(424) 499-1328,https://www.golfthelakes.com/
california_production_v2_la_expansion,8,state_curated_california_v2,qs_billiard_club,Q's Billiard Club,11835 Wilshire Blvd,Los Angeles,CA,90024,USA,34.0475279,-118.4633421,(310) 477-7550,https://qsbilliardclub.com/
california_production_v2_la_expansion,9,state_curated_california_v2,ninety_west_lounge,90 West Lounge,12740 Culver Blvd,Los Angeles,CA,90066,USA,33.9855683,-118.4251759,,https://90westlounge.com/
california_production_v2_la_expansion,10,state_curated_california_v2,greyhound_highland_park,The Greyhound Bar and Grill,5570 N Figueroa St,Los Angeles,CA,90042,USA,34.1088853,-118.1940942,(323) 900-0300,https://the-greyhound.com/
