import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
colorado_production_v1,1,state_curated_colorado_v1,toms_watch_bar_denver,Tom's Watch Bar Denver,1601 19th St Unit 101,Denver,CO,80202,USA,39.7541006,-104.9964109,(303) 872-7557,https://tomswatchbar.com/denver-coors-field/
colorado_production_v1,2,state_curated_colorado_v1,hayters_denver,Hayter's & Co,1920 Blake St,Denver,CO,80202,USA,39.7535795,-104.9950107,(720) 513-3095,https://www.haytersandco.com/
colorado_production_v1,3,state_curated_colorado_v1,society_denver,Society Sports and Spirits,1434 Blake St,Denver,CO,80202,USA,39.7489898,-105.0006985,(720) 517-7303,https://societydenver.com/
colorado_production_v1,4,state_curated_colorado_v1,choppers_denver,Chopper's Sports Grill,80 S Madison St,Denver,CO,80209,USA,39.7149018,-104.9458224,(303) 399-4448,https://chopperssportsgrill.com/
colorado_production_v1,5,state_curated_colorado_v1,stoneys_lincoln,Stoney's Bar & Grill Lincoln,1111 Lincoln St,Denver,CO,80203,USA,39.7342327,-104.9863534,(303) 830-6839,https://www.stoneysbarandgrill.com/
colorado_production_v1,6,state_curated_colorado_v1,stoneys_sloans_lake,Stoney's Sloans Lake,1565 N Raleigh St #100,Denver,CO,80204,USA,39.7414121,-105.0417396,(720) 740-1725,https://www.stoneyssloanslake.com/
colorado_production_v1,7,state_curated_colorado_v1,stoneys_uptown,Stoney's Uptown Joint,1035 E 17th Ave,Denver,CO,80218,USA,39.7434100,-104.9736070,(720) 485-5503,https://www.stoneysuptown.com/
colorado_production_v1,8,state_curated_colorado_v1,dave_busters_denver,Dave & Buster's Denver,2000 S Colorado Blvd,Denver,CO,80222,USA,39.6813799,-104.9389770,(303) 759-1515,https://www.daveandbusters.com/us/en/about/locations/denver
colorado_production_v1,9,state_curated_colorado_v1,dave_busters_colorado_springs,Dave & Buster's Colorado Springs,9279 Highland Ridge Hts,Colorado Springs,CO,80920,USA,38.9652309,-104.7854554,(719) 418-8911,https://www.daveandbusters.com/us/en/about/locations/colorado-springs
colorado_production_v1,10,state_curated_colorado_v1,twin_peaks_centennial,Twin Peaks Arapahoe,8840 E Arapahoe Rd,Centennial,CO,80112,USA,39.5942372,-104.8864288,(303) 779-8946,https://twinpeaksrestaurant.com/locations/arapahoe-co
colorado_production_v1,11,state_curated_colorado_v1,twin_peaks_broomfield,Twin Peaks Broomfield,299 E Flatiron Crossing Dr,Broomfield,CO,80021,USA,39.9313624,-105.1221997,(303) 469-3825,https://twinpeaksrestaurant.com/
