import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
florida_production_v1,1,state_curated_florida_v1,grails_miami,Grails Miami,2800 N Miami Ave,Miami,FL,33127,USA,25.8033013,-80.1951629,(786) 870-4313,https://grailsmiami.com/contact/
florida_production_v1,2,state_curated_florida_v1,american_social_miami,American Social Miami,690 SW 1st Ct,Miami,FL,33130,USA,25.7727371,-80.2058267,(786) 706-8256,https://americansocialbar.com/locations/miami/
florida_production_v1,3,state_curated_florida_v1,duffys_miami,Duffy's Sports Grill Miami,8575 SW 124th Ave,Miami,FL,33183,USA,25.6882781,-80.3920471,(305) 406-0001,https://www.duffysmvp.com/
florida_production_v1,4,state_curated_florida_v1,twin_peaks_doral,Twin Peaks Doral,8700 NW 18th Ter,Doral,FL,33172,USA,25.7913579,-80.3368902,(305) 356-4066,https://twinpeaksrestaurant.com/
florida_production_v1,5,state_curated_florida_v1,dave_busters_miami,Dave & Buster's Miami,11481 NW 12th St,Miami,FL,33172,USA,25.7827489,-80.3788726,(305) 468-1555,https://www.daveandbusters.com/
florida_production_v1,6,state_curated_florida_v1,hooters_coral_way,Hooters of Coral Way,3301 Coral Way Unit 104,Miami,FL,33145,USA,25.7504642,-80.2501864,305-709-5781,https://www.hooters.com/locations/31726-coral-way
florida_production_v1,7,state_curated_florida_v1,hooters_doral,Hooters of Doral,8695 NW 13th Terrace,Miami,FL,33126,USA,25.7852049,-80.3365565,305-851-5964,https://www.hooters.com/locations/31710-doral
florida_production_v1,8,state_curated_florida_v1,hooters_hialeah,Hooters of Hialeah,680 W 49th St,Hialeah,FL,33012,USA,25.8665860,-80.2965212,305-722-5546,https://www.hooters.com/
florida_production_v1,9,state_curated_florida_v1,millers_miami_doral,Miller's Ale House Miami Doral,3271 NW 87 Ave,Doral,FL,33172,USA,25.8043201,-80.3371722,,https://millersalehouse.com/locations/miami-doral/
florida_production_v1,10,state_curated_florida_v1,millers_miami_kendall,Miller's Ale House Miami Kendall,11625 N Kendall Dr,Miami,FL,33176,USA,25.6879269,-80.3811975,,https://millersalehouse.com/locations/miami-kendall/
florida_production_v1,11,state_curated_florida_v1,millers_miami_lakes,Miller's Ale House Miami Lakes,15251 NW 67th Ave,Miami Lakes,FL,33014,USA,25.9123371,-80.3093553,,https://millersalehouse.com/locations/miami-lakes/
florida_production_v1,12,state_curated_florida_v1,batch_gastropub_miami,Batch Gastropub Miami,30 SW 12th St,Miami,FL,33130,USA,25.7624703,-80.1941717,(305) 808-5555,https://batchgastropub.com/
florida_production_v1,13,state_curated_florida_v1,duffys_fort_lauderdale,Duffy's Sports Grill Fort Lauderdale,1804 Cordova Rd,Fort Lauderdale,FL,33316,USA,26.0989557,-80.1306648,(954) 713-6363,https://www.duffysmvp.com/
florida_production_v1,14,state_curated_florida_v1,twin_peaks_fort_lauderdale,Twin Peaks Fort Lauderdale,6401 N Andrews Ave,Fort Lauderdale,FL,33309,USA,26.2058916,-80.1472247,(954) 741-3330,https://twinpeaksrestaurant.com/
florida_production_v1,15,state_curated_florida_v1,hooters_cypress_creek,Hooters of Ft. Lauderdale Cypress Creek,6345 N Andrews Ave,Fort Lauderdale,FL,33309,USA,26.2053414,-80.1478239,(954) 320-6019,https://www.hooters.com/locations/31714-ft-lauderdale-cypress-creek
florida_production_v1,16,state_curated_florida_v1,hooters_fort_lauderdale_beach,Hooters of Fort Lauderdale Beach,17 S Fort Lauderdale Beach Blvd Ste 304,Fort Lauderdale,FL,33316,USA,26.1226985,-80.1041334,(954) 507-4158,https://www.hooters.com/
florida_production_v1,17,state_curated_florida_v1,american_social_fort_lauderdale,American Social Fort Lauderdale,721 E Las Olas Blvd,Fort Lauderdale,FL,33301,USA,26.1192795,-80.1361041,,https://americansocialbar.com/
florida_production_v1,18,state_curated_florida_v1,millers_hollywood,Miller's Ale House Hollywood,3215 Oakwood Blvd,Hollywood,FL,33020,USA,26.0373544,-80.1621146,,https://millersalehouse.com/locations/
florida_production_v1,19,state_curated_florida_v1,millers_pembroke_pines,Miller's Ale House Pembroke Pines,11795 Pines Blvd,Pembroke Pines,FL,33026,USA,26.0078926,-80.3059901,,https://millersalehouse.com/locations/
florida_production_v1,20,state_curated_florida_v1,duffys_plantation,Duffy's Sports Grill Plantation,811 S University Dr,Plantation,FL,33324,USA,26.1106015,-80.2516756,,https://www.duffysmvp.com/
florida_production_v1,21,state_curated_florida_v1,american_social_orlando,American Social Orlando,7335 W Sand Lake Rd Ste 101,Orlando,FL,32819,USA,28.4500486,-81.4790800,(407) 974-5107,https://americansocialbar.com/locations/orlando/
florida_production_v1,22,state_curated_florida_v1,dave_busters_orlando,Dave & Buster's Orlando,8986 International Dr,Orlando,FL,32819,USA,28.4352682,-81.4723910,,https://www.daveandbusters.com/us/en/about/locations/orlando
florida_production_v1,23,state_curated_florida_v1,millers_orlando_florida_mall,Miller's Ale House Orlando Florida Mall,1667 Florida Mall Ave,Orlando,FL,32809,USA,28.4446430,-81.4006491,,https://millersalehouse.com/locations/orlando-florida-mall/
florida_production_v1,24,state_curated_florida_v1,millers_orlando_idrive,Miller's Ale House Orlando I-Drive,8963 International Dr,Orlando,FL,32819,USA,28.4356770,-81.4722851,,https://millersalehouse.com/locations/
florida_production_v1,25,state_curated_florida_v1,millers_orlando_kirkman,Miller's Ale House Orlando Kirkman,5573 Kirkman Rd,Orlando,FL,32819,USA,28.4810438,-81.4586258,,https://millersalehouse.com/locations/
