import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
florida_production_v2_expansion,1,state_curated_florida_v2,black_market_miami,Black Market Miami,168 SE 1st St,Miami,FL,33131,USA,25.7733060,-80.1912511,(305) 400-8023,https://www.blackmarketmia.com/location/black-market-miami/
florida_production_v2_expansion,2,state_curated_florida_v2,finnegans_way_miami_beach,Finnegan's Way,1344 Ocean Dr,Miami Beach,FL,33139,USA,25.7844837,-80.1299335,(305) 672-7747,https://finnegansway.com/
florida_production_v2_expansion,3,state_curated_florida_v2,lost_weekend_miami,Lost Weekend Miami,218 Espanola Way,Miami Beach,FL,33139,USA,25.7868878,-80.1312760,,https://sub-culture.org/lw-miami/
florida_production_v2_expansion,4,state_curated_florida_v2,clevelander_south_beach,Clevelander South Beach,1020 Ocean Dr,Miami Beach,FL,33139,USA,25.7806621,-80.1306510,,https://www.clevelander.com/
florida_production_v2_expansion,5,state_curated_florida_v2,buffalo_wild_wings_dolphin_mall,Buffalo Wild Wings Dolphin Mall,11401 NW 12th St Ste E526,Miami,FL,33172,USA,25.7827841,-80.3751779,(305) 513-2660,https://www.buffalowildwings.com/
florida_production_v2_expansion,6,state_curated_florida_v2,buffalo_wild_wings_cutler_bay,Buffalo Wild Wings Cutler Bay,20505 S Dixie Hwy Ste 555A,Cutler Bay,FL,33189,USA,25.5767831,-80.3712790,(305) 238-8850,https://www.buffalowildwings.com/
florida_production_v2_expansion,7,state_curated_florida_v2,buffalo_wild_wings_homestead,Buffalo Wild Wings Homestead,2576 NE 10th Ct,Homestead,FL,33033,USA,25.4806793,-80.4196099,(305) 248-9464,https://www.buffalowildwings.com/
florida_production_v2_expansion,8,state_curated_florida_v2,bokampers_fort_lauderdale,Bokamper's Sports Bar & Grill Fort Lauderdale,3115 NE 32nd Ave,Fort Lauderdale,FL,33308,USA,26.1679090,-80.1031880,(954) 900-5584,https://bokampers.com/fort-lauderdale/
florida_production_v2_expansion,9,state_curated_florida_v2,parrot_lounge_fort_lauderdale,The Parrot Lounge,911 Sunrise Ln,Fort Lauderdale,FL,33304,USA,26.1370452,-80.1038261,(954) 563-1493,https://www.theparrotlounge.com/
florida_production_v2_expansion,10,state_curated_florida_v2,toms_watch_bar_orlando,Tom's Watch Bar Orlando,8050 International Dr Ste 1000,Orlando,FL,32819,USA,28.4487766,-81.4710050,(407) 308-0602,https://tomswatchbar.com/orlando/
florida_production_v2_expansion,11,state_curated_florida_v2,twin_peaks_idrive,Twin Peaks I-Drive,8350 International Dr,Orlando,FL,32819,USA,28.4452957,-81.4709754,(407) 680-2811,https://twinpeaksrestaurant.com/locations/i-drive-fl
florida_production_v2_expansion,12,state_curated_florida_v2,sports_social_orlando,Sports & Social Orlando,9101 International Dr,Orlando,FL,32819,USA,28.4333551,-81.4717425,(407) 506-0473,https://liveatthepointeorlando.com/eat-and-drink/sports-and-social
florida_production_v2_expansion,13,state_curated_florida_v2,city_works_disney_springs,City Works Eatery & Pour House Disney Springs,1486 E Buena Vista Dr,Lake Buena Vista,FL,32830,USA,28.3735833,-81.5138996,(407) 801-3730,https://www.cityworksrestaurant.com/locations/disneysprings-2/
florida_production_v2_expansion,14,state_curated_florida_v2,splitsville_disney_springs,Splitsville Luxury Lanes Disney Springs,1494 E Buena Vista Dr,Lake Buena Vista,FL,32830,USA,28.3733193,-81.5133918,(407) 938-7467,https://www.splitsvillelanes.com/location/orlando/
florida_production_v2_expansion,15,state_curated_florida_v2,nbc_sports_grill_brew,NBC Sports Grill & Brew,6000 Universal Blvd,Orlando,FL,32819,USA,28.4749816,-81.4630476,(407) 224-3663,https://www.universalorlando.com/web/en/us/things-to-do/dining/nbc-sports-grill-brew
florida_production_v2_expansion,16,state_curated_florida_v2,orena_sports_bar,Orena Sports Bar,6159 Westwood Blvd,Orlando,FL,32821,USA,28.4193688,-81.4611360,(407) 370-0303,https://www.orenasportsbar.com/
florida_production_v2_expansion,17,state_curated_florida_v2,buffalo_wild_wings_idrive_10761,Buffalo Wild Wings International Drive South,10761 International Dr,Orlando,FL,32821,USA,28.4096374,-81.4559981,(407) 985-3400,https://www.buffalowildwings.com/
florida_production_v2_expansion,18,state_curated_florida_v2,buffalo_wild_wings_idrive_8363,Buffalo Wild Wings International Drive,8363 International Dr,Orlando,FL,32819,USA,28.4437796,-81.4704311,(407) 251-7408,https://www.buffalowildwings.com/locations/us/fl/orlando/8363-international-dr/sports-bar-1412
florida_production_v2_expansion,19,state_curated_florida_v2,hooters_lake_buena_vista,Hooters of Lake Buena Vista,8510 Palm Pkwy,Orlando,FL,32836,USA,28.3858804,-81.5008559,407-239-0900,https://www.hooters.com/
florida_production_v2_expansion,20,state_curated_florida_v2,hooters_orlando_airport,Hooters of Orlando Airport,7222 Augusta National Dr,Orlando,FL,32822,USA,28.4595208,-81.3070133,407-850-2552,https://www.hooters.com/locations/1101-orlando-airport
florida_production_v2_expansion,21,state_curated_florida_v2,andretti_orlando,Andretti Indoor Karting & Games Orlando,9299 Universal Blvd,Orlando,FL,32819,USA,28.4336039,-81.4636038,(407) 610-5020,https://andrettikarting.com/orlando
florida_production_v2_expansion,22,state_curated_florida_v2,kings_orlando,Kings Dining & Entertainment Orlando,8255 International Dr Ste 120,Orlando,FL,32819,USA,28.4454109,-81.4708646,(407) 363-0200,https://www.playatkings.com/location/orlando/
florida_production_v2_expansion,23,state_curated_florida_v2,topgolf_orlando,Topgolf Orlando,9295 Universal Blvd,Orlando,FL,32819,USA,28.4336498,-81.4637796,(407) 218-7714,https://topgolf.com/us/orlando/
florida_production_v2_expansion,24,state_curated_florida_v2,macdintons_tampa,MacDinton's Irish Pub Tampa,405 S Howard Ave,Tampa,FL,33606,USA,27.9409767,-82.4830631,(813) 251-8999,https://macdintons.com/
florida_production_v2_expansion,25,state_curated_florida_v2,macdintons_st_pete,MacDinton's Irish Pub St. Pete,242 1st Ave N,St. Petersburg,FL,33701,USA,27.7720383,-82.6362035,,https://macdintons.com/
florida_production_v2_expansion,26,state_curated_florida_v2,yeomans_tampa,Yeoman's Topgolf Swing Suite Tampa,202 N Morgan St,Tampa,FL,33602,USA,27.9471102,-82.4548420,(813) 224-9367,https://yeomanstopgolfswingsuite.com/tampa/
florida_production_v2_expansion,27,state_curated_florida_v2,hooters_st_petersburg_4th,Hooters of St. Petersburg 4th Street,4125 4th St N,St. Petersburg,FL,33703,USA,27.8096792,-82.6385368,727-822-6178,https://www.hooters.com/locations/31223-st-petersburg-4th-street
florida_production_v2_expansion,28,state_curated_florida_v2,xtreme_wings_kernan,Xtreme Wings Sports Grille Kernan,12220 Atlantic Blvd Ste 108,Jacksonville,FL,32225,USA,30.3192360,-81.4887805,(904) 220-9464,https://xtreme-wings.com/
florida_production_v2_expansion,29,state_curated_florida_v2,xtreme_wings_normandy,Xtreme Wings Sports Grille Normandy,11341 Normandy Blvd Ste 101,Jacksonville,FL,32221,USA,30.2669853,-81.8496970,,https://xtreme-wings.com/
florida_production_v2_expansion,30,state_curated_florida_v2,xtreme_wings_oceanway,Xtreme Wings Sports Grille Oceanway,11565 N Main St Ste 109,Jacksonville,FL,32218,USA,30.4466219,-81.6394437,,https://xtreme-wings.com/
florida_production_v2_expansion,31,state_curated_florida_v2,strings_sports_brewery_springfield,Strings Sports Brewery Springfield,1850 N Main St,Jacksonville,FL,32206,USA,30.3464234,-81.6539672,(904) 475-2970,https://stringssportsbrewery.com/
florida_production_v2_expansion,32,state_curated_florida_v2,strings_sports_brewery_jax_beach,Strings Sports Brewery Jacksonville Beach,1618 Penman Rd,Jacksonville Beach,FL,32250,USA,30.3026168,-81.4065887,(904) 746-7933,https://stringssportsbrewery.com/
florida_production_v2_expansion,33,state_curated_florida_v2,xtreme_wings_vystar_arena,Xtreme Wings Sports Grille VyStar Arena,300 A Philip Randolph Blvd,Jacksonville,FL,32202,USA,30.3255069,-81.6438616,,https://xtreme-wings.com/
florida_production_v2_expansion,34,state_curated_florida_v2,twin_peaks_west_palm_beach,Twin Peaks West Palm Beach,2224 Palm Beach Lakes Blvd,West Palm Beach,FL,33409,USA,26.7109333,-80.0966092,(561) 508-9490,https://twinpeaksrestaurant.com/locations/west-palm-beach-fl
florida_production_v2_expansion,35,state_curated_florida_v2,duffys_west_palm_beach_okeechobee,Duffy's Sports Grill West Palm Beach Okeechobee,6845 Okeechobee Blvd,West Palm Beach,FL,33411,USA,26.7079570,-80.1477212,(561) 478-8852,https://www.duffysmvp.com/
florida_production_v2_expansion,36,state_curated_florida_v2,roxys_pub_west_palm_beach,Roxy's Pub,309 Clematis St,West Palm Beach,FL,33401,USA,26.7133805,-80.0520781,(561) 296-7699,https://www.roxyspub.com/
florida_production_v2_expansion,37,state_curated_florida_v2,grease_burger_bar,Grease Burger Bar,213 Clematis St,West Palm Beach,FL,33401,USA,26.7133452,-80.0508724,(561) 651-1075,https://greasewpb.com/
florida_production_v2_expansion,38,state_curated_florida_v2,pig_beach_bbq_west_palm,Pig Beach BBQ West Palm Beach,2400 S Dixie Hwy,West Palm Beach,FL,33401,USA,26.6923158,-80.0542290,(561) 803-0333,https://pigbeachnyc.com/west-palm-beach
florida_production_v2_expansion,39,state_curated_florida_v2,scores_palm_beach,Scores Palm Beach,3174 Lake Worth Rd,Palm Springs,FL,33461,USA,26.6175390,-80.0921250,(561) 649-2000,https://www.scorespb.com/
