import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
kansas_production_v1,1,state_curated_kansas_v1,bowlero_wichita,Bowlero,3232 North Rock Road,Wichita,KS,67226,USA,37.7404570,-97.2424490,,https://www.bowlero.com/location/bowlero-northrock
kansas_production_v1,2,state_curated_kansas_v1,central_standard_brewing_wichita,Central Standard Brewing,156 South Greenwood Street,Wichita,KS,67211,USA,37.6845574,-97.3181883,,https://www.centralstandardbrewing.com
kansas_production_v1,3,state_curated_kansas_v1,dave_buster_s_wichita,Dave & Buster's,2644 North Greenwich Court,Wichita,KS,67226,USA,37.7300618,-97.2014475,+1-316-796-8550,https://www.daveandbusters.com/us/en/about/locations/wichita
kansas_production_v1,4,state_curated_kansas_v1,nortons_brewing_company_wichita,Nortons Brewing Company,125 St Francis St,Wichita,KS,67202,USA,37.6869165,-97.3320348,+1-316-425-9009,https://nortonsbrewing.com
kansas_production_v1,5,state_curated_kansas_v1,round1_bowling_amusement_wichita,Round1 Bowling & Amusement,Suite G03J East Kellogg Drive,Wichita,KS,,USA,37.6824443,-97.2475696,+1-316-500-2909,https://www.round1usa.com/location/town-east-square/
kansas_production_v1,6,state_curated_kansas_v1,seneca_bowl_wichita,Seneca Bowl,1909 South Seneca Street,Wichita,KS,67213,USA,37.6601814,-97.3533286,,https://www.senecabowl.net
kansas_production_v1,7,state_curated_kansas_v1,twin_peaks_wichita,Twin Peaks,8310 East 21st Street North,Wichita,KS,67206,USA,37.7236595,-97.2412457,+1 316 440 5533,http://www.twinpeaksrestaurant.com/
kansas_production_v1,8,state_curated_kansas_v1,chappell_s_restaurant_sports_museum_kansas_city,Chappell's Restaurant & Sports Museum,323 Armour Road,Kansas City,KS,64116,USA,39.1419251,-94.5765531,+1-816-421-0002,https://www.chappellskc.com/
kansas_production_v1,9,state_curated_kansas_v1,gael_s_public_house_and_sports_kansas_city,Gael's Public House and Sports,5424 Troost Avenue,Kansas City,KS,64110,USA,39.0280410,-94.5740515,,https://www.gaelspublichouse.com/
kansas_production_v1,10,state_curated_kansas_v1,vine_street_brewing_co_kansas_city,Vine Street Brewing Co.,2010 Vine Street,Kansas City,KS,64108,USA,39.0875338,-94.5637407,+1-816-231-0799,https://vinestbrewing.com/
kansas_production_v1,11,state_curated_kansas_v1,wingstop_kansas_city,Wingstop,151 South 18th Street,Kansas City,KS,66102,USA,39.0989970,-94.6476305,+1 913-233-0440,https://www.wingstop.com/location/wingstop-1182-kansas-city-ks-66102/menu
kansas_production_v1,12,state_curated_kansas_v1,yard_house_kansas_city,Yard House,1300 Main Street,Kansas City,KS,64105,USA,39.0984513,-94.5835691,+1-816-527-0952,https://www.yardhouse.com/
kansas_production_v1,13,state_curated_kansas_v1,wing_stand_mission,Wing Stand,5438 Johnson Drive,Mission,KS,66205,USA,39.0225911,-94.6487939,+1-913-258-5649,https://wingstand.com/
kansas_production_v1,14,state_curated_kansas_v1,glory_days_pizza_shawnee,Glory Days Pizza,13107 Shawnee Mission Parkway,Shawnee,KS,66216,USA,39.0144422,-94.7386593,+1-913-601-5656,https://www.glorydayspizza.com/us/shawnee-plaza/
kansas_production_v1,15,state_curated_kansas_v1,blade_timber_axe_throwing_lawrence,Blade & Timber Axe Throwing,722 Massachusetts Street,Lawrence,KS,66044,USA,38.9703618,-95.2356634,,https://www.bladeandtimber.com/locations/lawrence
kansas_production_v1,16,state_curated_kansas_v1,buffalo_wild_wings_lawrence,Buffalo Wild Wings,2624 Iowa Street,Lawrence,KS,66046,USA,38.9347318,-95.2595670,+1-785-865-1616,https://www.buffalowildwings.com/en/locations/detail/522
kansas_production_v1,17,state_curated_kansas_v1,empire_bar_and_billiards_lawrence,Empire Bar and Billiards,1527 West 6th Street,Lawrence,KS,66044,USA,38.9726201,-95.2540805,+1-785-856-4980,https://www.empirebarbilliards.com/
kansas_production_v1,18,state_curated_kansas_v1,empire_pubcade_and_venue_lawrence,Empire Pubcade and Venue,925 Iowa Street,Lawrence,KS,66044,USA,38.9674228,-95.2625539,+1-785-856-4980,https://www.empirepubcade.com/
kansas_production_v1,19,state_curated_kansas_v1,glory_days_pizza_lawrence,Glory Days Pizza,4821 West 6th Street,Lawrence,KS,66049,USA,38.9701168,-95.3060981,+1-785-841-5252,https://www.glorydayspizza.com/
kansas_production_v1,20,state_curated_kansas_v1,royal_crest_lanes_lawrence,Royal Crest Lanes,933 Iowa Street,Lawrence,KS,66044,USA,38.9664752,-95.2625072,+1-785-842-1234,https://www.wayneandlarrys.com/about/
kansas_production_v1,21,state_curated_kansas_v1,the_free_state_brewing_company_lawrence,The Free State Brewing Company,642 Massachusetts Street,Lawrence,KS,66044,USA,38.9717292,-95.2355369,,http://freestatebrewing.com/
kansas_production_v1,22,state_curated_kansas_v1,wayne_and_larry_s_sports_bar_and_grill_lawrence,Wayne and Larry's Sports Bar and Grill,933 Iowa Street,Lawrence,KS,66044,USA,38.9664744,-95.2620183,+17858567170,https://www.wayneandlarrys.com/
kansas_production_v1,23,state_curated_kansas_v1,wingstop_lawrence,Wingstop,2233 Louisiana Street,Lawrence,KS,66046,USA,38.9433019,-95.2422471,+1 785-830-9464,https://www.wingstop.com/location/wingstop-1036-lawrence-ks-66046/menu
kansas_production_v1,24,state_curated_kansas_v1,headshots_bar_grill_wichita,Headshots Bar & Grill,2120 North Woodlawn Boulevard,Wichita,KS,67208,USA,37.7211597,-97.2607452,,https://headshotsbar.com/
kansas_production_v1,25,state_curated_kansas_v1,john_barleycorn_s_rock_roll_hall_wichita,John Barleycorn's Rock & Roll Hall,615 East Douglas Avenue,Wichita,KS,67202,USA,37.6863821,-97.3312166,,https://www.facebook.com/Barleycornswichita/
kansas_production_v1,26,state_curated_kansas_v1,shocker_lanes_wichita,Shocker Lanes,,Wichita,KS,,USA,37.7182921,-97.2943376,,https://www.wichita.edu/services/rsc/ssgl/
kansas_production_v1,27,state_curated_kansas_v1,bar_medici_kansas_city,Bar Medici,1800 Walnut Street,Kansas City,KS,64108,USA,39.0916186,-94.5827358,,https://barmedici.com/
kansas_production_v1,28,state_curated_kansas_v1,chartreuse_saloon_kansas_city,Chartreuse Saloon,1627 Oak Street,Kansas City,KS,64108,USA,39.0934557,-94.5786732,,https://www.chartreusesaloon.com/
kansas_production_v1,29,state_curated_kansas_v1,frost_frozen_bar_kansas_city,Frost Frozen Bar,4141 Pennsylvania Avenue,Kansas City,KS,64111,USA,39.0519490,-94.5905177,,https://www.drinkfrost.com/
kansas_production_v1,30,state_curated_kansas_v1,hammers_dueling_piano_bar_kansas_city,Hammers Dueling Piano Bar,3901 Main Street,Kansas City,KS,64111,USA,39.0564033,-94.5859624,,https://www.hammersduelingpianobar.com/
