import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
massachusetts_production_v1,1,state_curated_massachusetts_v1,bullpen_fenway,The Bullpen Kitchen + Tap,19 Jersey St,Boston,MA,02215,USA,42.3465034,-71.0988917,(617) 247-3353,https://www.thebullpenboston.com/
massachusetts_production_v1,2,state_curated_massachusetts_v1,game_on_fenway,Game On Fenway,82 Lansdowne St,Boston,MA,02215,USA,42.3471120,-71.0978251,(617) 351-7001,https://www.gameonboston.com/
massachusetts_production_v1,3,state_curated_massachusetts_v1,bleacher_bar_fenway,Bleacher Bar,82A Lansdowne St,Boston,MA,02215,USA,42.3471120,-71.0978251,(617) 262-2424,https://thefenway.com/locations/bleacher-bar/
massachusetts_production_v1,4,state_curated_massachusetts_v1,cask_n_flagon_boston,Cask n Flagon Boston,62 Brookline Ave,Boston,MA,02215,USA,42.3471838,-71.0984650,(617) 536-4840,https://casknflagon.com/menus/boston/
massachusetts_production_v1,5,state_curated_massachusetts_v1,lansdowne_pub,The Lansdowne Pub,9 Lansdowne St,Boston,MA,02215,USA,42.3472266,-71.0948019,(617) 247-1222,https://www.lansdownepubboston.com/
massachusetts_production_v1,6,state_curated_massachusetts_v1,bills_bar_boston,Bill's Bar,5 Lansdowne St,Boston,MA,02215,USA,42.3472215,-71.0946341,(617) 421-9678,https://www.billsbar.com/
massachusetts_production_v1,7,state_curated_massachusetts_v1,fenway_johnnies,Fenway Johnnie's,96 Brookline Ave,Boston,MA,02215,USA,42.3462903,-71.0993882,(617) 936-4344,https://www.fenwayjohnnies.com/
massachusetts_production_v1,8,state_curated_massachusetts_v1,banners_kitchen_tap,Banners Kitchen & Tap,82 Causeway St,Boston,MA,02114,USA,42.3643866,-71.0633127,(617) 263-8200,https://www.bannerskitchenandtap.com/
massachusetts_production_v1,9,state_curated_massachusetts_v1,the_harp_boston,The Harp,85 Causeway St,Boston,MA,02114,USA,42.3647345,-71.0624654,(617) 742-1010,https://www.harpboston.com/
massachusetts_production_v1,10,state_curated_massachusetts_v1,sullivans_tap,Sullivan's Tap,168 Canal St,Boston,MA,02114,USA,42.3652509,-71.0610212,,https://www.sullivanstapboston.com/
massachusetts_production_v1,11,state_curated_massachusetts_v1,greatest_bar_boston,The Greatest Bar,262 Friend St,Boston,MA,02114,USA,42.3646840,-71.0613647,(617) 367-0544,https://thegreatestbar.com/
massachusetts_production_v1,12,state_curated_massachusetts_v1,west_end_johnnies,West End Johnnie's,138 Portland St,Boston,MA,02114,USA,42.3637195,-71.0611325,(617) 227-1588,https://westendjohnnies.com/
massachusetts_production_v1,13,state_curated_massachusetts_v1,tavern_square_north_station,Tavern in the Square North Station,120 Beverly St,Boston,MA,02114,USA,42.3663735,-71.0600742,(617) 263-0404,https://www.taverninthesquare.com/
massachusetts_production_v1,14,state_curated_massachusetts_v1,tavern_square_fenway,Tavern in the Square Fenway,1612 Boylston St,Boston,MA,02215,USA,42.3444385,-71.0983122,,https://www.taverninthesquare.com/
massachusetts_production_v1,15,state_curated_massachusetts_v1,stats_south_boston,STATS Bar & Grille,77 Dorchester St,Boston,MA,02127,USA,42.3357783,-71.0452044,(617) 268-9300,https://www.statsboston.com/
massachusetts_production_v1,16,state_curated_massachusetts_v1,tony_cs_somerville,Tony C's Sports Bar & Grill Somerville,699 Assembly Row,Somerville,MA,02145,USA,42.3951764,-71.0793936,(617) 666-8282,https://www.tonycssportsbar.com/locations/
massachusetts_production_v1,17,state_curated_massachusetts_v1,tony_cs_burlington,Tony C's Sports Bar & Grill Burlington,17 Third Ave,Burlington,MA,01803,USA,42.4879841,-71.2230679,,https://www.tonycssportsbar.com/locations/
massachusetts_production_v1,18,state_curated_massachusetts_v1,tony_cs_peabody,Tony C's Sports Bar & Grill Peabody,210 Andover St,Peabody,MA,01960,USA,42.5411458,-70.9461642,,https://www.tonycssportsbar.com/locations/
massachusetts_production_v1,19,state_curated_massachusetts_v1,phoenix_landing,The Phoenix Landing,512 Massachusetts Ave,Cambridge,MA,02139,USA,42.3642147,-71.1018091,(617) 576-6260,https://www.thephoenixlanding.com/
massachusetts_production_v1,20,state_curated_massachusetts_v1,olde_magouns_saloon,Olde Magoun's Saloon,518 Medford St,Somerville,MA,02145,USA,42.3964984,-71.1038249,617-776-2600,https://magounssaloon.com/
massachusetts_production_v1,21,state_curated_massachusetts_v1,spin_boston,SPIN Boston,30 Melcher St,Boston,MA,02210,USA,42.3495509,-71.0500813,617-404-2272,https://wearespin.com/location/boston/
massachusetts_production_v1,22,state_curated_massachusetts_v1,flight_club_boston,Flight Club Boston,60 Seaport Blvd Suite 215,Boston,MA,02210,USA,42.3507348,-71.0432326,(617) 855-9888,https://www.flightclubdartsusa.com/boston
massachusetts_production_v1,23,state_curated_massachusetts_v1,puttshack_boston,Puttshack Boston,58 Pier 4 Blvd,Boston,MA,02210,USA,42.3498412,-71.0446424,,https://www.puttshack.com/locations/boston/
massachusetts_production_v1,24,state_curated_massachusetts_v1,kings_seaport,Kings Dining & Entertainment Seaport,60 Seaport Blvd Suite 225,Boston,MA,02210,USA,42.3507348,-71.0432326,(617) 401-0025,https://www.playatkings.com/location/boston-seaport/
massachusetts_production_v1,25,state_curated_massachusetts_v1,lucky_strike_fenway,Lucky Strike Fenway,145 Ipswich St,Boston,MA,02215,USA,42.3475581,-71.0936561,(617) 437-0300,https://www.luckystrikeent.com/location/lucky-strike-fenway
massachusetts_production_v1,26,state_curated_massachusetts_v1,dave_busters_woburn,Dave & Buster's Woburn,271 Mishawum Rd,Woburn,MA,01801,USA,42.5037019,-71.1379744,781-496-4900,https://www.daveandbusters.com/us/en/about/locations/woburn
massachusetts_production_v1,27,state_curated_massachusetts_v1,dave_busters_natick,Dave & Buster's Natick,1235 Worcester St Ste 200,Natick,MA,01760,USA,42.2992273,-71.3869249,(508) 810-3650,https://www.daveandbusters.com/us/en/about/locations/natick
massachusetts_production_v1,28,state_curated_massachusetts_v1,dave_busters_braintree,Dave & Buster's Braintree,250 Granite St,Braintree,MA,02184,USA,42.2208524,-71.0283997,,https://www.daveandbusters.com/us/en/about/locations/braintree
massachusetts_production_v1,29,state_curated_massachusetts_v1,topgolf_canton,Topgolf Boston Canton,777 Dedham St,Canton,MA,02021,USA,42.1937421,-71.1520068,,https://topgolf.com/us/canton/
massachusetts_production_v1,30,state_curated_massachusetts_v1,kings_back_bay,Kings Dining & Entertainment Back Bay,50 Dalton St,Boston,MA,02115,USA,42.3467693,-71.0851287,(617) 266-2695,https://www.playatkings.com/location/boston-back-bay/
massachusetts_production_v1,31,state_curated_massachusetts_v1,saccos_bowl_haven,Sacco's Bowl Haven,45 Day St,Somerville,MA,02144,USA,42.3952369,-71.1243339,(617) 776-0552,https://americanflatbread.com/locations/somerville-ma/
massachusetts_production_v1,32,state_curated_massachusetts_v1,a4cade_cambridge,A4cade,292 Massachusetts Ave,Cambridge,MA,02139,USA,42.3620397,-71.0981820,,https://www.a4cade.com/
massachusetts_production_v1,33,state_curated_massachusetts_v1,pkl_boston,PKL Boston,64 C St,Boston,MA,02127,USA,42.3365871,-71.0562209,,https://pklboston.com/
massachusetts_production_v1,34,state_curated_massachusetts_v1,cheeky_monkey_boston,Cheeky Monkey Brewing Co,3 Lansdowne St,Boston,MA,02215,USA,42.3472186,-71.0945522,(617) 859-0030,https://www.cheekymonkeyboston.com/
massachusetts_production_v1,35,state_curated_massachusetts_v1,lucky_strike_somerville,Lucky Strike Somerville,325 Revolution Dr,Somerville,MA,02145,USA,42.3929824,-71.0773146,,https://www.luckystrikeent.com/
