import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
mexico_production_master_v1,1,country_curated_mexico_v1,mxv1_001,Twin Peaks Mexico City,Av. Ejército Nacional 769,Mexico City,CDMX,11520,Mexico,19.4373,-99.2041,,https://twinpeaksrestaurant.com
mexico_production_master_v1,2,country_curated_mexico_v1,mxv1_002,Pinche Gringo BBQ Warehouse,Lago Iseo 296,Mexico City,CDMX,11420,Mexico,19.4511,-99.187,,https://pinchegringo.com.mx
mexico_production_master_v1,3,country_curated_mexico_v1,mxv1_003,Alboa Patriotismo,Av Patriotismo 229,Mexico City,CDMX,3800,Mexico,19.392,-99.1815,,https://alboa.mx
mexico_production_master_v1,4,country_curated_mexico_v1,mxv1_004,Dog House Pub,Calle Varsovia 47,Mexico City,CDMX,6600,Mexico,19.427,-99.1661,,
mexico_production_master_v1,5,country_curated_mexico_v1,mxv1_005,Hooters Zona Rosa,Amberes 88,Mexico City,CDMX,6600,Mexico,19.426,-99.1645,,https://hooters.com.mx
mexico_production_master_v1,6,country_curated_mexico_v1,mxv1_006,California Wings & Beer,Av. México 3225,Guadalajara,JAL,44690,Mexico,20.6755,-103.402,,https://californiawings.com.mx
mexico_production_master_v1,7,country_curated_mexico_v1,mxv1_007,Sky Gamers Sports Bar,Av. Patria 2085,Guadalajara,JAL,45050,Mexico,20.651,-103.408,,
mexico_production_master_v1,8,country_curated_mexico_v1,mxv1_008,Hudson Bar,Av. Chapultepec Sur 220,Guadalajara,JAL,44160,Mexico,20.671,-103.369,,
mexico_production_master_v1,9,country_curated_mexico_v1,mxv1_009,Buffalo Wild Wings Monterrey,Av. Fundidora 501,Monterrey,NL,64010,Mexico,25.678,-100.286,,https://buffalowildwings.com.mx
mexico_production_master_v1,10,country_curated_mexico_v1,mxv1_010,McCarthy's Irish Pub,Av. Eugenio Garza Sada 2408,Monterrey,NL,64860,Mexico,25.65,-100.289,,https://mccarthysirishpub.com
mexico_production_master_v1,11,country_curated_mexico_v1,mxv1_011,The Beer Box,Av. Roble 660,Monterrey,NL,66265,Mexico,25.652,-100.35,,https://thebeerbox.com
mexico_production_master_v1,12,country_curated_mexico_v1,mxv1_012,Border Psycho Cantina,Av Revolución 1108,Tijuana,BCN,22000,Mexico,32.533,-117.038,,
mexico_production_master_v1,13,country_curated_mexico_v1,mxv1_013,Public House Tijuana,Blvd Agua Caliente 10387,Tijuana,BCN,22024,Mexico,32.514,-116.987,,
mexico_production_master_v1,14,country_curated_mexico_v1,mxv1_014,Beer City,Av. Juárez 2716,Puebla,PUE,72160,Mexico,19.048,-98.217,,
mexico_production_master_v1,15,country_curated_mexico_v1,mxv1_015,McCarthy's Puebla,Circuito Juan Pablo II 3515,Puebla,PUE,72410,Mexico,19.024,-98.224,,https://mccarthysirishpub.com
mexico_production_master_v1,16,country_curated_mexico_v1,mxv1_016,Wicklow Irish Pub,Blvd Bernardo Quintana 5260,Queretaro,QUE,76100,Mexico,20.596,-100.369,,
mexico_production_master_v1,17,country_curated_mexico_v1,mxv1_017,Cervecería Hércules,Hércules 1,Queretaro,QUE,76069,Mexico,20.592,-100.356,,https://cerveceriahercules.com
mexico_production_master_v1,18,country_curated_mexico_v1,mxv1_018,Hooters Cancun,Blvd Kukulcan Km 9,Cancun,ROO,77500,Mexico,21.134,-86.747,,https://hooters.com.mx
mexico_production_master_v1,19,country_curated_mexico_v1,mxv1_019,Mora Mora Rooftop,Av. Bonampak 109,Cancun,ROO,77500,Mexico,21.161,-86.824,,
mexico_production_master_v1,20,country_curated_mexico_v1,mxv1_020,Los Tabernacos Sports Bar,5ta Avenida,Playa del Carmen,ROO,77710,Mexico,20.628,-87.073,,
mexico_production_master_v1,21,country_curated_mexico_v1,mxv1_021,Tequila Barrel,5ta Avenida,Playa del Carmen,ROO,77710,Mexico,20.627,-87.072,,
mexico_production_master_v1,22,country_curated_mexico_v1,mxv1_022,Mateo's Mexican Grill,Carretera Tulum-Boca Paila,Tulum,ROO,77780,Mexico,20.177,-87.449,,https://mateosmexicangrill.com
mexico_production_master_v1,23,country_curated_mexico_v1,mxv1_023,Santino Bar,Av. Tulum,Tulum,ROO,77760,Mexico,20.211,-87.465,,
mexico_production_master_v1,24,country_curated_mexico_v1,mxv1_024,Baja Brewing Company,Blvd Marina,Cabo San Lucas,BCS,23450,Mexico,22.882,-109.912,,https://bajabrewingcompany.com
