import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
missouri_production_v1,1,state_curated_missouri_v1,sports_and_social_st_louis_saint_louis,Sports & Social St. Louis,651 Clark Avenue,Saint Louis,MO,63102,USA,38.6242250,-90.1927977,+13144925064,https://www.stlballparkvillage.com/eat-and-drink/sports-and-social
missouri_production_v1,2,state_curated_missouri_v1,billiards_sports_bar_and_grill_springfield,Billiards Sports Bar & Grill,541 East St Louis Street,Springfield,MO,65806,USA,37.2092715,-93.2868668,,
missouri_production_v1,3,state_curated_missouri_v1,hotshots_sports_bar_and_grill_bridgeton,Hotshots Sports Bar and Grill,12154 Saint Charles Rock Road,Bridgeton,MO,63044,USA,38.7496430,-90.4261542,+1 314-291-1606,https://hotshotsnet.com/locations/bridgeton-mo/
missouri_production_v1,4,state_curated_missouri_v1,buffalo_wild_wings_fenton,Buffalo Wild Wings,150 Gravois Bluffs Circle,Fenton,MO,63026,USA,38.5044830,-90.4449015,+16363265000,https://www.buffalowildwings.com/
missouri_production_v1,5,state_curated_missouri_v1,buffalo_wild_wings_kansas_city_2,Buffalo Wild Wings,9207 Northeast Highway 152,Kansas City,MO,64158,USA,39.2443519,-94.4685441,+1-816-415-9525,https://www.buffalowildwings.com/locations/us/mo/kansas-city/464-ne-barry-road/sports-bar-1732/
missouri_production_v1,6,state_curated_missouri_v1,chappell_s_restaurant_and_sports_museum_kansas_city,Chappell's Restaurant & Sports Museum,323 Armour Road,Kansas City,MO,64116,USA,39.1419251,-94.5765531,+1-816-421-0002,https://www.chappellskc.com/
missouri_production_v1,7,state_curated_missouri_v1,twin_peaks_kansas_city,Twin Peaks,8660 North Boardwalk Avenue,Kansas City,MO,64154,USA,39.2534288,-94.6504407,+18166599821,https://twinpeaksrestaurant.com/locations/kansas-city
missouri_production_v1,8,state_curated_missouri_v1,bar_louie_kirkwood,Bar Louie,110 South Kirkwood Road,Kirkwood,MO,63122,USA,38.5803591,-90.4058938,+1 314 238 2300,https://barlouieamerica.com/
missouri_production_v1,9,state_curated_missouri_v1,buffalo_wild_wings_springfield,Buffalo Wild Wings,900 East Battlefield Road,Springfield,MO,65807,USA,37.1589677,-93.2842588,+1-417-881-9464,https://www.buffalowildwings.com/locations/us/mo/springfield/900-e--battlefield-rd/sports-bar-428/
missouri_production_v1,10,state_curated_missouri_v1,fieldhouse_columbia,FieldHouse,1107 East Broadway,Columbia,MO,65201,USA,38.9516403,-92.3251771,,https://www.fieldhousecomo.com/
missouri_production_v1,11,state_curated_missouri_v1,gael_s_public_house_and_sports_kansas_city,Gael's Public House and Sports,5424 Troost Avenue,Kansas City,MO,64110,USA,39.0280410,-94.5740515,,https://www.gaelspublichouse.com/
missouri_production_v1,12,state_curated_missouri_v1,the_passport_st_louis,The Passport,6275 Delmar Boulevard,St Louis,MO,63130,USA,38.6558602,-90.3025606,,https://pourdecisionsstl.com/
missouri_production_v1,13,state_curated_missouri_v1,the_post_sports_bar_and_grill_st_louis,The Post Sports Bar and Grill,763 Old Ballas Road,St Louis,MO,63141,USA,38.6703525,-90.4389930,,https://thepostsportsbar.com/locations/creve-coeur-2/
missouri_production_v1,14,state_curated_missouri_v1,dylan_s_sports_pub_and_grill_arnold,Dylan's Sports Pub and Grill,675 Jeffco Boulevard,Arnold,MO,63010,USA,38.4510255,-90.3665994,+16362963831,
missouri_production_v1,15,state_curated_missouri_v1,ugly_joe_s_sports_bar_and_grille_kansas_city,Ugly Joe's Sports Bar & Grille,1227 West 103rd Street,Kansas City,MO,64114,USA,38.9411802,-94.6067495,+1-816-941-7702,
missouri_production_v1,16,state_curated_missouri_v1,hooters_maryland_heights,Hooters,11835 Lackland Road,Maryland Heights,MO,63146,USA,38.6988180,-90.4363003,+1 314-991-9565,
missouri_production_v1,17,state_curated_missouri_v1,barney_s_sports_pub_saint_louis,Barney's Sports Pub,6027 Chippewa Street,Saint Louis,MO,63109,USA,38.5937943,-90.2955583,+13144570018,
