import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
nevada_production_v1,1,state_curated_nevada_v1,stadium_swim_circa,Stadium Swim at Circa,8 Fremont St,Las Vegas,NV,89101,USA,36.1723890,-115.1451634,(702) 247-2258,https://www.circalasvegas.com/stadium-swim/
nevada_production_v1,2,state_curated_nevada_v1,beer_park_las_vegas,Beer Park Las Vegas,3655 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1119550,-115.1725290,(702) 444-4500,https://www.beerpark.com/
nevada_production_v1,3,state_curated_nevada_v1,blondies_las_vegas,Blondies Sports Bar & Grill,3663 S Las Vegas Blvd #183,Las Vegas,NV,89109,USA,36.1091840,-115.1688583,(702) 737-0444,https://www.blondieslasvegas.com/
nevada_production_v1,4,state_curated_nevada_v1,flanker_las_vegas,Flanker Kitchen + Sports Bar,3950 S Las Vegas Blvd #215,Las Vegas,NV,89119,USA,36.0924965,-115.1758522,(702) 632-8888,https://flankerlv.com/
nevada_production_v1,5,state_curated_nevada_v1,sporting_life_bar_jones,Sporting Life Bar,7770 S Jones Blvd,Las Vegas,NV,89139,USA,36.0480162,-115.2253050,(702) 331-4647,https://www.sportinglifebar.com/
nevada_production_v1,6,state_curated_nevada_v1,born_raised_cimarron,Born And Raised Cimarron,7260 S Cimarron Rd,Las Vegas,NV,89113,USA,36.0562169,-115.2693273,(702) 405-0875,https://bornandraisedlv.com/
nevada_production_v1,7,state_curated_nevada_v1,pts_wings_sports_strat,PTs Wings & Sports at The STRAT,2000 S Las Vegas Blvd,Las Vegas,NV,89104,USA,36.1476992,-115.1561024,(702) 380-7777,https://thestrat.com/restaurants/pts-wings-sports
nevada_production_v1,8,state_curated_nevada_v1,front_yard_ellis_island,The Front Yard at Ellis Island,4178 Koval Ln,Las Vegas,NV,89109,USA,36.1132619,-115.1638846,(702) 733-8901,https://www.ellisislandcasino.com/the-front-yard
nevada_production_v1,9,state_curated_nevada_v1,westgate_superbook,Westgate SuperBook,3000 S Paradise Rd,Las Vegas,NV,89109,USA,36.1458673,-115.1536291,(702) 732-5111,https://www.westgateresorts.com/hotels/nevada/las-vegas/westgate-las-vegas-resort-casino/casino/race-sports-book/
nevada_production_v1,10,state_curated_nevada_v1,chickies_petes_sahara,Chickies & Petes at Sahara Las Vegas,2535 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1425082,-115.1546065,(702) 761-8070,https://www.chickiesandpetes.com/location/las-vegas
nevada_production_v1,11,state_curated_nevada_v1,toms_watch_bar_las_vegas,Toms Watch Bar Las Vegas,3790 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1021436,-115.1744946,(702) 740-6766,https://tomswatchbar.com/las-vegas/
nevada_production_v1,12,state_curated_nevada_v1,tonic_sports_bar_palms,Tonic Sports Bar at Palms,4321 W Flamingo Rd,Las Vegas,NV,89103,USA,36.1146284,-115.1959612,(866) 942-7777,https://www.palms.com/dining/tonic-sports-bar
nevada_production_v1,13,state_curated_nevada_v1,dawg_house_resorts_world,Dawg House Saloon & Sports Book,3000 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1336945,-115.1661576,(702) 676-6964,https://www.rwlasvegas.com/dining/dawg-house-saloon/
nevada_production_v1,14,state_curated_nevada_v1,sickies_garage_las_vegas,Sickies Garage Burgers & Brews,6629 S Las Vegas Blvd Suite 120,Las Vegas,NV,89119,USA,36.0697706,-115.1723143,(725) 735-5400,https://sickiesburgers.com/locations/las-vegas/
nevada_production_v1,15,state_curated_nevada_v1,pkwy_flamingo,PKWY Tavern Flamingo,9820 W Flamingo Rd,Las Vegas,NV,89147,USA,36.1151710,-115.3065449,(702) 243-5329,https://www.pkwytavern.com/locations/flamingo/
nevada_production_v1,16,state_curated_nevada_v1,distill_southern_highlands,Distill Southern Highlands,4830 W Pyle Ave,Las Vegas,NV,89141,USA,36.0061630,-115.2062905,(702) 834-5700,https://www.distillbar.com/locations
nevada_production_v1,17,state_curated_nevada_v1,distill_warm_springs,Distill Warm Springs,7150 S Durango Dr,Las Vegas,NV,89113,USA,36.0580964,-115.2791436,(702) 309-4868,https://www.distillbar.com/locations
nevada_production_v1,18,state_curated_nevada_v1,distill_cheyenne,Distill Cheyenne,7790 W Cheyenne Ave,Las Vegas,NV,89129,USA,36.2184128,-115.2646909,(702) 655-4700,https://www.distillbar.com/locations
nevada_production_v1,19,state_curated_nevada_v1,sierra_gold_s_jones,Sierra Gold S Jones,6515 S Jones Blvd,Las Vegas,NV,89118,USA,36.0704988,-115.2243821,(702) 221-4120,https://ptstaverns.com/locations/sierra-gold/215-south-jones
nevada_production_v1,20,state_curated_nevada_v1,pts_pub_charleston_decatur,PTs Pub Charleston & Decatur,1281 S Decatur Blvd,Las Vegas,NV,89102,USA,36.1561728,-115.2062205,(702) 870-0087,https://ptstaverns.com/locations/pts-pub/charleston-decatur
nevada_production_v1,21,state_curated_nevada_v1,pts_pub_w_sahara_decatur,PTs Pub W Sahara & Decatur,4604 W Sahara Ave Suite 10,Las Vegas,NV,89102,USA,36.1449402,-115.2051490,(702) 258-0224,https://ptstaverns.com/locations/pts-pub/w-sahara-decatur
nevada_production_v1,22,state_curated_nevada_v1,pts_pub_desert_inn_eastern,PTs Pub Desert Inn & Eastern,2300 E Desert Inn Rd Ste 8,Las Vegas,NV,89169,USA,36.1299015,-115.1198982,(702) 796-7775,https://www.ptstaverns.com/locations/pts-pub/542-desert-inn-eastern/
nevada_production_v1,23,state_curated_nevada_v1,pts_pub_tropicana_fort_apache,PTs Pub Tropicana & Fort Apache,9435 W Tropicana Ave Suite 108,Las Vegas,NV,89147,USA,36.0997005,-115.2997932,(702) 871-6682,https://ptstaverns.com/locations/pts-pub/tropicana-ft-apache
nevada_production_v1,24,state_curated_nevada_v1,steiners_las_vegas_blvd,Steiners Las Vegas Blvd,8168 S Las Vegas Blvd,Las Vegas,NV,89123,USA,36.0411538,-115.1722851,(702) 214-6700,https://steinerspub.com/locations.php
nevada_production_v1,25,state_curated_nevada_v1,noreens_lounge_las_vegas,Noreens Lounge,2799 E Tropicana Ave,Las Vegas,NV,89121,USA,36.0998890,-115.1123660,(702) 458-7557,https://noreenslounge.com/
nevada_production_v1,26,state_curated_nevada_v1,sunset_tavern_henderson,Sunset Tavern,886 S Boulder Hwy,Henderson,NV,89015,USA,36.0254651,-114.9637287,(702) 202-3244,https://sunsettavern015.com/
nevada_production_v1,27,state_curated_nevada_v1,twin_peaks_henderson,Twin Peaks Henderson,9510 S Eastern Ave,Henderson,NV,89123,USA,36.0165340,-115.1186044,(702) 564-1280,https://twinpeaksrestaurant.com/locations/henderson-nv
nevada_production_v1,28,state_curated_nevada_v1,pkwy_district,PKWY Tavern The District,2235 Village Walk Dr #141,Henderson,NV,89052,USA,36.0209903,-115.0863344,(702) 478-4217,https://www.pkwytavern.com/
nevada_production_v1,29,state_curated_nevada_v1,distill_american_pacific,Distill American Pacific,1231 American Pacific Dr,Henderson,NV,89074,USA,36.0413193,-115.0402678,(702) 307-0155,https://www.distillbar.com/locations
nevada_production_v1,30,state_curated_nevada_v1,remedys_st_rose,Remedys St. Rose,3265 St Rose Pkwy,Henderson,NV,89052,USA,35.9969670,-115.1281157,(702) 982-3026,https://www.distillbar.com/locations
nevada_production_v1,31,state_curated_nevada_v1,dave_busters_summerlin,Dave & Busters Las Vegas Summerlin,2130 Park Centre Dr,Las Vegas,NV,89135,USA,36.1488363,-115.3318950,(702) 984-4800,https://www.daveandbusters.com/us/en/about/locations/las-vegas-summerlin
nevada_production_v1,32,state_curated_nevada_v1,red_rock_sports_book_bar,Red Rock Sports Book Bar,11011 W Charleston Blvd,Las Vegas,NV,89135,USA,36.1590408,-115.3346854,(702) 797-7777,https://www.stationcasinos.com/eat-and-drink/sports-book-bar/
