import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
nevada_production_v2_strip_expansion,1,state_curated_nevada_v2,betmgm_sportsbook_bar_park_mgm,BetMGM Sportsbook & Bar at Park MGM,3770 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1052374,-115.1730411,702-531-2186,https://parkmgm.mgmresorts.com/en/restaurants/betmgm-sportsbook-and-bar.html
nevada_production_v2_strip_expansion,2,state_curated_nevada_v2,tap_sports_bar_mgm_grand,TAP Sports Bar at MGM Grand,3799 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1023037,-115.1728854,702-891-1133,https://mgmgrand.mgmresorts.com/en/restaurants/tap-sports-bar.html
nevada_production_v2_strip_expansion,3,state_curated_nevada_v2,brewdog_las_vegas,BrewDog Las Vegas,3767 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1045882,-115.1728993,(702) 331-7516,https://drink.brewdog.com/usa/las-vegas
nevada_production_v2_strip_expansion,4,state_curated_nevada_v2,golden_circle_sports_bar_ti,Golden Circle Sports Bar at Treasure Island,3300 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1244233,-115.1701087,,https://treasureisland.com/restaurants/golden-circle-sportsbook
nevada_production_v2_strip_expansion,5,state_curated_nevada_v2,caesars_sportsbook_caesars_palace,Caesars Race & Sportsbook at Caesars Palace,3570 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1182870,-115.1728809,,https://www.caesars.com/las-vegas/things-to-do/sports
nevada_production_v2_strip_expansion,6,state_curated_nevada_v2,stadia_bar_caesars_palace,Stadia Bar at Caesars Palace,3570 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1182870,-115.1728809,,https://www.caesars.com/caesars-palace/things-to-do/nightlife/stadia
nevada_production_v2_strip_expansion,7,state_curated_nevada_v2,linq_caesars_sportsbook,Caesars Sportsbook at The LINQ,3535 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1176944,-115.1727780,,https://www.caesars.com/las-vegas/things-to-do/sports
nevada_production_v2_strip_expansion,8,state_curated_nevada_v2,yahoo_sportsbook_venetian,Yahoo Sportsbook at The Venetian,3355 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1225919,-115.1711606,855-754-1200,https://www.venetianlasvegas.com/casino/yahoo-sportsbook.html
nevada_production_v2_strip_expansion,9,state_curated_nevada_v2,charlies_sports_bar_wynn,Charlie's Sports Bar at Wynn,3131 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1299070,-115.1662859,(702) 770-3365,https://www.wynnlasvegas.com/dining/casual-dining/charlies-sports-bar
nevada_production_v2_strip_expansion,10,state_curated_nevada_v2,wynn_race_sports_book,Wynn Race & Sports Book,3131 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1299070,-115.1662859,(702) 770-3075,https://www.wynnlasvegas.com/casino/race-sports-book
nevada_production_v2_strip_expansion,11,state_curated_nevada_v2,the_tavern_fontainebleau,The Tavern at Fontainebleau Las Vegas,2777 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1389165,-115.1603905,(833) 702-7272,https://www.fontainebleaulasvegas.com/dining/restaurants/the-tavern/
nevada_production_v2_strip_expansion,12,state_curated_nevada_v2,betmgm_sportsbook_bellagio,BetMGM Sportsbook at Bellagio,3600 S Las Vegas Blvd,Las Vegas,NV,89109,USA,36.1137461,-115.1729374,702-693-6262,https://bellagio.mgmresorts.com/en/casino/betmgm-sportsbook.html
