import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
new_mexico_production_v1,1,state_curated_new_mexico_v1,bosque_brewing_public_house_albuquerque,Bosque Brewing Public House,106 Girard Blvd SE,Albuquerque,NM,87106,USA,35.0801387,-106.6130625,,https://www.bosquebrewing.com/
new_mexico_production_v1,2,state_curated_new_mexico_v1,buffalo_wild_wings_albuquerque,Buffalo Wild Wings,1700 Towne Center Lane Southeast,Albuquerque,NM,87106,USA,35.0589475,-106.6285020,+1 505 2479464,https://www.buffalowildwings.com/
new_mexico_production_v1,3,state_curated_new_mexico_v1,dave_buster_s_albuquerque,Dave & Buster's,2100 Louisiana Boulevard Northeast,Albuquerque,NM,87110,USA,35.1014752,-106.5640963,+1-505-348-5157,https://www.daveandbusters.com/albuquerque
new_mexico_production_v1,4,state_curated_new_mexico_v1,hooters_albuquerque,Hooters,4601 San Mateo Boulevard Northeast,Albuquerque,NM,87109,USA,35.1351834,-106.5872139,+1-505-884-6600,https://www.hooters.com/
new_mexico_production_v1,5,state_curated_new_mexico_v1,juno_brewing_albuquerque,Juno Brewing,1501 1st Street Northwest,Albuquerque,NM,87102,USA,35.0976942,-106.6456104,+15054601339,https://junopub.com
new_mexico_production_v1,6,state_curated_new_mexico_v1,main_event_albuquerque,Main Event,4040 Pan American Freeway Northeast,Albuquerque,NM,87107,USA,35.1273596,-106.6159761,+1-505-884-4928,https://www.mainevent.com/locations/albuquerque-nm
new_mexico_production_v1,7,state_curated_new_mexico_v1,sidetrack_brewing_albuquerque,Sidetrack Brewing,413 2nd Street Southwest,Albuquerque,NM,87102,USA,35.0807629,-106.6500324,+1 505 288 6468,https://www.sidetrackbrewing.net/
new_mexico_production_v1,8,state_curated_new_mexico_v1,topgolf_albuquerque,Topgolf,1600 Desert Surf Circle Northeast,Albuquerque,NM,,USA,35.1322093,-106.6136164,,https://topgolf.com/us/albuquerque/
new_mexico_production_v1,9,state_curated_new_mexico_v1,tractor_brewing_nob_hill_tap_room_albuquerque,Tractor Brewing (Nob Hill Tap Room),118 Tulane Drive Southeast,Albuquerque,NM,87106,USA,35.0793837,-106.6068375,+1-505-433-5654,https://getplowed.com/site/locations/nob-hill/
new_mexico_production_v1,10,state_curated_new_mexico_v1,wingstop_albuquerque,Wingstop,425 Eubank Boulevard Northeast,Albuquerque,NM,87123,USA,35.0791745,-106.5327872,+1 505-271-9464,https://www.wingstop.com/
new_mexico_production_v1,11,state_curated_new_mexico_v1,buffalo_wild_wings_santa_fe,Buffalo Wild Wings,3501 Zafarano Drive,Santa Fe,NM,87507,USA,35.6421218,-106.0121542,,https://www.buffalowildwings.com/locations/us/nm/santa-fe/3501-zafarano-dr/sports-bar-1349
new_mexico_production_v1,12,state_curated_new_mexico_v1,santa_fe_brewing_company_brake_room_santa_fe,Santa Fe Brewing Company Brake Room,510 Galisteo Street,Santa Fe,NM,87501,USA,35.6818978,-105.9431612,+1-505-780-8648,https://santafebrewing.com/taproom/the-brakeroom/
new_mexico_production_v1,13,state_curated_new_mexico_v1,the_alley_santa_fe,The Alley,153A Paseo de Peralta,Santa Fe,NM,87501,USA,35.6925417,-105.9516460,+1-505-557-6789,https://thealleysantafe.com/about-the-alley
new_mexico_production_v1,14,state_curated_new_mexico_v1,anodyne_pool_hall_cocktails_albuquerque,Anodyne Pool Hall & Cocktails,409 Central Avenue Northwest,Albuquerque,NM,87102,USA,35.0847545,-106.6519668,,
new_mexico_production_v1,15,state_curated_new_mexico_v1,bar_uno_albuquerque,Bar Uno,108 2nd Street Southwest,Albuquerque,NM,87102,USA,35.0839013,-106.6491889,,https://www.barunoabq.com/
new_mexico_production_v1,16,state_curated_new_mexico_v1,bow_and_arrow_brewing_company_albuquerque,Bow and Arrow Brewing Company,608 McKnight Avenue Northwest,Albuquerque,NM,87102,USA,35.1049046,-106.6509499,,
new_mexico_production_v1,17,state_curated_new_mexico_v1,daydream_rum_bar_albuquerque,Daydream Rum Bar,3123 Central Avenue Northeast,Albuquerque,NM,87106,USA,35.0809871,-106.6099402,+1-505-503-1494,https://www.daydreamrumbar.com/
new_mexico_production_v1,18,state_curated_new_mexico_v1,ex_novo_brewing_albuquerque,Ex Novo Brewing,701 Central Avenue Northwest,Albuquerque,NM,87102,USA,35.0854440,-106.6553293,,
new_mexico_production_v1,19,state_curated_new_mexico_v1,gecko_s_bar_tapas_albuquerque,Gecko's Bar & Tapas,3500 Central Avenue Southeast,Albuquerque,NM,87106,USA,35.0794846,-106.6054396,+1-505-262-1848,http://geckosbar.com
new_mexico_production_v1,20,state_curated_new_mexico_v1,high_and_dry_brewing_albuquerque,High and Dry Brewing,529 Adams Street Northeast,Albuquerque,NM,87108,USA,35.0867062,-106.5945343,,
new_mexico_production_v1,21,state_curated_new_mexico_v1,kirtland_lanes_albuquerque,Kirtland Lanes,1451 Texas Street Southeast,Albuquerque,NM,,USA,35.0550602,-106.5570470,+1-505-846-6851,
new_mexico_production_v1,22,state_curated_new_mexico_v1,la_cumbre_brewing_west_albuquerque,La Cumbre Brewing West,5600 Coors Boulevard Northwest,Albuquerque,NM,87120,USA,35.1462619,-106.6882615,,
new_mexico_production_v1,23,state_curated_new_mexico_v1,mangos_sports_bar_and_grill_albuquerque,Mangos Sports Bar and Grill,420 Central Avenue Northwest,Albuquerque,NM,87102,USA,35.0845642,-106.6527060,,
new_mexico_production_v1,24,state_curated_new_mexico_v1,marble_brewery_albuquerque,Marble Brewery,111 Marble Avenue NW,Albuquerque,NM,87102,USA,35.0929086,-106.6467340,+1-505-243-2739,https://www.marblebrewery.com/
new_mexico_production_v1,25,state_curated_new_mexico_v1,nexus_brewery_and_restaurant_albuquerque,Nexus Brewery and Restaurant,4730 Pan American Fwy NE,Albuquerque,NM,87109,USA,35.1338824,-106.6061080,+1-505-242-4100,https://restaurant.nexusbrewery.com/
new_mexico_production_v1,26,state_curated_new_mexico_v1,o_niell_s_pub_albuquerque,O'Niell's Pub,4310 Central Avenue Southeast,Albuquerque,NM,87108,USA,35.0785155,-106.5958249,+1 505 256-0564,https://www.oniells.com/
new_mexico_production_v1,27,state_curated_new_mexico_v1,ponderosa_brewing_company_albuquerque,Ponderosa Brewing Company,1761 Bellamah Avenue Northwest,Albuquerque,NM,,USA,35.1013555,-106.6641570,,
new_mexico_production_v1,28,state_curated_new_mexico_v1,ponderosa_brewing_el_vado_taproom_albuquerque,Ponderosa Brewing El Vado Taproom,Central Avenue Southwest,Albuquerque,NM,,USA,35.0942579,-106.6771960,,
new_mexico_production_v1,29,state_curated_new_mexico_v1,red_door_brewing_albuquerque,Red Door Brewing,509 Central Avenue Northwest,Albuquerque,NM,,USA,35.0849218,-106.6532546,,
new_mexico_production_v1,30,state_curated_new_mexico_v1,rio_bravo_brewing_company_albuquerque,Rio Bravo Brewing Company,1912 2nd Street Northwest,Albuquerque,NM,,USA,35.1033500,-106.6450310,+1-505-900-3909,
