import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
north_carolina_production_v1,1,state_curated_north_carolina_v1,shotmakers_sports_bar_and_billiards_garner,Shotmakers Sports Bar and Billiards,533 Plaza Circle,Garner,NC,27529,USA,35.7042059,-78.6117241,,
north_carolina_production_v1,2,state_curated_north_carolina_v1,buck_s_billiards_and_sports_bar_raleigh,Buck's Billiards and Sports Bar,1102 Buck Jones Road,Raleigh,NC,27606,USA,35.7694003,-78.7413140,,
north_carolina_production_v1,3,state_curated_north_carolina_v1,benny_s_billards_and_sports_bar_cary,Benny's Billards & Sports Bar,932 Northeast Maynard Road,Cary,NC,27513,USA,35.7997461,-78.7678155,+1-984-333-0101,https://www.bennysbilliards.com/
north_carolina_production_v1,4,state_curated_north_carolina_v1,carolina_ale_house_cary,Carolina Ale House,2240 Walnut Street,Cary,NC,27518,USA,35.7551379,-78.7419374,+1-919-854-9444,https://www.carolinaalehouse.com/restaurant/loc/cary/state/nc
north_carolina_production_v1,5,state_curated_north_carolina_v1,rallypoint_sport_grill_cary,RallyPoint Sport Grill,1837 North Harrison Avenue,Cary,NC,27513,USA,35.8312988,-78.7702404,+1-919-678-1088,http://www.rallypointsportgrill.com
north_carolina_production_v1,6,state_curated_north_carolina_v1,upper_deck_sports_pub_cary,Upper Deck Sports Pub,329 North Harrison Avenue,Cary,NC,27513,USA,35.7899975,-78.7838920,+1 9194601786,http://www.upperdecksportspub.com/
north_carolina_production_v1,7,state_curated_north_carolina_v1,woody_s_sports_tavern_and_grill_cary,Woody's Sports Tavern And Grill,8322 Chapel Hill Road,Cary,NC,27513,USA,35.7921631,-78.7764723,+1 919-380-7737,https://www.woodysportstavern.com/cary
north_carolina_production_v1,8,state_curated_north_carolina_v1,tobacco_road_sports_cafe_chapel_hill,Tobacco Road Sports Cafe,1118 Environ Way,Chapel Hill,NC,27517,USA,35.9073870,-79.0225826,+1 919 537 8404,http://www.tobaccoroadsportscafe.com/location/chapelhill.html
north_carolina_production_v1,9,state_curated_north_carolina_v1,jocks_and_jills_sports_grill_charlotte,Jocks and Jills Sports Grill,4109 South Stream Boulevard,Charlotte,NC,28217,USA,35.1832804,-80.9194616,+1-704-423-0001,https://jocksandjills.com/
north_carolina_production_v1,10,state_curated_north_carolina_v1,rookie_s_sports_park_durham,Rookie's Sports Park,4911 Central Park Drive,Durham,NC,27703,USA,35.8865054,-78.8467009,+19194748833,rookiessportsbars.com
north_carolina_production_v1,11,state_curated_north_carolina_v1,carolina_ale_house_garner,Carolina Ale House,400 Conservation Road,Garner,NC,27529,USA,35.6964848,-78.5810541,+1 919 772 2646,https://www.carolinaalehouse.com/
north_carolina_production_v1,12,state_curated_north_carolina_v1,duckworth_s_grill_and_taphouse_huntersville,Duckworth's Grill & Taphouse,16609 Statesville Road,Huntersville,NC,28078,USA,35.4400772,-80.8673227,+1-704-237-4387,http://www.duckworthsgrillandbar.com
north_carolina_production_v1,13,state_curated_north_carolina_v1,woody_s_sports_tavern_and_grill_morrisville,Woody's Sports Tavern & Grill,3107 Grace Park Drive,Morrisville,NC,27560,USA,35.8210949,-78.8467049,+1-919-650-3177,https://woodysportstavern.com/woodys-morrisville-2
north_carolina_production_v1,14,state_curated_north_carolina_v1,buffalo_wild_wings_raleigh,Buffalo Wild Wings,6196 Falls of Neuse Road,Raleigh,NC,27609,USA,35.8670421,-78.6195188,+1-984-238-0024,https://www.buffalowildwings.com/locations/us/nc/raleigh/6169-falls-of-neuse-rd/sports-bar-1758/
north_carolina_production_v1,15,state_curated_north_carolina_v1,the_bearded_buffalo_sports_bar_belmont,The Bearded Buffalo Sports Bar,16 North Main Street,Belmont,NC,28012,USA,35.2429469,-81.0377283,,https://thebeardedbuffalo.com/
north_carolina_production_v1,16,state_curated_north_carolina_v1,hooters_raleigh,Hooters,4206 Wake Forest Road,Raleigh,NC,27609,USA,35.8385272,-78.6118776,,https://www.hooters.com/
north_carolina_production_v1,17,state_curated_north_carolina_v1,jonathan_s_sports_lounge_and_grill_raleigh,Jonathan's Sports Lounge & Grill,3400 New Birch Drive,Raleigh,NC,27610,USA,35.7462631,-78.5987474,+19196925095,
north_carolina_production_v1,18,state_curated_north_carolina_v1,touchdown_sports_bar_raleigh,Touchdown Sports Bar,3601 New Bern Avenue,Raleigh,NC,27610,USA,35.7966368,-78.5800213,+19196152010,
north_carolina_production_v1,19,state_curated_north_carolina_v1,buffalo_wild_wings_charlotte,Buffalo Wild Wings,14157 Steele Creek Road,Charlotte,NC,28273,USA,35.1010294,-80.9871761,,
north_carolina_production_v1,20,state_curated_north_carolina_v1,buffalo_wild_wings_charlotte_2,Buffalo Wild Wings,2530 Sardis Road North,Charlotte,NC,28227,USA,35.1460461,-80.7249633,,
north_carolina_production_v1,21,state_curated_north_carolina_v1,buffalo_wild_wings_charlotte_3,Buffalo Wild Wings,9402 Northlake West Drive,Charlotte,NC,28216,USA,35.3467951,-80.8608708,,
north_carolina_production_v1,22,state_curated_north_carolina_v1,hickory_tavern_charlotte,Hickory Tavern,2005 East Arbors Drive,Charlotte,NC,28262,USA,35.3367866,-80.7558820,,
north_carolina_production_v1,23,state_curated_north_carolina_v1,sports_page_food_and_spirits_charlotte,Sports Page Food & Spirits,8400 Bellhaven Boulevard,Charlotte,NC,28216,USA,35.3038065,-80.9369007,,
north_carolina_production_v1,24,state_curated_north_carolina_v1,buffalo_wild_wings_concord,Buffalo Wild Wings,289 George Bay Court,Concord,NC,28027,USA,35.4169127,-80.6764742,,
north_carolina_production_v1,25,state_curated_north_carolina_v1,carolina_ale_house_concord,Carolina Ale House,8695 Concord Mills Boulevard,Concord,NC,28027,USA,35.3743453,-80.7305541,,
north_carolina_production_v1,26,state_curated_north_carolina_v1,hotshots_sports_bar_and_grill_concord,Hotshots Sports Bar & Grill,7731 Gateway Court,Concord,NC,28027,USA,35.3660947,-80.7084996,,
north_carolina_production_v1,27,state_curated_north_carolina_v1,buffalo_wild_wings_durham,Buffalo Wild Wings,6709 Fayetteville Road,Durham,NC,27713,USA,35.9061821,-78.9361440,,
north_carolina_production_v1,28,state_curated_north_carolina_v1,carolina_ale_house_durham,Carolina Ale House,3911 Durham Chapel Hill Boulevard,Durham,NC,27707,USA,35.9688154,-78.9568833,,
north_carolina_production_v1,29,state_curated_north_carolina_v1,devine_s_sports_bar_durham,Devine's Sports Bar,904 West Main Street,Durham,NC,27701,USA,36.0004470,-78.9093236,,
north_carolina_production_v1,30,state_curated_north_carolina_v1,aversboro_restaurant_and_sports_bar_garner,Aversboro Restaurant & Sports Bar,1411 Aversboro Road,Garner,NC,27529,USA,35.6945828,-78.6159995,,
north_carolina_production_v1,31,state_curated_north_carolina_v1,buffalo_wild_wings_garner,Buffalo Wild Wings,148 Shenstone Boulevard,Garner,NC,27529,USA,35.6944767,-78.5832733,,
north_carolina_production_v1,32,state_curated_north_carolina_v1,tobacco_road_sports_bar_raleigh,Tobacco Road Sports Bar,505 West Jones Street,Raleigh,NC,27603,USA,35.7826453,-78.6464134,,
north_carolina_production_v1,33,state_curated_north_carolina_v1,orange_county_social_club_carrboro,Orange County Social Club,108 East Main Street,Carrboro,NC,27510,USA,35.9103523,-79.0710541,+1-919-933-0669,http://www.orangecountysocialclub.com/
north_carolina_production_v1,34,state_curated_north_carolina_v1,village_lanes_bowling_durham,Village Lanes Bowling,330 North Hardee Street,Durham,NC,27703,USA,35.9944747,-78.8643920,+1-919-682-9145,https://www.villagelanes.com/
north_carolina_production_v1,35,state_curated_north_carolina_v1,gate_city_billiards_club_greensboro,Gate City Billiards Club,6004 Landmark Center Boulevard,Greensboro,NC,27407,USA,36.0520982,-79.8915187,+1-336-856-8800,https://www.gatecitybilliards.com/
north_carolina_production_v1,36,state_curated_north_carolina_v1,high_point_bowling_center_high_point,High Point Bowling Center,309 West Fairfield Road,High Point,NC,27263,USA,35.9228600,-79.9874775,+1-336-434-6301,https://hpbowl.com/
north_carolina_production_v1,37,state_curated_north_carolina_v1,bowlero_matthews_matthews,Bowlero Matthews,11210 Brigman Road,Matthews,NC,28105,USA,35.1162474,-80.7005018,+1-704-841-7606,https://www.bowlero.com/location/bowlero-matthews
north_carolina_production_v1,38,state_curated_north_carolina_v1,bowlero_raleigh,Bowlero,301 Nottingham Drive,Raleigh,NC,27606,USA,35.7670839,-78.7430901,+1-919-467-2411,https://www.bowlero.com/location/bowlero-cary?
north_carolina_production_v1,39,state_curated_north_carolina_v1,bowlero_raleigh_2,Bowlero,5501 Commercial Avenue,Raleigh,NC,27612,USA,35.8573738,-78.7091779,+1 919-783-0080,https://www.bowlero.com/location/bowlero-raleigh?
north_carolina_production_v1,40,state_curated_north_carolina_v1,buffaloe_lanes_south_family_bowling_center_raleigh,Buffaloe Lanes South Family Bowling Center,6701 Fayetteville Road,Raleigh,NC,27603,USA,35.6849062,-78.6834381,+19197791888,https://buffaloelanes.com/south
