import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
oregon_production_v1,1,state_curated_oregon_v1,10_barrel_brewing_portland,10 Barrel Brewing,1411 Northwest Flanders Street,Portland,OR,97209,USA,45.5258997,-122.6854954,+1-503-244-1700,https://www.10barrel.com/
oregon_production_v1,2,state_curated_oregon_v1,assembly_brewing_pizza_annex_portland,Assembly Brewing Pizza Annex,2934 Northeast Alberta Street,Portland,OR,97211,USA,45.5588940,-122.6351649,,https://assemblybrewingco.com/alberta-location//
oregon_production_v1,3,state_curated_oregon_v1,aways_days_brewing_co_portland,Aways Days Brewing Co,1516 Southeast 10th Avenue,Portland,OR,97214,USA,45.5119298,-122.6555010,,https://www.awaydaysbrewing.com/beer
oregon_production_v1,4,state_curated_oregon_v1,backwoods_brewing_company_portland,Backwoods Brewing Company,231 Northwest 11th Avenue,Portland,OR,97209,USA,45.5249571,-122.6824607,+1-503-327-8588,https://www.backwoodsbrewingcompany.com
oregon_production_v1,5,state_curated_oregon_v1,baerlic_brewing_alberta_portland,Baerlic Brewing Alberta,2223 Northeast Alberta Street,Portland,OR,97211,USA,45.5592188,-122.6423560,,https://www.baerlicbrewing.com/
oregon_production_v1,6,state_curated_oregon_v1,baerlic_brewing_beer_hall_portland,Baerlic Brewing Beer Hall,6035 Northeast Halsey Street,Portland,OR,97213,USA,45.5339073,-122.6012460,,https://www.baerlicbrewing.com/
oregon_production_v1,7,state_curated_oregon_v1,binks_portland,Binks,2715 Northeast Alberta Street,Portland,OR,97211,USA,45.5591924,-122.6375192,,http://binksbar.com/
oregon_production_v1,8,state_curated_oregon_v1,bridgeport_brew_pub_portland,BridgePort Brew Pub,1313 Northwest Marshall Street,Portland,OR,97209,USA,45.5309233,-122.6849595,+1-503-241-3612,http://www.bridgeportbrew.com/
oregon_production_v1,9,state_curated_oregon_v1,broadway_grill_and_brewery_portland,Broadway Grill and Brewery,1700 Northeast Broadway,Portland,OR,97232,USA,45.5348747,-122.6481910,+1 503-284-4460,https://www.drinkbeerhere.com/
oregon_production_v1,10,state_curated_oregon_v1,brujos_brewing_portland,Brujos Brewing,2377 Northwest Wilson Street,Portland,OR,97210,USA,45.5377961,-122.7002567,,https://www.brujosbrewing.com/
oregon_production_v1,11,state_curated_oregon_v1,buffalo_wild_wings_portland,Buffalo Wild Wings,9810 Northeast Cascades Parkway,Portland,OR,97220,USA,45.5737626,-122.5619464,+1-503-281-0351,https://www.buffalowildwings.com/locations/us/or/portland/9810-ne-cascades-parkway/sports-bar-614/
oregon_production_v1,12,state_curated_oregon_v1,cactus_jack_s_sports_bar_portland,Cactus Jack's Sports Bar,4342 Southwest Beaverton Hillsdale Highway,Portland,OR,97221,USA,45.4854778,-122.7220447,+1-503-977-2161,http://jackstaproom.com/
oregon_production_v1,13,state_curated_oregon_v1,dingo_s_sports_pub_portland,Dingo's Sports Pub,8826 Southeast Stark Street,Portland,OR,97216,USA,45.5187945,-122.5723939,,https://dingospub.com/
oregon_production_v1,14,state_curated_oregon_v1,eagle_portland,Eagle,835 North Lombard Street,Portland,OR,97217,USA,45.5773587,-122.6755256,,https://www.eagleportland.com/index.html
oregon_production_v1,15,state_curated_oregon_v1,fire_on_the_mountain_buffalo_wings_portland,Fire on the Mountain Buffalo Wings,4225 North Interstate Avenue,Portland,OR,97217,USA,45.5540890,-122.6818710,,https://www.portlandwings.com
oregon_production_v1,16,state_curated_oregon_v1,glowing_greens_portland,Glowing Greens,509 Southwest Taylor Street,Portland,OR,97204,USA,45.5176676,-122.6785581,+1-503-222-5554,https://glowinggreens.com/
oregon_production_v1,17,state_curated_oregon_v1,grand_fir_brewing_portland,Grand Fir Brewing,1403 Southeast Stark Street,Portland,OR,97214,USA,45.5194405,-122.6514243,+15034776011,https://www.grandfirbrewing.com/
oregon_production_v1,18,state_curated_oregon_v1,great_notion_brewing_portland,Great Notion Brewing,2444 Northwest 28th Avenue,Portland,OR,97210,USA,45.5401002,-122.7088712,,https://greatnotionpdx.com/nwbrewpub
oregon_production_v1,19,state_curated_oregon_v1,grixsen_brewing_company_portland,Grixsen Brewing Company,1001 Southeast Division Street,Portland,OR,97202,USA,45.5050248,-122.6556071,,http://www.grixsen.com/
oregon_production_v1,20,state_curated_oregon_v1,ground_breaker_gastropub_portland,Ground Breaker Gastropub,2030 Southeast 7th Avenue,Portland,OR,97214,USA,45.5080959,-122.6585239,,https://www.groundbreakerbrewing.com/
oregon_production_v1,21,state_curated_oregon_v1,ground_kontrol_arcade_portland,Ground Kontrol Arcade,115 Northwest 5th Avenue,Portland,OR,97209,USA,45.5240525,-122.6756231,+1-503-796-9364,https://groundkontrol.com/
oregon_production_v1,22,state_curated_oregon_v1,hungry_tiger_portland,Hungry Tiger,213 Southeast 12th Avenue,Portland,OR,97214,USA,45.5212594,-122.6538492,+1-503-238-4321,http://hungrytigerpdx.com/
oregon_production_v1,23,state_curated_oregon_v1,king_pins_portland,King Pins,3550 Southeast 92nd Avenue,Portland,OR,97266,USA,45.4963622,-122.5670888,,https://mykingpins.com
oregon_production_v1,24,state_curated_oregon_v1,leikam_brewing_portland,Leikam Brewing,5812 East Burnside Street,Portland,OR,97215,USA,45.5226892,-122.6039778,,https://www.leikambrewing.com/
oregon_production_v1,25,state_curated_oregon_v1,little_beast_brewing_beer_garden_portland,Little Beast Brewing Beer Garden,3412 Southeast Division Street,Portland,OR,97202,USA,45.5045448,-122.6291845,+1-503-208-2723,https://www.littlebeastbrewing.com/
oregon_production_v1,26,state_curated_oregon_v1,marathon_taverna_portland,Marathon Taverna,1735 West Burnside Street,Portland,OR,97209,USA,45.5230680,-122.6890709,+1-503-224-1341,https://marathontaverna.com/
oregon_production_v1,27,state_curated_oregon_v1,migration_brewing_portland,Migration Brewing,2828 Northeast Glisan Street,Portland,OR,97232,USA,45.5262399,-122.6363561,,https://migrationbrewing.com/
oregon_production_v1,28,state_curated_oregon_v1,monster_mac_wings_portland,Monster Mac & Wings,321 Southwest Harvey Milk Street,Portland,OR,97204,USA,45.5211081,-122.6758333,+1-347-388-6060,https://www.monstermazmacwings.com
oregon_production_v1,29,state_curated_oregon_v1,mt_hood_brewing_portland,Mt. Hood Brewing,401 Southeast Caruthers Street,Portland,OR,97214,USA,45.5063856,-122.6616574,,https://mthoodbrewing.com/
oregon_production_v1,30,state_curated_oregon_v1,old_town_brewing_portland,Old Town Brewing,5201 Northeast Martin Luther King Junior Boulevard,Portland,OR,97211,USA,45.5606392,-122.6618128,+1-503-200-5988,https://www.otbrewing.com/
oregon_production_v1,31,state_curated_oregon_v1,pints_brewing_company_portland,Pints Brewing Company,412 Northwest 5th Avenue,Portland,OR,97209,USA,45.5261945,-122.6752128,+1-503-564-2739,http://www.pintsbrewing.com/
oregon_production_v1,32,state_curated_oregon_v1,portland_sports_bar_and_grill_portland,Portland Sports Bar and Grill,1800 South River Drive,Portland,OR,97201,USA,45.5091712,-122.6736362,,https://portlandsportsbarandgrill.com/
oregon_production_v1,33,state_curated_oregon_v1,potato_champion_portland,Potato Champion,1207 Southeast Hawthorne Boulevard,Portland,OR,97214,USA,45.5124230,-122.6535495,,https://potatochampion.com/
oregon_production_v1,34,state_curated_oregon_v1,ruse_brewing_portland,Ruse Brewing,4784 Southeast 17th Avenue,Portland,OR,97202,USA,45.4877558,-122.6481652,+1-503-206-6358,https://rusebrewing.com
oregon_production_v1,35,state_curated_oregon_v1,ruse_brewing_crust_collective_slabtown_portland,Ruse Brewing Crust Collective Slabtown,1505 Northwest 21st Avenue,Portland,OR,97210,USA,45.5335796,-122.6948785,+1-971-888-5021,https://crustcollective.com
oregon_production_v1,36,state_curated_oregon_v1,sam_s_billiards_portland,Sam's Billiards,1845 Northeast 41st Avenue,Portland,OR,97212,USA,45.5363564,-122.6212470,+1-503-282-8266,https://portlandpoolhall.com/
oregon_production_v1,37,state_curated_oregon_v1,sasquatch_brewing_co_portland,Sasquatch Brewing Co.,2531 Northwest 30th Avenue,Portland,OR,97210,USA,45.5405220,-122.7126998,,https://sasquatchbrewery.com
oregon_production_v1,38,state_curated_oregon_v1,sasquatch_brewing_company_portland,Sasquatch Brewing Company,6440 Southwest Capitol Highway,Portland,OR,97239,USA,45.4776301,-122.6988110,+1-503-402-1999,https://sasquatchbrewery.com/
oregon_production_v1,39,state_curated_oregon_v1,spotlight_brewing_portland,Spotlight Brewing,1728 Northeast 40th Avenue,Portland,OR,97212,USA,45.5357462,-122.6217940,,https://spotlightbrewing.com
oregon_production_v1,40,state_curated_oregon_v1,stormbreaker_brewing_portland,Stormbreaker Brewing,832 North Beech Street,Portland,OR,97227,USA,45.5494096,-122.6752597,+1-971-703-4516,https://www.stormbreakerbrewing.com/
oregon_production_v1,41,state_curated_oregon_v1,suki_s_bar_and_griil_portland,Suki's Bar And Griil,2401 Southwest 4th Avenue,Portland,OR,97201,USA,45.5057546,-122.6822366,+1-503-226-1181,https://www.sukisbar.com/
oregon_production_v1,42,state_curated_oregon_v1,the_clubhouse_portland,The Clubhouse,5134 Southwest Beaverton Hillsdale Highway,Portland,OR,97221,USA,45.4867853,-122.7301938,,https://www.clubhouseportland.com/
oregon_production_v1,43,state_curated_oregon_v1,the_hilt_portland,The Hilt,1934 Northeast Alberta Street,Portland,OR,97211,USA,45.5589309,-122.6451478,,https://www.thehiltbar.com/
