import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
pennsylvania_production_v1,1,state_curated_pennsylvania_v1,xfinity_live_philly,Xfinity Live Philadelphia,1100 Pattison Ave,Philadelphia,PA,19148,USA,39.9045536,-75.1674810,,https://xfinitylive.com/
pennsylvania_production_v1,2,state_curated_pennsylvania_v1,chickies_petes_south_philly,Chickie's & Pete's South Philadelphia,1526 Packer Ave,Philadelphia,PA,19145,USA,39.9120549,-75.1746645,(215) 218-0500,https://www.chickiesandpetes.com/location/south-philadelphia-2
pennsylvania_production_v1,3,state_curated_pennsylvania_v1,chickies_petes_penns_landing,Chickie's & Pete's Penn's Landing,301 S Christopher Columbus Blvd,Philadelphia,PA,19106,USA,39.9440731,-75.1418869,,https://www.chickiesandpetes.com/location/penns-landing
pennsylvania_production_v1,4,state_curated_pennsylvania_v1,lion_sports_bar,Lion Sports Bar,1021 Arch St,Philadelphia,PA,19107,USA,39.9536504,-75.1566422,,https://lionsportsbar.com/
pennsylvania_production_v1,5,state_curated_pennsylvania_v1,tradesmans_philly,Tradesman's Philly,1322 Chestnut St,Philadelphia,PA,19107,USA,39.9506395,-75.1626695,(267) 457-3994,https://tradesmansphilly.com/
pennsylvania_production_v1,6,state_curated_pennsylvania_v1,founding_fathers_philly,Founding Fathers Sports Bar,1612 South St,Philadelphia,PA,19146,USA,39.9440262,-75.1690229,267-519-0253,https://www.foundingfathersbar.com/
pennsylvania_production_v1,7,state_curated_pennsylvania_v1,barstool_sansom_street,Barstool Sansom Street,1213 Sansom St,Philadelphia,PA,19107,USA,39.9497297,-75.1606078,,https://www.barstoolsansomstreet.com/
pennsylvania_production_v1,8,state_curated_pennsylvania_v1,misconduct_rittenhouse,Misconduct Tavern Rittenhouse,1511 Locust St,Philadelphia,PA,19102,USA,39.9485353,-75.1667123,215-732-5797,https://misconducttavern.com/
pennsylvania_production_v1,9,state_curated_pennsylvania_v1,misconduct_logan_square,Misconduct Tavern Logan Square,1801 John F Kennedy Blvd,Philadelphia,PA,19103,USA,39.9542611,-75.1698521,267-928-4297,https://misconducttavern.com/
pennsylvania_production_v1,10,state_curated_pennsylvania_v1,cavanaughs_headhouse,Cavanaugh's Headhouse,421 S 2nd St,Philadelphia,PA,19147,USA,39.9429674,-75.1453372,215-928-9307,https://www.cavsheadhouse.com/
pennsylvania_production_v1,11,state_curated_pennsylvania_v1,cavanaughs_rittenhouse,Cavanaugh's Rittenhouse,1921 Sansom St,Philadelphia,PA,19103,USA,39.9512004,-75.1724368,215-665-9500,https://www.cavsrittenhouse.com/
pennsylvania_production_v1,12,state_curated_pennsylvania_v1,brauhaus_schmitz,Brauhaus Schmitz,718 South St,Philadelphia,PA,19147,USA,39.9421936,-75.1542650,(267) 909-8814,https://brauhausschmitz.com/
pennsylvania_production_v1,13,state_curated_pennsylvania_v1,tir_na_nog_philly,Tir Na Nog Philadelphia,1600 Arch St,Philadelphia,PA,19103,USA,39.9547689,-75.1664498,,https://www.tirnanogphilly.com/
pennsylvania_production_v1,14,state_curated_pennsylvania_v1,mcgillins_olde_ale_house,McGillin's Olde Ale House,1310 Drury St,Philadelphia,PA,19107,USA,39.9501635,-75.1620437,(215) 735-5562,https://mcgillins.com/
pennsylvania_production_v1,15,state_curated_pennsylvania_v1,garage_fishtown,Garage Fishtown,100 E Girard Ave,Philadelphia,PA,19125,USA,39.9687673,-75.1343284,,https://www.garagephilly.com/
pennsylvania_production_v1,16,state_curated_pennsylvania_v1,garage_passyunk,Garage Passyunk,1231 E Passyunk Ave,Philadelphia,PA,19147,USA,39.9336263,-75.1587701,,https://www.garagephilly.com/
pennsylvania_production_v1,17,state_curated_pennsylvania_v1,new_deck_tavern,New Deck Tavern,3408 Sansom St,Philadelphia,PA,19104,USA,39.9535324,-75.1921371,(215) 386-4600,https://www.newdecktavern.com/
pennsylvania_production_v1,18,state_curated_pennsylvania_v1,cavanaughs_university_city,Cavanaugh's University City,119 S 39th St,Philadelphia,PA,19104,USA,39.9545013,-75.2000383,,https://www.cavsuc.com/
pennsylvania_production_v1,19,state_curated_pennsylvania_v1,dave_busters_philly,Dave & Buster's Philadelphia,325 N Christopher Columbus Blvd,Philadelphia,PA,19106,USA,39.9435749,-75.1419294,,https://www.daveandbusters.com/
