import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
south_carolina_production_v1,1,state_curated_south_carolina_v1,lamar_s_sporting_club_charleston,Lamar's Sporting Club,570 King Street,Charleston,SC,29403,USA,32.7929844,-79.9411173,+1-843-543-2465,https://lamarssportingclub.com
south_carolina_production_v1,2,state_curated_south_carolina_v1,tlc_sports_bar_and_grill_columbia,TLC Sports Bar & Grill,936 South Stadium Road,Columbia,SC,29201,USA,33.9703130,-81.0237258,+1-803-251-3087,https://www.tlcsportsbarandgrill.com/
south_carolina_production_v1,3,state_curated_south_carolina_v1,twin_peaks_greenville,Twin Peaks,1034 Woodruff,Greenville,SC,29607,USA,34.8343774,-82.3114492,+1 864 326 4080,http://www.twinpeaksrestaurant.com/
south_carolina_production_v1,4,state_curated_south_carolina_v1,locals_sushi_and_sports_pub_mount_pleasant,Locals Sushi & Sports Pub,1150 Queensborough Boulevard,Mount Pleasant,SC,29464,USA,32.8141948,-79.8661271,+1-843-388-5114,https://localssushi.com/
south_carolina_production_v1,5,state_curated_south_carolina_v1,carolina_ale_house_myrtle_beach,Carolina Ale House,2915 Hollywood Drive,Myrtle Beach,SC,29577,USA,33.7205571,-78.8797012,+1 843-839-4222,https://www.carolinaalehouse.com/locations/myrtle-beach-sc
south_carolina_production_v1,6,state_curated_south_carolina_v1,walk_ons_sports_bistreaux_myrtle_beach,Walk Ons Sports Bistreaux,101 North Strand Parkway,Myrtle Beach,SC,29588,USA,33.6513360,-78.9845755,+1-843-954-4414,https://locate.walk-ons.com/sc/myrtlebeach/restaurants-539.html
south_carolina_production_v1,7,state_curated_south_carolina_v1,carolina_ale_house_greenville,Carolina Ale House,113 South Main Street,Greenville,SC,29601,USA,34.8490919,-82.3995165,,https://www.carolinaalehouse.com/
south_carolina_production_v1,8,state_curated_south_carolina_v1,hall_of_fame_sports_grill_greenville,Hall of Fame Sports Grill,531 Wade Hampton Boulevard,Greenville,SC,29609,USA,34.8670385,-82.3797299,,https://www.halloffamesportsgrill.com/
south_carolina_production_v1,9,state_curated_south_carolina_v1,the_goat_sport_bar_greenville,The Goat Sport Bar,1021 South Main Street,Greenville,SC,29601,USA,34.8425763,-82.4105164,,https://thegoatgvl.com/
south_carolina_production_v1,10,state_curated_south_carolina_v1,full_house_sportzaria_simpsonville,Full House Sportzaria,404 Fairview Road,Simpsonville,SC,29680,USA,34.7046484,-82.2605296,,https://fullhousesportzaria.com/
south_carolina_production_v1,11,state_curated_south_carolina_v1,buffalo_wild_wings_greenville,Buffalo Wild Wings,1125 Woodruff Road,Greenville,SC,29607,USA,34.8292331,-82.3012130,+1-864-286-3843,
south_carolina_production_v1,12,state_curated_south_carolina_v1,carolina_ale_house_greenville_2,Carolina Ale House,1115 Woodruff Road,Greenville,SC,29607,USA,34.8307507,-82.3049403,,
south_carolina_production_v1,13,state_curated_south_carolina_v1,legends_sports_bar_greenville,Legends Sports Bar,93 Halton Road,Greenville,SC,29607,USA,34.8453416,-82.3260153,,
south_carolina_production_v1,14,state_curated_south_carolina_v1,hooters_myrtle_beach,Hooters,3901 North Kings Highway,Myrtle Beach,SC,29577,USA,33.7900880,-78.7681922,,
south_carolina_production_v1,15,state_curated_south_carolina_v1,esb_sports_bar_piedmont,ESB Sports Bar,7490 Augusta Road,Piedmont,SC,29673,USA,34.7275592,-82.3892669,,
south_carolina_production_v1,16,state_curated_south_carolina_v1,buffalo_wild_wings_spartanburg,Buffalo Wild Wings,1494 W O Ezell Boulevard,Spartanburg,SC,29301,USA,34.9384181,-81.9861075,,
south_carolina_production_v1,17,state_curated_south_carolina_v1,field_house_sports_bar_travelers_rest,Field House Sports Bar,216 North Poinsett Highway,Travelers Rest,SC,29690,USA,34.9722696,-82.4338491,,
south_carolina_production_v1,18,state_curated_south_carolina_v1,uptown_social_charleston,Uptown Social,587 King Street,Charleston,SC,29403,USA,32.7926498,-79.9411333,+1-843-793-1837,https://www.uptownsocialchs.com
south_carolina_production_v1,19,state_curated_south_carolina_v1,bowlero_greenville,Bowlero,740 South Pleasantburg Drive,Greenville,SC,29607,USA,34.8209696,-82.3708685,+1-864-242-5764,https://www.bowlero.com/
south_carolina_production_v1,20,state_curated_south_carolina_v1,trade_street_social_greer,Trade Street Social,315 Trade Street,Greer,SC,29651,USA,34.9359062,-82.2256989,+1-864-334-5550,https://tradestreetsocial.com/
south_carolina_production_v1,21,state_curated_south_carolina_v1,the_bearded_ax_social_tavern_north_charleston,The Bearded Ax Social Tavern,1077 East Montague Avenue,North Charleston,SC,29405,USA,32.8812404,-79.9771099,+1-843-377-8884,https://thebeardedax.com/
