import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
tennessee_production_v1,1,state_curated_tennessee_v1,betmgm_sports_lounge_nashville,BetMGM Sports Lounge Nashville,135 Rep John Lewis Way S,Nashville,TN,37203,USA,36.1597107,-86.7780507,(615) 722-1593,https://www.sportsloungenash.com/
tennessee_production_v1,2,state_curated_tennessee_v1,wedgewood_sports_lounge,Wedgewood Sports Lounge,2018 Lindell Ave Suite B,Nashville,TN,37203,USA,36.1341682,-86.7741579,,https://wedgewoodsportslounge.com/
tennessee_production_v1,3,state_curated_tennessee_v1,corner_pub_bellevue,Corner Pub Bellevue,8100 TN-100,Nashville,TN,37221,USA,36.0446463,-86.9554921,615-541-2148,https://www.cornerpubtn.com/locations
tennessee_production_v1,4,state_curated_tennessee_v1,corner_pub_franklin,Corner Pub Franklin,1916 Columbia Ave,Franklin,TN,37064,USA,35.8974625,-86.8764388,,https://www.cornerpubtn.com/locations
tennessee_production_v1,5,state_curated_tennessee_v1,beyond_the_edge,Beyond the Edge,112 S 11th St,Nashville,TN,37206,USA,36.1763774,-86.7501197,(615) 226-3343,https://www.nashvillesc.com/neighborhood-pubs
tennessee_production_v1,6,state_curated_tennessee_v1,sports_social_green_hills,Sports & Social Green Hills,2126 Abbott Martin Rd,Nashville,TN,37215,USA,36.1062686,-86.8169366,,https://sportsandsocial.com/green-hills/
tennessee_production_v1,7,state_curated_tennessee_v1,neighbors_germantown,Neighbors Germantown,313 Jefferson St,Nashville,TN,37208,USA,36.1747661,-86.7854622,,https://neighborsnashville.com/
tennessee_production_v1,8,state_curated_tennessee_v1,neighbors_sylvan_park,Neighbors Sylvan Park,4425 Murphy Rd,Nashville,TN,37209,USA,36.1409150,-86.8394743,,https://neighborsnashville.com/
tennessee_production_v1,9,state_curated_tennessee_v1,neighbors_gulch,Neighbors Gulch,610 12th Ave S,Nashville,TN,37203,USA,36.1515018,-86.7842098,,https://neighborsnashville.com/
tennessee_production_v1,10,state_curated_tennessee_v1,dawghouse_saloon,DawgHouse Saloon,1522 Demonbreun St,Nashville,TN,37203,USA,36.1533014,-86.7891442,615-864-7393,https://dawghousesaloon.com/
tennessee_production_v1,11,state_curated_tennessee_v1,jonathans_germantown,Jonathan's Grille Germantown,717 3rd Ave N,Nashville,TN,37201,USA,36.1703540,-86.7817745,,https://www.jonathansgrille.com/
tennessee_production_v1,12,state_curated_tennessee_v1,jonathans_green_hills,Jonathan's Grille Green Hills,3805 Green Hills Village Dr,Nashville,TN,37215,USA,36.1094233,-86.8153906,,https://www.jonathansgrille.com/
tennessee_production_v1,13,state_curated_tennessee_v1,pins_nashville,Pins Mechanical Co Nashville,1102 Grundy St,Nashville,TN,37203,USA,36.1585606,-86.7876970,,https://www.pinsbar.com/locations/nashville
tennessee_production_v1,14,state_curated_tennessee_v1,topgolf_nashville,Topgolf Nashville,500 Cowan St,Nashville,TN,37207,USA,36.1792950,-86.7759783,(615) 777-3007,https://www.topgolf.com/us/nashville/
tennessee_production_v1,15,state_curated_tennessee_v1,puttshack_nashville,Puttshack Nashville,138 12th Ave N,Nashville,TN,37203,USA,36.1580533,-86.7886733,,https://www.puttshack.com/locations/nashville/
tennessee_production_v1,16,state_curated_tennessee_v1,game_terminal_nashville,Game Terminal,201 Terminal Ct,Nashville,TN,37210,USA,36.1350162,-86.7439353,,https://gameterminal.com/
tennessee_production_v1,17,state_curated_tennessee_v1,dave_busters_nashville,Dave & Buster's Nashville,540 Opry Mills Dr,Nashville,TN,37214,USA,36.2021645,-86.6945157,,https://www.daveandbusters.com/us/en/about/locations/nashville
tennessee_production_v1,18,state_curated_tennessee_v1,old_city_sports_bar,Old City Sports Bar,106 S Central St,Knoxville,TN,37902,USA,35.9703792,-83.9183669,,https://oldcitysportsbar.com/
tennessee_production_v1,19,state_curated_tennessee_v1,roosters_knoxville,Rooster's Bar & Grill,7585 S Northshore Dr,Knoxville,TN,37919,USA,35.9040228,-84.0201748,,https://www.roostersknoxville.com/
