import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
texas_production_v1,1,state_curated_texas_v1,hooters_west_end,Hooters of West End,2201 N Lamar St,Dallas,TX,75202,USA,32.7846401,-96.8081972,214-979-9464,https://www.hooters.com/locations/2001-west-end
texas_production_v1,2,state_curated_texas_v1,pluckers_addison,Pluckers Wing Bar Addison,5100 Belt Line Rd Ste 520,Dallas,TX,75254,USA,32.9539653,-96.8216710,(972) 490-9464,https://www.pluckers.com/location/addison
texas_production_v1,3,state_curated_texas_v1,twin_peaks_addison,Twin Peaks Addison,5260 Belt Line Rd,Dallas,TX,75254,USA,32.9539317,-96.8171826,(972) 503-7325,https://twinpeaksrestaurant.com/locations/addison-tx
texas_production_v1,4,state_curated_texas_v1,dave_busters_dallas,Dave & Buster's Dallas,9450 N Central Expy,Dallas,TX,75231,USA,32.8779397,-96.7696005,(214) 361-5553,https://www.daveandbusters.com/
texas_production_v1,5,state_curated_texas_v1,boomerjacks_dallas_nw_highway,BoomerJack's Grill Dallas NW Highway,10250 Technology Blvd E,Dallas,TX,75220,USA,32.8612173,-96.8956354,(972) 288-0990,https://boomerjacks.com/location/dallas-nw-highway/
texas_production_v1,6,state_curated_texas_v1,boomerjacks_dallas_casa_linda,BoomerJack's Grill Dallas Casa Linda,9540 Casa Linda Plaza,Dallas,TX,75218,USA,32.8342872,-96.7005990,,https://boomerjacks.com/locations/
texas_production_v1,7,state_curated_texas_v1,buffalo_wild_wings_lemmon,Buffalo Wild Wings Lemmon Avenue,4140 Lemmon Ave Ste 176,Dallas,TX,75219,USA,32.8153002,-96.8093170,(214) 520-7067,https://www.buffalowildwings.com/
texas_production_v1,8,state_curated_texas_v1,buffalo_wild_wings_belt_line,Buffalo Wild Wings Belt Line,5000 Belt Line Rd Ste 100,Dallas,TX,75254,USA,32.9539599,-96.8244420,(972) 701-9464,https://www.buffalowildwings.com/
texas_production_v1,9,state_curated_texas_v1,happiest_hour_dallas,Happiest Hour Dallas,2616 Olive St,Dallas,TX,75201,USA,32.7910879,-96.8063736,(972) 528-0067,https://www.happiesthourdallas.com/
texas_production_v1,10,state_curated_texas_v1,hero_by_hg_dallas,Hero by HG Dallas,3090 Olive St Ste 130,Dallas,TX,75219,USA,32.7889442,-96.8108502,(469) 300-1999,https://www.herobyhg.com/
texas_production_v1,11,state_curated_texas_v1,pluckers_cityview,Pluckers Wing Bar Cityview,5601 SW Loop 820,Fort Worth,TX,76132,USA,32.6822495,-97.4089960,817-512-9464,https://www.pluckers.com/location/city-view
texas_production_v1,12,state_curated_texas_v1,pluckers_alliance,Pluckers Wing Bar Alliance,9229 Rain Lily Trail,Fort Worth,TX,76177,USA,32.9059324,-97.3153972,(817) 750-2473,https://www.pluckers.com/location/alliance
texas_production_v1,13,state_curated_texas_v1,twin_peaks_fossil_creek,Twin Peaks Fossil Creek,6650 N Fwy,Fort Worth,TX,76137,USA,32.6523710,-97.3207320,(817) 766-7462,https://twinpeaksrestaurant.com/locations
texas_production_v1,14,state_curated_texas_v1,boomerjacks_fort_worth_cityview,BoomerJack's Grill Fort Worth Cityview,6001 SW Loop 820,Fort Worth,TX,76132,USA,32.6821773,-97.4146308,(682) 250-2121,https://boomerjacks.com/location/fort-worth-cityview/
texas_production_v1,15,state_curated_texas_v1,boomerjacks_western_center,BoomerJack's Grill Fort Worth Western Center,6701 Fossil Bluff Dr,Fort Worth,TX,76137,USA,32.8632942,-97.3124100,,https://boomerjacks.com/locations/
texas_production_v1,16,state_curated_texas_v1,boomerjacks_lake_worth,BoomerJack's Grill Lake Worth,6800 NW Loop 820,Fort Worth,TX,76135,USA,32.8005322,-97.4348061,,https://boomerjacks.com/locations/
