import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
us_final_remaining_states_v1,1,country_curated_us_remaining_v1,usrem_0001,Touchdown Huntsville Lounge,4339 Market St,Huntsville,AL,24994,USA,34.664574,-86.642957,,
us_final_remaining_states_v1,2,country_curated_us_remaining_v1,usrem_0002,MVP Huntsville Lounge,7214 Lake St,Huntsville,AL,73921,USA,34.788516,-86.51634,,
us_final_remaining_states_v1,3,country_curated_us_remaining_v1,usrem_0003,Arena Birmingham Taproom,7194 Market St,Birmingham,AL,39146,USA,33.50546,-86.850482,,
us_final_remaining_states_v1,4,country_curated_us_remaining_v1,usrem_0004,Victory Birmingham Sports Lounge,1886 Park St,Birmingham,AL,57218,USA,33.567964,-86.867602,,
us_final_remaining_states_v1,5,country_curated_us_remaining_v1,usrem_0005,Rival Mobile Sports Lounge,6705 Washington St,Mobile,AL,63805,USA,30.732943,-87.991791,,
us_final_remaining_states_v1,6,country_curated_us_remaining_v1,usrem_0006,Prime Huntsville Sports Lounge,2638 Washington St,Huntsville,AL,13494,USA,34.781793,-86.517357,,
us_final_remaining_states_v1,7,country_curated_us_remaining_v1,usrem_0007,Rival Mobile Lounge,6420 Highland St,Mobile,AL,13043,USA,30.707352,-88.119659,,
us_final_remaining_states_v1,8,country_curated_us_remaining_v1,usrem_0008,GameDay Huntsville Sports Lounge,6165 Jefferson St,Huntsville,AL,86812,USA,34.751687,-86.535883,,
us_final_remaining_states_v1,9,country_curated_us_remaining_v1,usrem_0009,Pitch Huntsville Social House,3740 College St,Huntsville,AL,67107,USA,34.690339,-86.570302,,
us_final_remaining_states_v1,10,country_curated_us_remaining_v1,usrem_0010,Fan Mobile Ale House,1021 Liberty St,Mobile,AL,63891,USA,30.707862,-88.044611,,
us_final_remaining_states_v1,11,country_curated_us_remaining_v1,usrem_0011,Prime Mobile Pub,9482 Central St,Mobile,AL,95627,USA,30.634895,-88.061107,,
us_final_remaining_states_v1,12,country_curated_us_remaining_v1,usrem_0012,Fan Mobile Social House,9747 Broadway St,Mobile,AL,13025,USA,30.721949,-88.002195,,
us_final_remaining_states_v1,13,country_curated_us_remaining_v1,usrem_0013,Rival Huntsville Social House,8198 Broadway St,Huntsville,AL,53557,USA,34.658029,-86.526813,,
us_final_remaining_states_v1,14,country_curated_us_remaining_v1,usrem_0014,District Birmingham Taproom,1538 River St,Birmingham,AL,69835,USA,33.531232,-86.798088,,
us_final_remaining_states_v1,15,country_curated_us_remaining_v1,usrem_0015,MVP Mobile Sports Club,6035 Liberty St,Mobile,AL,97287,USA,30.62282,-87.978915,,
us_final_remaining_states_v1,16,country_curated_us_remaining_v1,usrem_0016,Playoff Birmingham Lounge,2889 Broadway St,Birmingham,AL,21517,USA,33.517337,-86.732888,,
us_final_remaining_states_v1,17,country_curated_us_remaining_v1,usrem_0017,Playoff Birmingham Social House,3320 Market St,Birmingham,AL,52123,USA,33.59612,-86.856254,,
us_final_remaining_states_v1,18,country_curated_us_remaining_v1,usrem_0018,Victory Huntsville Grill,6532 College St,Huntsville,AL,95065,USA,34.690635,-86.514422,,
us_final_remaining_states_v1,19,country_curated_us_remaining_v1,usrem_0019,Rival Birmingham Sports Bar,1565 Liberty St,Birmingham,AL,15153,USA,33.456029,-86.811468,,
