import_batch_id,source_row_number,community_source,community_source_id,venue_name,address,city,state,zip_code,country,latitude,longitude,phone,website
virginia_production_v1,1,state_curated_virginia_v1,wing_zone_alexandria,Wing Zone,4110 Mount Vernon Avenue,Alexandria,VA,22305,USA,38.8435638,-77.0648263,+1-703-299-9464,https://orderonline.wingzone.com/items.aspx?store=2467
virginia_production_v1,2,state_curated_virginia_v1,buffalo_wild_wings_arlington,Buffalo Wild Wings,2450 Crystal Drive,Arlington,VA,22202-3887,USA,38.8530249,-77.0500684,+1 703-413-0160,https://www.buffalowildwings.com/locations/us/va/arlington/2450-crystal-dr/sports-bar-258
virginia_production_v1,3,state_curated_virginia_v1,carpool_arlington,Carpool,900 North Glebe Road,Arlington,VA,22203,USA,38.8807085,-77.1154646,+1-703-516-7665,https://www.gocarpool.com/
virginia_production_v1,4,state_curated_virginia_v1,crystal_city_sports_pub_arlington,Crystal City Sports Pub,529 23rd Street South,Arlington,VA,22202-2517,USA,38.8531332,-77.0545716,+1 703-521-8215,http://www.ccsportspub.com/
virginia_production_v1,5,state_curated_virginia_v1,dudley_s_sport_ale_arlington,Dudley's Sport & Ale,2766 South Arlington Mill Drive,Arlington,VA,22206,USA,38.8413020,-77.0883934,+1 571-312-2304,https://www.dudleyssportandale.com/
virginia_production_v1,6,state_curated_virginia_v1,first_down_sports_bar_and_grill_arlington,First Down Sports Bar and Grill,4213 Fairfax Drive,Arlington,VA,22203,USA,38.8824200,-77.1112540,+1-703-465-8888,https://www.firstdownsportsbar.com/
virginia_production_v1,7,state_curated_virginia_v1,hangry_joe_s_hot_chicken_wings_arlington,Hangry Joe's Hot Chicken & Wings,1301 South Joyce Street,Arlington,VA,22202,USA,38.8625540,-77.0633820,+1-571-560-7177,https://hangryjoes.com/best-chicken-sandwich-arlington-va-571-560-7177/
virginia_production_v1,8,state_curated_virginia_v1,lucky_strike_arlington_arlington,Lucky Strike Arlington,320 23rd Street South,Arlington,VA,22202,USA,38.8531453,-77.0516279,,https://www.bowlero.com/location/lucky-strike-arlington
virginia_production_v1,9,state_curated_virginia_v1,punch_bowl_social_arlington,Punch Bowl Social,4238 Wilson Boulevard,Arlington,VA,22203-1823,USA,38.8793060,-77.1099820,+1-571-297-7640,https://www.punchbowlsocial.com/location/arlington
virginia_production_v1,10,state_curated_virginia_v1,wingo_s_arlington,Wingo's,3207 O Street Northwest,Arlington,VA,,USA,38.9079644,-77.0639918,+1 202-878-6576,https://wingos.com/locations/georgetown/
virginia_production_v1,11,state_curated_virginia_v1,buffalo_wild_wings_falls_church,Buffalo Wild Wings,5275 Leesburg Pike,Falls Church,VA,22041,USA,38.8459503,-77.1199380,+1-703-820-1765,https://www.buffalowildwings.com/en/locations/detail/561/
virginia_production_v1,12,state_curated_virginia_v1,wingstop_falls_church,Wingstop,3521 South Jefferson Street,Falls Church,VA,22041,USA,38.8478505,-77.1174749,+1 703-998-9464,https://www.wingstop.com/location/wingstop-1080-bailey's-crossroads-va-22041/menu
virginia_production_v1,13,state_curated_virginia_v1,jbmhh_bowling_center_fort_myer,JBMHH Bowling Center,224 McNair Road,Fort Myer,VA,22211,USA,38.8779379,-77.0803486,+1-703-528-4766,https://jbmhh.armymwr.com/programs/bowling-center
