name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
"""Field of Dreams"" TV Show Filming Set",baseball,pitch,41.7849108,-93.6612528,,,IA,,false,true,false,openstreetmap
3,baseball,pitch,41.6550256,-93.6857041,,,IA,,false,true,false,openstreetmap
4,baseball,pitch,41.654629,-93.687186,,,IA,,false,true,false,openstreetmap
7,baseball,pitch,41.6557143,-93.6869643,,,IA,,false,true,false,openstreetmap
8,baseball,pitch,41.6557294,-93.6857242,,,IA,,false,true,false,openstreetmap
American Legion Field,baseball,pitch,41.8083656,-91.4995435,,,IA,,false,true,false,openstreetmap
American Little League,baseball,sports_centre,40.9973817,-92.4366866,,,IA,,false,true,false,openstreetmap
Ames High School Baseball Field,baseball,pitch,42.0482249,-93.6378994,,,IA,,false,true,false,openstreetmap
Amvets Fields,baseball,sports_centre,42.7225614,-92.4641572,,,IA,,false,true,false,openstreetmap
Ash Park Baseball Field,baseball,pitch,41.9287708,-91.4246048,,,IA,,false,true,false,openstreetmap
Babe Ruth Baseball,baseball,pitch,41.2846935,-92.6565739,,,IA,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,42.3554015,-93.1170164,,,IA,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,41.0756179,-94.3791344,,,IA,,false,true,false,openstreetmap
Baseball diamond 1,baseball,pitch,41.6761384,-91.5417876,,,IA,,false,true,false,openstreetmap
Baseball diamond 2,baseball,pitch,41.6761565,-91.5428496,,,IA,,false,true,false,openstreetmap
Baseball diamond 3,baseball,pitch,41.6757949,-91.5438675,,,IA,,false,true,false,openstreetmap
Baseball diamond 4,baseball,pitch,41.675231,-91.5435296,,,IA,,false,true,false,openstreetmap
Baseball diamond 5,baseball,pitch,41.675338,-91.542611,,,IA,,false,true,false,openstreetmap
Baseball diamond 6,baseball,pitch,41.6754542,-91.5415823,,,IA,,false,true,false,openstreetmap
Baseball diamond 7,baseball,pitch,41.6748934,-91.5421823,,,IA,,false,true,false,openstreetmap
Baseball diamond 8,baseball,pitch,41.674714,-91.5429716,,,IA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.5051373,-94.2985392,,,IA,,false,true,false,openstreetmap
Beaverdale Little League,baseball,sports_centre,41.6554031,-93.6865964,,,IA,,false,true,false,openstreetmap
Bellevue Baseball Field,baseball,pitch,42.2597866,-90.4315646,,,IA,,false,true,false,openstreetmap
Bellevue Softball Field,baseball,pitch,42.2603112,-90.4305994,,,IA,,false,true,false,openstreetmap
Bert Featheringill Field,baseball,pitch,40.6236272,-91.3482374,,,IA,,false,true,false,openstreetmap
Bill Follis Field,baseball,pitch,41.5054057,-90.6250982,,,IA,,false,true,false,openstreetmap
Billy Sunday Field,baseball,pitch,42.0185169,-93.4619345,,,IA,,false,true,false,openstreetmap
Bishop Mueller Baseball field,baseball,pitch,42.5241395,-96.4267968,,,IA,,false,true,false,openstreetmap
Bishop Mueller Softball field,baseball,pitch,42.5247923,-96.4262677,,,IA,,false,true,false,openstreetmap
Bobby Oldis Fields,baseball,sports_centre,41.6754062,-91.5427074,,,IA,,false,true,false,openstreetmap
Cap Timm Field,baseball,pitch,42.0180973,-93.6532596,,,IA,,false,true,false,openstreetmap
Carstens Family Field,baseball,pitch,41.5061489,-90.6255072,,,IA,,false,true,false,openstreetmap
Centennial Park Baseball Field #1,baseball,pitch,41.601938,-93.8674235,,,IA,,false,true,false,openstreetmap
Centennial Park Baseball Field #2,baseball,pitch,41.6020316,-93.8685167,,,IA,,false,true,false,openstreetmap
Chad Flora Field,baseball,pitch,41.8267551,-93.1419804,,,IA,,false,true,false,openstreetmap
Church League Softball,baseball,pitch,41.2831036,-92.6535969,,,IA,,false,true,false,openstreetmap
