name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,39.0242474,-94.8158294,,,KS,,false,true,false,openstreetmap
1,baseball,pitch,39.0394787,-94.8227229,,,KS,,false,true,false,openstreetmap
1,baseball,pitch,39.5704309,-95.1473402,,,KS,,false,true,false,openstreetmap
10,baseball,pitch,39.0250494,-94.8178142,,,KS,,false,true,false,openstreetmap
2,baseball,pitch,39.024993,-94.8164412,,,KS,,false,true,false,openstreetmap
2,baseball,pitch,39.0390709,-94.823772,,,KS,,false,true,false,openstreetmap
2,baseball,pitch,39.571456,-95.147322,,,KS,,false,true,false,openstreetmap
3,baseball,pitch,39.0254726,-94.8154806,,,KS,,false,true,false,openstreetmap
3,baseball,pitch,39.0385196,-94.8227163,,,KS,,false,true,false,openstreetmap
3,baseball,pitch,39.5714774,-95.1487286,,,KS,,false,true,false,openstreetmap
309,baseball,pitch,39.5704086,-95.1491567,,,KS,,false,true,false,openstreetmap
3rd Street Park,baseball,pitch,37.8384458,-94.6998549,,,KS,,false,true,false,openstreetmap
4,baseball,pitch,39.0247254,-94.8148708,,,KS,,false,true,false,openstreetmap
4,baseball,pitch,39.0380667,-94.8239816,,,KS,,false,true,false,openstreetmap
4,baseball,pitch,39.5714513,-95.1503596,,,KS,,false,true,false,openstreetmap
5,baseball,pitch,39.0236941,-94.8138924,,,KS,,false,true,false,openstreetmap
5,baseball,pitch,39.0370784,-94.8226947,,,KS,,false,true,false,openstreetmap
5,baseball,pitch,39.5704314,-95.1503859,,,KS,,false,true,false,openstreetmap
6,baseball,pitch,39.0229449,-94.8132711,,,KS,,false,true,false,openstreetmap
6,baseball,pitch,39.0370549,-94.8239706,,,KS,,false,true,false,openstreetmap
7,baseball,pitch,39.0224664,-94.8142311,,,KS,,false,true,false,openstreetmap
8,baseball,pitch,39.0232163,-94.8148466,,,KS,,false,true,false,openstreetmap
9,baseball,pitch,39.0241029,-94.8181251,,,KS,,false,true,false,openstreetmap
Al Ortolani Field,baseball,pitch,37.3854242,-94.6848572,,,KS,,false,true,false,openstreetmap
American Legion Baseball Park,baseball,pitch,38.3708662,-98.7999679,,,KS,,false,true,false,openstreetmap
Aubel Bickle North Field,baseball,pitch,38.8883973,-99.3112682,,,KS,,false,true,false,openstreetmap
Aubel Bickle Southeast Field,baseball,pitch,38.887109,-99.3104523,,,KS,,false,true,false,openstreetmap
Aubel Bickle Southwest Field,baseball,pitch,38.8871003,-99.3113854,,,KS,,false,true,false,openstreetmap
Bentwood Baseball Field,baseball,pitch,38.8903045,-94.7231301,,,KS,,false,true,false,openstreetmap
Bill Russell Field,baseball,pitch,37.4190542,-94.7124249,,,KS,,false,true,false,openstreetmap
Blue Field,baseball,pitch,39.2028395,-96.6181136,,,KS,,false,true,false,openstreetmap
Bluejay Baseball Field,baseball,pitch,38.3463996,-97.1998425,,,KS,,false,true,false,openstreetmap
BroncBuster Field,baseball,pitch,37.9709443,-100.8434681,,,KS,,false,true,false,openstreetmap
Bunk Bouronville Field,baseball,pitch,37.4217941,-94.7117766,,,KS,,false,true,false,openstreetmap
Cavalier FIeld,baseball,pitch,37.7788386,-100.0100776,,,KS,,false,true,false,openstreetmap
Cavaness Softball Field,baseball,pitch,38.7765911,-95.1800506,,,KS,,false,true,false,openstreetmap
Centennial Park NE Field,baseball,pitch,38.0638755,-97.334011,,,KS,,false,true,false,openstreetmap
Centennial Park NW Field,baseball,pitch,38.0637397,-97.3357721,,,KS,,false,true,false,openstreetmap
Centennial Park SE Field,baseball,pitch,38.0616526,-97.3336508,,,KS,,false,true,false,openstreetmap
Centennial Park SW Field,baseball,pitch,38.0617317,-97.3355308,,,KS,,false,true,false,openstreetmap
Cheryl Stice Field,baseball,pitch,37.419047,-94.7144268,,,KS,,false,true,false,openstreetmap
Clint Lightner Field,baseball,pitch,37.9601005,-100.8665935,,,KS,,false,true,false,openstreetmap
Cowley Coll Lady Tiger Softball Field,baseball,pitch,37.0592826,-97.0470362,,,KS,,false,true,false,openstreetmap
Dale Conner Field,baseball,pitch,37.42072,-94.7105678,,,KS,,false,true,false,openstreetmap
Dean Evans Stadium,baseball,pitch,38.8173691,-97.5631815,,,KS,,false,true,false,openstreetmap
Deramus Field,baseball,pitch,37.4213616,-94.6957757,,,KS,,false,true,false,openstreetmap
Derby High School Panther Field,baseball,pitch,37.5450419,-97.261184,,,KS,,false,true,false,openstreetmap
Diamond #1,baseball,pitch,39.1903887,-96.0719105,,,KS,,false,true,false,openstreetmap
Diamond #2,baseball,pitch,39.1899145,-96.0707201,,,KS,,false,true,false,openstreetmap
Diamond #3,baseball,pitch,39.1892708,-96.0702792,,,KS,,false,true,false,openstreetmap
Diamond #4,baseball,pitch,39.1894874,-96.0711759,,,KS,,false,true,false,openstreetmap
Diamond #5,baseball,pitch,39.1888027,-96.0723093,,,KS,,false,true,false,openstreetmap
Diamond 1,baseball,pitch,38.8830862,-99.3608861,,,KS,,false,true,false,openstreetmap
Diamond 2,baseball,pitch,38.8830756,-99.359244,,,KS,,false,true,false,openstreetmap
Diamond 3,baseball,pitch,38.8818184,-99.3592657,,,KS,,false,true,false,openstreetmap
Diamond 4,baseball,pitch,38.8818055,-99.3608654,,,KS,,false,true,false,openstreetmap
Diamond 5,baseball,pitch,38.880769,-99.363082,,,KS,,false,true,false,openstreetmap
Diamond 6,baseball,pitch,38.8807536,-99.361472,,,KS,,false,true,false,openstreetmap
Diamond 7,baseball,pitch,38.8795196,-99.3614874,,,KS,,false,true,false,openstreetmap
Diamond 8,baseball,pitch,38.8795051,-99.3630788,,,KS,,false,true,false,openstreetmap
Dr. Valis McLean Field,baseball,pitch,37.9374536,-95.394131,,,KS,,false,true,false,openstreetmap
ESU Baseball Fields,baseball,pitch,38.4204959,-96.1730419,,,KS,,false,true,false,openstreetmap
Eck Stadium,baseball,stadium,37.7220066,-97.2882041,,,KS,,false,true,false,openstreetmap
F10,baseball,pitch,38.8788145,-94.6972344,,,KS,,false,true,false,openstreetmap
F11,baseball,pitch,38.8794929,-94.6967533,,,KS,,false,true,false,openstreetmap
F12,baseball,pitch,38.8794713,-94.6955923,,,KS,,false,true,false,openstreetmap
F13,baseball,pitch,38.8795097,-94.6989779,,,KS,,false,true,false,openstreetmap
F14,baseball,pitch,38.8792421,-94.6993561,,,KS,,false,true,false,openstreetmap
F15,baseball,pitch,38.8796161,-94.6997936,,,KS,,false,true,false,openstreetmap
F16,baseball,pitch,38.8797011,-94.7018949,,,KS,,false,true,false,openstreetmap
F17,baseball,pitch,38.8807174,-94.7018786,,,KS,,false,true,false,openstreetmap
F18,baseball,pitch,38.8812094,-94.6939359,,,KS,,false,true,false,openstreetmap
F19,baseball,pitch,38.8805883,-94.6942674,,,KS,,false,true,false,openstreetmap
F2,baseball,pitch,38.8796373,-94.6883897,,,KS,,false,true,false,openstreetmap
F20,baseball,pitch,38.880831,-94.6950644,,,KS,,false,true,false,openstreetmap
F21,baseball,pitch,38.8814644,-94.6947513,,,KS,,false,true,false,openstreetmap
F22,baseball,pitch,38.8821965,-94.6941368,,,KS,,false,true,false,openstreetmap
F23,baseball,pitch,38.8821966,-94.6951487,,,KS,,false,true,false,openstreetmap
F24,baseball,pitch,38.8829818,-94.6951451,,,KS,,false,true,false,openstreetmap
F25,baseball,pitch,38.88298,-94.6941365,,,KS,,false,true,false,openstreetmap
F3,baseball,pitch,38.8796754,-94.6874184,,,KS,,false,true,false,openstreetmap
F4,baseball,pitch,38.8790567,-94.6874255,,,KS,,false,true,false,openstreetmap
F5,baseball,pitch,38.8794912,-94.6944,,,KS,,false,true,false,openstreetmap
F6,baseball,pitch,38.8788369,-94.6937616,,,KS,,false,true,false,openstreetmap
F7,baseball,pitch,38.8781373,-94.6942246,,,KS,,false,true,false,openstreetmap
F8,baseball,pitch,38.8781428,-94.6954383,,,KS,,false,true,false,openstreetmap
F9,baseball,pitch,38.8781388,-94.6967249,,,KS,,false,true,false,openstreetmap
Falley Field,baseball,pitch,39.0308444,-95.702899,,,KS,,false,true,false,openstreetmap
Falley Field,baseball,stadium,39.0308986,-95.7029634,,,KS,,false,true,false,openstreetmap
Fenway,baseball,pitch,39.0284391,-94.8156688,,,KS,,false,true,false,openstreetmap
Field #1,baseball,pitch,38.9771499,-94.8459581,,,KS,,false,true,false,openstreetmap
Field #2,baseball,pitch,38.9767524,-94.8450937,,,KS,,false,true,false,openstreetmap
Field #3,baseball,pitch,38.9760792,-94.8457039,,,KS,,false,true,false,openstreetmap
Field #4,baseball,pitch,38.9761313,-94.8475482,,,KS,,false,true,false,openstreetmap
Field 1,baseball,pitch,38.9717312,-94.7983768,,,KS,,false,true,false,openstreetmap
Field 1,baseball,pitch,39.1224814,-94.7869056,,,KS,,false,true,false,openstreetmap
Field 10,baseball,pitch,38.9819708,-94.8455099,,,KS,,false,true,false,openstreetmap
Field 11,baseball,pitch,38.9825419,-94.8455068,,,KS,,false,true,false,openstreetmap
Field 12,baseball,pitch,38.9819788,-94.8462478,,,KS,,false,true,false,openstreetmap
Field 13,baseball,pitch,38.9825606,-94.8462406,,,KS,,false,true,false,openstreetmap
Field 14,baseball,pitch,38.9820452,-94.8471239,,,KS,,false,true,false,openstreetmap
Field 15,baseball,pitch,38.9828828,-94.8471271,,,KS,,false,true,false,openstreetmap
Field 16,baseball,pitch,38.9820551,-94.8481799,,,KS,,false,true,false,openstreetmap
Field 17,baseball,pitch,38.9828205,-94.8481214,,,KS,,false,true,false,openstreetmap
Field 18,baseball,pitch,38.9837509,-94.84733,,,KS,,false,true,false,openstreetmap
Field 19,baseball,pitch,38.9847392,-94.8473274,,,KS,,false,true,false,openstreetmap
Field 2,baseball,pitch,38.9716311,-94.7998977,,,KS,,false,true,false,openstreetmap
Field 2,baseball,pitch,39.1213508,-94.7869112,,,KS,,false,true,false,openstreetmap
Field 20,baseball,pitch,38.9836731,-94.8487243,,,KS,,false,true,false,openstreetmap
Field 21,baseball,pitch,38.9847318,-94.8486168,,,KS,,false,true,false,openstreetmap
Field 22,baseball,pitch,38.9845801,-94.8497744,,,KS,,false,true,false,openstreetmap
Field 23,baseball,pitch,38.984291,-94.8508615,,,KS,,false,true,false,openstreetmap
Field 24,baseball,pitch,38.9832617,-94.8507126,,,KS,,false,true,false,openstreetmap
Field 25,baseball,pitch,38.9822931,-94.8503381,,,KS,,false,true,false,openstreetmap
Field 26,baseball,pitch,38.983026,-94.8491478,,,KS,,false,true,false,openstreetmap
Field 27,baseball,pitch,38.9827268,-94.8488495,,,KS,,false,true,false,openstreetmap
Field 3,baseball,pitch,38.9724898,-94.7992977,,,KS,,false,true,false,openstreetmap
Field 3,baseball,pitch,39.1224729,-94.7854555,,,KS,,false,true,false,openstreetmap
Field 4,baseball,pitch,38.9724495,-94.8003044,,,KS,,false,true,false,openstreetmap
Field 4,baseball,pitch,39.1213431,-94.7854652,,,KS,,false,true,false,openstreetmap
Field 5,baseball,pitch,38.9731686,-94.7993002,,,KS,,false,true,false,openstreetmap
Field 5,baseball,pitch,39.1218657,-94.7839087,,,KS,,false,true,false,openstreetmap
Field 6,baseball,pitch,38.9732015,-94.8003007,,,KS,,false,true,false,openstreetmap
Field 6,baseball,pitch,39.1207351,-94.7839143,,,KS,,false,true,false,openstreetmap
Field 7,baseball,pitch,38.9739704,-94.7988257,,,KS,,false,true,false,openstreetmap
