name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
A,baseball,pitch,42.0509093,-70.8393677,,,MA,,false,true,false,openstreetmap
A Field,baseball,pitch,42.4898081,-71.2865719,,,MA,,false,true,false,openstreetmap
Abercrombie Field,baseball,pitch,42.5750805,-72.583672,,,MA,,false,true,false,openstreetmap
Adams Field,baseball,pitch,42.2630205,-71.0064493,,,MA,,false,true,false,openstreetmap
Alcott Field,baseball,pitch,42.4539719,-71.3479484,,,MA,,false,true,false,openstreetmap
Allison Rollins Parade Field,baseball,pitch,41.7386143,-70.6249053,,,MA,,false,true,false,openstreetmap
Alumni Field,baseball,pitch,42.4072847,-71.1146477,,,MA,,false,true,false,openstreetmap
Alumni Memorial Field,baseball,pitch,42.5968087,-71.2087496,,,MA,,false,true,false,openstreetmap
American Little League,baseball,pitch,41.7154716,-71.1456666,,,MA,,false,true,false,openstreetmap
American Little League,baseball,pitch,41.715941,-71.1474555,,,MA,,false,true,false,openstreetmap
Anderson Field at Lincoln Commons,baseball,pitch,42.4252731,-71.0546849,,,MA,,false,true,false,openstreetmap
Andover High School Junior Varsity Baseball Field,baseball,pitch,42.65821,-71.153639,,,MA,,false,true,false,openstreetmap
Andover High School Varsity Baseball Field,baseball,pitch,42.6592685,-71.1556838,,,MA,,false,true,false,openstreetmap
Antonelli Memorial Field,baseball,pitch,42.6000002,-71.2107275,,,MA,,false,true,false,openstreetmap
Aprile Memorial Field,baseball,pitch,42.5345799,-71.1603736,,,MA,,false,true,false,openstreetmap
Archie Allen Baseball Field/Ability Field,baseball,pitch,42.1039341,-72.5584288,,,MA,,false,true,false,openstreetmap
Ardagna Field,baseball,pitch,42.4288674,-71.0241663,,,MA,,false,true,false,openstreetmap
Arnie Allen Diamond,baseball,pitch,41.5554889,-70.6037385,,,MA,,false,true,false,openstreetmap
Art King Field,baseball,pitch,42.3605249,-71.3603168,,,MA,,false,true,false,openstreetmap
Ayotte Field,baseball,pitch,42.6371181,-71.3870701,,,MA,,false,true,false,openstreetmap
B,baseball,pitch,42.0517812,-70.8393025,,,MA,,false,true,false,openstreetmap
B Field,baseball,pitch,42.4916079,-71.2834234,,,MA,,false,true,false,openstreetmap
Baker Baseball Field,baseball,pitch,42.6028606,-71.5689394,,,MA,,false,true,false,openstreetmap
Barton Field,baseball,pitch,42.3080395,-71.5323125,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,41.6420321,-70.3857907,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.1744633,-73.290102,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.173874,-73.2901425,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.1964766,-71.9066919,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.2420567,-71.9018948,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.24238,-71.90272,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.2425784,-71.9018874,,,MA,,false,true,false,openstreetmap
Baseball,baseball,pitch,42.2431391,-71.9027852,,,MA,,false,true,false,openstreetmap
Baseball Unlimited Training Center,baseball,sports_centre,42.3815561,-71.2395328,,,MA,,false,true,false,openstreetmap
Basketball Half Court,baseball,pitch,42.5250364,-71.273311,,,MA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,42.2308372,-71.2456918,,,MA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,42.5071339,-70.8858046,,,MA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,42.6134874,-71.2159244,,,MA,,false,true,false,openstreetmap
