name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,40.1192157,-82.9114202,,,OH,,false,true,false,openstreetmap
1,baseball,pitch,41.712983,-83.7553255,,,OH,,false,true,false,openstreetmap
1,baseball,pitch,40.0418202,-83.0211587,,,OH,,false,true,false,openstreetmap
2,baseball,pitch,40.1191014,-82.9107146,,,OH,,false,true,false,openstreetmap
2,baseball,pitch,41.7126906,-83.7541077,,,OH,,false,true,false,openstreetmap
2,baseball,pitch,40.0418902,-83.0223056,,,OH,,false,true,false,openstreetmap
3,baseball,pitch,40.1182141,-82.9106527,,,OH,,false,true,false,openstreetmap
3,baseball,pitch,41.7117877,-83.7544886,,,OH,,false,true,false,openstreetmap
3,baseball,pitch,40.0425107,-83.0222113,,,OH,,false,true,false,openstreetmap
4,baseball,pitch,41.7120459,-83.7556822,,,OH,,false,true,false,openstreetmap
4,baseball,pitch,40.0424878,-83.0213839,,,OH,,false,true,false,openstreetmap
5,baseball,pitch,41.7109927,-83.755178,,,OH,,false,true,false,openstreetmap
5,baseball,pitch,40.0418205,-83.0237064,,,OH,,false,true,false,openstreetmap
6,baseball,pitch,41.7108745,-83.7539978,,,OH,,false,true,false,openstreetmap
6,baseball,pitch,40.0415424,-83.0242592,,,OH,,false,true,false,openstreetmap
7,baseball,pitch,41.7099695,-83.7543464,,,OH,,false,true,false,openstreetmap
8,baseball,pitch,41.7101858,-83.7555723,,,OH,,false,true,false,openstreetmap
American Legion Post 183 Baeball Park,baseball,sports_centre,41.4162815,-83.4555586,,,OH,,false,true,false,openstreetmap
Angelo Gaudino Field,baseball,pitch,41.4253719,-81.7040357,,,OH,,false,true,false,openstreetmap
Ball Field #1,baseball,pitch,41.119832,-81.5229365,,,OH,,false,true,false,openstreetmap
Ball Field #2,baseball,pitch,41.1188302,-81.5239628,,,OH,,false,true,false,openstreetmap
Ball Field #3,baseball,pitch,41.1190977,-81.523014,,,OH,,false,true,false,openstreetmap
Ball Field #4,baseball,pitch,41.1231631,-81.5227683,,,OH,,false,true,false,openstreetmap
Barker Field,baseball,pitch,40.1130856,-83.2738138,,,OH,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,39.6803211,-84.1480538,,,OH,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,39.6796006,-84.1482137,,,OH,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,41.6856441,-83.7159787,,,OH,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,40.0876532,-82.8128071,,,OH,,false,true,false,openstreetmap
