name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Allatoona Landing Marine Resort Campground,basketball,pitch,34.1086655,-84.711767,,,GA,,false,true,false,openstreetmap
Anthony Recreation Center,basketball,sports_centre,34.2827678,-85.2377314,,,GA,,false,true,false,openstreetmap
Atco Baptist Church,basketball,pitch,34.1805294,-84.8222996,,,GA,,false,true,false,openstreetmap
Athens Ridge Townhomes,basketball,pitch,33.9071497,-83.396756,,,GA,,false,true,false,openstreetmap
Avery Elementary School,basketball,pitch,34.2160918,-84.394069,,,GA,,false,true,false,openstreetmap
Avery Elementary School,basketball,pitch,34.2160921,-84.3939376,,,GA,,false,true,false,openstreetmap
Avery Elementary School,basketball,pitch,34.2160925,-84.3938062,,,GA,,false,true,false,openstreetmap
Ball Ground Elementary School STEM Academy,basketball,pitch,34.3315459,-84.3843897,,,GA,,false,true,false,openstreetmap
Ball Ground Elementary School STEM Academy,basketball,pitch,34.3316851,-84.3842413,,,GA,,false,true,false,openstreetmap
Basketball,basketball,pitch,32.5717477,-82.1613147,,,GA,,false,true,false,openstreetmap
Basketball,basketball,pitch,32.5718403,-82.1615136,,,GA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,33.7656163,-84.3387173,,,GA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,34.0611767,-84.7474589,,,GA,,false,true,false,openstreetmap
Basketball Court  #2,basketball,pitch,31.8505562,-81.5840978,,,GA,,false,true,false,openstreetmap
Basketball Court #1,basketball,pitch,31.8506847,-81.5841734,,,GA,,false,true,false,openstreetmap
Basketball Court 1,basketball,pitch,31.8495208,-81.7020668,,,GA,,false,true,false,openstreetmap
Basketball Court 2,basketball,pitch,31.8495936,-81.7022049,,,GA,,false,true,false,openstreetmap
Basketball at Howard Peeple's Park,basketball,pitch,30.8009999,-81.6352136,,,GA,,false,true,false,openstreetmap
Bentwater Drive Basketball Court,basketball,pitch,34.0526657,-84.7683604,,,GA,,false,true,false,openstreetmap
Brownwood Park Basketball Courts,basketball,pitch,33.7384359,-84.3467308,,,GA,,false,true,false,openstreetmap
Calhoun Housing Authority,basketball,pitch,34.4970012,-84.960914,,,GA,,false,true,false,openstreetmap
Cambridge Apartments,basketball,pitch,33.9262463,-83.3448819,,,GA,,false,true,false,openstreetmap
Church Street Park basketball court,basketball,pitch,33.4500767,-84.4522237,,,GA,,false,true,false,openstreetmap
City of Atlanta,basketball,pitch,33.7770676,-84.4591354,,,GA,,true,false,false,openstreetmap
Cliftondale Basketball Courts,basketball,pitch,33.6521902,-84.5978868,,,GA,,false,true,false,openstreetmap
Community Basketball Court,basketball,pitch,34.1185745,-84.1163063,,,GA,,false,true,false,openstreetmap
Community Basketball Half-Court,basketball,pitch,34.1214309,-84.1288967,,,GA,,false,true,false,openstreetmap
Court 1,basketball,pitch,31.616116,-81.8802373,,,GA,,false,true,false,openstreetmap
Court 3,basketball,pitch,31.6158765,-81.8799449,,,GA,,false,true,false,openstreetmap
Court2,basketball,pitch,31.6160133,-81.8801213,,,GA,,false,true,false,openstreetmap
Craig Elementary School,basketball,pitch,33.9027781,-84.0190745,,,GA,,false,true,false,openstreetmap
Dellinger Park,basketball,pitch,34.1381985,-84.8148795,,,GA,,false,true,false,openstreetmap
Dellinger Park,basketball,pitch,34.1382221,-84.814699,,,GA,,false,true,false,openstreetmap
Doerun Elementary School,basketball,pitch,31.328409,-83.9182995,,,GA,,false,true,false,openstreetmap
Doerun Elementary School,basketball,pitch,31.3284012,-83.9181588,,,GA,,false,true,false,openstreetmap
Eagle Park,basketball,pitch,34.4658266,-84.4320398,,,GA,,false,true,false,openstreetmap
East Roswell Recreation Center,basketball,sports_centre,34.0006204,-84.2968884,,,GA,,false,true,false,openstreetmap
Edward's Chapel Baptist Church,basketball,pitch,33.9158224,-83.3994315,,,GA,,false,true,false,openstreetmap
Fair Oaks Park,basketball,pitch,33.9170753,-84.5632131,,,GA,,false,true,false,openstreetmap
First Baptist Basketball Court,basketball,pitch,31.8492159,-81.594414,,,GA,,false,true,false,openstreetmap
Glenloch Basketball Court,basketball,pitch,33.4064316,-84.5626041,,,GA,,false,true,false,openstreetmap
Great Festival Park,basketball,pitch,34.3050616,-84.610483,,,GA,,false,true,false,openstreetmap
Gymnasium,basketball,sports_centre,33.9010964,-84.1323875,,,GA,,false,true,false,openstreetmap
HUMC Basketball Court,basketball,pitch,31.849618,-81.5966511,,,GA,,false,true,false,openstreetmap
Haralson County High School,basketball,sports_centre,33.7641242,-85.245083,,,GA,,false,true,false,openstreetmap
Henry Memorial Park,basketball,pitch,33.9467086,-84.555314,,,GA,,false,true,false,openstreetmap
Henry Memorial Park,basketball,pitch,33.9464281,-84.5553127,,,GA,,false,true,false,openstreetmap
Hillary Basketball Court #1,basketball,pitch,31.7753881,-81.620925,,,GA,,false,true,false,openstreetmap
Hillary Basketball Court #2,basketball,pitch,31.7753039,-81.6210887,,,GA,,false,true,false,openstreetmap
Hoover Gymnasium,basketball,fitness_centre,33.9690734,-84.2145299,,,GA,,false,true,false,openstreetmap
Hurt Road Park,basketball,pitch,33.8651328,-84.5827702,,,GA,,false,true,false,openstreetmap
Indoor Basketball,basketball,pitch,31.549829,-84.0452885,,,GA,,false,true,false,openstreetmap
JFP Basketball Court,basketball,pitch,31.7868382,-81.6205604,,,GA,,false,true,false,openstreetmap
James Creek Basketball Courts,basketball,pitch,34.1311534,-84.135316,,,GA,,false,true,false,openstreetmap
Laurel Park,basketball,pitch,33.949265,-84.5721745,,,GA,,false,true,false,openstreetmap
Lion's Park Basketball court,basketball,pitch,30.7963477,-81.6790936,,,GA,,false,true,false,openstreetmap
Living Hope Church,basketball,pitch,33.9441025,-83.3429987,,,GA,,false,true,false,openstreetmap
Matthew Hill Park,basketball,pitch,34.1736493,-84.8047318,,,GA,,false,true,false,openstreetmap
Mattie Wells Community Center Basketball Court,basketball,pitch,32.8932188,-83.5316809,,,GA,,false,true,false,openstreetmap
Midtown High School Gymnasium,basketball,stadium,33.7811927,-84.3716214,,,GA,,false,true,false,openstreetmap
Mountainbrook Basketball Court,basketball,pitch,34.2464425,-84.8084622,,,GA,,false,true,false,openstreetmap
North Avenue Apartments Gym,basketball,fitness_centre,33.770057,-84.3910205,120 North Avenue,,GA,,false,true,false,openstreetmap
OTE Arena,basketball,pitch,33.7907861,-84.3964275,,,GA,,false,true,false,openstreetmap
Osborne Park,basketball,pitch,34.1447137,-84.930825,,,GA,,false,true,false,openstreetmap
Outdoor Basketball Court,basketball,pitch,32.0524417,-84.215626,,,GA,,false,true,false,openstreetmap
Pebblepocket Basketball Court,basketball,pitch,33.3977704,-84.5832805,,,GA,,false,true,false,openstreetmap
Poolside Ridge,basketball,pitch,34.9664055,-84.3268572,,,GA,,false,true,false,openstreetmap
Raider Arena,basketball,pitch,34.277903,-84.1085693,,,GA,,false,true,false,openstreetmap
Recreation Department Office/ Basketball Complex,basketball,sports_centre,32.9838969,-82.790068,,,GA,,false,true,false,openstreetmap
Rev. W.D. Kent Parek Basketball Courts,basketball,pitch,32.4461018,-81.7919328,,,GA,,false,true,false,openstreetmap
River Club Apartments,basketball,pitch,33.9116768,-83.3957472,,,GA,,false,true,false,openstreetmap
River Park,basketball,pitch,34.1388773,-84.5138176,,,GA,,false,true,false,openstreetmap
River Park,basketball,pitch,34.1387799,-84.5136864,,,GA,,false,true,false,openstreetmap
Riverbend Club,basketball,pitch,33.9259078,-83.3691479,,,GA,,false,true,false,openstreetmap
Roper Park,basketball,pitch,34.4429233,-84.4215237,,,GA,,false,true,false,openstreetmap
Rose Garden Park,basketball,pitch,33.8866273,-84.4978583,,,GA,,false,true,false,openstreetmap
Saint Stephen Basketball Court,basketball,pitch,31.8505376,-81.5889815,,,GA,,false,true,false,openstreetmap
Sanctuary of Pentecost,basketball,pitch,34.1056575,-83.7602584,,,GA,,false,true,false,openstreetmap
Southside Church Basketball Court,basketball,pitch,33.3855735,-84.5393154,,,GA,,false,true,false,openstreetmap
Taylor Road Middle School,basketball,pitch,34.0528889,-84.2080453,,,GA,,false,true,false,openstreetmap
Ted Wright Basketball Court,basketball,pitch,32.5632689,-83.6255898,,,GA,,false,true,false,openstreetmap
The Court at Pi Kappa Alpha,basketball,pitch,33.7766848,-84.3950176,,,GA,,false,true,false,openstreetmap
The Foundry,basketball,pitch,33.5939556,-85.1028674,,,GA,,false,true,false,openstreetmap
The Hickory Flat Gym,basketball,pitch,34.1703095,-84.423976,,,GA,,false,true,false,openstreetmap
The Manor Golf & Country Club,basketball,pitch,34.1684924,-84.2596774,,,GA,,false,true,false,openstreetmap
The Reserve at Athens,basketball,pitch,33.926062,-83.3481163,,,GA,,false,true,false,openstreetmap
Three Chimneys Farm Basketball Court,basketball,pitch,34.119347,-84.145716,,,GA,,false,true,false,openstreetmap
Tom Pittman Recreation Center,basketball,pitch,34.0418467,-85.0599897,,,GA,,false,true,false,openstreetmap
Tom Pittman Recreation Center,basketball,pitch,34.041847,-85.0598485,,,GA,,false,true,false,openstreetmap
Unity Church of God Gymnasium,basketball,sports_hall,31.5970455,-81.9119717,,,GA,,false,true,false,openstreetmap
University Commons Basketball Court,basketball,pitch,33.9393443,-84.5179701,,,GA,,false,true,false,openstreetmap
West 22 Basketball Court,basketball,pitch,34.0421646,-84.6065525,,,GA,,false,true,false,openstreetmap
West Dixie Park,basketball,pitch,33.9422219,-84.5492111,,,GA,,false,true,false,openstreetmap
Whitemarsh Island Neighborhood Park,basketball,pitch,32.042859,-80.9980708,,,GA,,false,true,false,openstreetmap
Windermere Basketball Court,basketball,pitch,34.1351263,-84.1240413,,,GA,,false,true,false,openstreetmap
Zelnak Basketball Practice Facility,basketball,sports_centre,33.7799228,-84.3922851,,,GA,,false,true,false,openstreetmap
chatham county basketball court,basketball,pitch,31.9541274,-81.0930812,,,GA,,false,true,false,openstreetmap
Polo Club,basketball,pitch,33.9239603,-83.3452075,110 International Drive,Athens,GA,30605,false,true,false,openstreetmap
The Coliseum,basketball,sports_centre,33.5759808,-85.1039327,325 West Georgia Drive,Carrollton,GA,,false,true,false,openstreetmap
Maurice Heard Gymnasium,basketball,sports_hall,34.1735746,-84.804094,25 Aubrey Street,Cartersville,GA,30120,false,true,false,openstreetmap
S2 - Gymnasium,basketball,sports_centre,33.9358172,-84.5183722,635 Walter Kelly Road,Marietta,GA,30060,false,true,false,openstreetmap
Freedom Park Basketball Court,basketball,pitch,30.9129474,-83.2485853,3795 Guest Road,Valdosta,GA,31605,false,true,false,openstreetmap
