name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1099 Court,basketball,pitch,40.2746023,-111.724237,,,UT,,false,true,false,openstreetmap
Auburn fields basketball,basketball,pitch,40.5397729,-111.8752109,,,UT,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,39.3590255,-111.5781566,,,UT,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,40.6161558,-112.046434,,,UT,,false,true,false,openstreetmap
Basketball court,basketball,pitch,40.6015684,-111.8878909,,,UT,,false,true,false,openstreetmap
Bryce Canyon City Park Junior Basketball Courts,basketball,pitch,37.6756879,-112.1564718,,,UT,,false,true,false,openstreetmap
Burns Arena,basketball,stadium,37.1014828,-113.5670324,,,UT,,false,true,false,openstreetmap
Chambery Basketball Court,basketball,pitch,40.2721071,-111.722158,,,UT,,false,true,false,openstreetmap
Chestnut Farms Basketball Court,basketball,pitch,40.9757204,-111.9145042,,,UT,,false,true,false,openstreetmap
Electric Court,basketball,pitch,40.3666823,-111.9698962,,,UT,,false,true,false,openstreetmap
Highlands Court,basketball,pitch,40.3730147,-111.971937,,,UT,,false,true,false,openstreetmap
Ideal Beach Basketball,basketball,pitch,41.9061273,-111.3762759,,,UT,,false,true,false,openstreetmap
NUVI Basketball Center,basketball,sports_centre,40.2778763,-111.7169221,,,UT,,false,true,false,openstreetmap
Nay Family Ball Court,basketball,pitch,40.4866598,-111.9491522,,,UT,,false,true,false,openstreetmap
Oakhurst Basketball Court,basketball,pitch,40.2727818,-111.7199979,,,UT,,false,true,false,openstreetmap
Outdoor Basketball Court,basketball,pitch,40.2413015,-111.6505287,,,UT,,false,true,false,openstreetmap
Riverbend Basketball Court,basketball,pitch,40.3827083,-111.9128362,,,UT,,false,true,false,openstreetmap
Skyline High Basketball Courts/Indoor Track,basketball,pitch,40.6920901,-111.8015332,,,UT,,false,true,false,openstreetmap
Sun Court,basketball,pitch,38.5736713,-109.5473917,,,UT,,false,true,false,openstreetmap
The Church of Jesus Christ of Latter-day Saints,basketball,pitch,40.1772596,-111.6023964,,,UT,,false,true,false,openstreetmap
Tuscany Park Basketball Court,basketball,pitch,41.0809482,-112.0926591,,,UT,,false,true,false,openstreetmap
US Synthetic Basketball Court,basketball,pitch,40.2722654,-111.735151,,,UT,,false,true,false,openstreetmap
Wolverine Crossing Court,basketball,pitch,40.2775702,-111.7256656,,,UT,,false,true,false,openstreetmap
Dee Events Center,basketball,stadium,41.1823823,-111.9450068,4444 Event Center Drive,Ogden,UT,84408,false,true,false,openstreetmap
Marriott Center,basketball,stadium,40.2540698,-111.6493618,500 East University Parkway,Provo,UT,84602,false,true,false,openstreetmap
Alta Canyon Sports Center,basketball,sports_centre,40.5775796,-111.8332787,9565 South Highland Drive,Sandy,UT,84092,false,true,false,openstreetmap
Industry Courts,basketball,pitch,40.6613988,-111.9402465,4962 South Redwood Road,Taylorsville,UT,84123,false,true,false,openstreetmap
Dow James Building,basketball,sports_centre,40.5394733,-112.3090083,438 West 400 North,Tooele,UT,84074,false,true,false,openstreetmap
