name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1 Green,golf,pitch,28.6880649,-81.3761554,,,FL,,false,true,false,openstreetmap
2/7 Double Green,golf,pitch,27.4082698,-82.3855969,,,FL,,false,true,false,openstreetmap
Atlantic Beach Country Club,golf,golf_course,30.3434198,-81.408086,,,FL,,false,true,false,openstreetmap
Club Champion,golf,pitch,30.391614,-86.4300748,,,FL,,false,true,false,openstreetmap
Downs Golf Practice Facility,golf,pitch,28.0450777,-82.6474803,,,FL,,false,true,false,openstreetmap
Golden Eagle Golf Course,golf,golf_course,30.5955598,-84.2382294,,,FL,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,26.2169159,-81.7701073,,,FL,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,28.5481398,-81.6609257,,,FL,,false,true,false,openstreetmap
Golf Outlet,golf,pitch,28.3801995,-81.5004655,8696 Vineland Avenue,,FL,,false,true,false,openstreetmap
Green Chasers Golf Range,golf,pitch,28.2252577,-82.2317824,Pure Water Way,,FL,,false,true,false,openstreetmap
Hall of Fame Putting Green,golf,miniature_golf,29.9908964,-81.4693256,,,FL,,false,true,false,openstreetmap
Heritage Palms Golf & Country Club,golf,golf_course,26.5882102,-81.8255738,,,FL,,false,true,false,openstreetmap
IMG Golf Academy,golf,pitch,27.4390615,-82.6063714,,,FL,,false,true,false,openstreetmap
Ocean Breeze Golf & Country Club,golf,golf_course,26.4031815,-80.0844809,,,FL,,false,true,false,openstreetmap
PGA TOUR Superstore,golf,pitch,26.4388604,-80.0838258,1040 Linton Boulevard,,FL,,false,true,false,openstreetmap
PGA Tour Superstore,golf,pitch,26.1734275,-81.8008474,Tamiami Trail North,,FL,,false,true,false,openstreetmap
PGA Tour Superstore,golf,pitch,30.2565839,-81.534065,,,FL,,false,true,false,openstreetmap
PGA Tour Superstore,golf,pitch,28.6649825,-81.3804169,,,FL,,false,true,false,openstreetmap
PGA Tour Superstore,golf,pitch,27.3894193,-82.4522673,,,FL,,false,true,false,openstreetmap
Palm Beach Polo Driving Course - West,golf,pitch,26.6457472,-80.2560018,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,26.7126947,-80.2371983,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,30.1759157,-85.7948326,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,30.4009839,-86.3168372,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,30.209052,-85.8416292,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,26.8754009,-80.0880188,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,26.8749815,-80.0872435,,,FL,,false,true,false,openstreetmap
Practice Green,golf,pitch,26.8883975,-80.0895387,,,FL,,false,true,false,openstreetmap
Practice Putting green,golf,pitch,30.5784374,-87.2719437,,,FL,,false,true,false,openstreetmap
Putting Green,golf,pitch,26.5824966,-80.1797523,,,FL,,false,true,false,openstreetmap
Putting Green,golf,pitch,26.6605121,-80.157889,,,FL,,false,true,false,openstreetmap
Putting Green,golf,pitch,28.2618065,-81.6288021,,,FL,,false,true,false,openstreetmap
Putting Green,golf,pitch,26.1256915,-80.3193634,,,FL,,false,true,false,openstreetmap
Royal Lakes,golf,pitch,27.4069293,-82.376487,,,FL,,false,true,false,openstreetmap
Saint James Bay Golf Resort,golf,golf_course,29.9022059,-84.5618941,,,FL,,false,true,false,openstreetmap
Swisher Golf Practice Facility,golf,practice_pitch,30.3488416,-81.6095767,,,FL,,false,true,false,openstreetmap
The Breakers Sports Pro Shop,golf,pitch,26.7159877,-80.0381237,,,FL,,false,true,false,openstreetmap
The National Golf & Country Club,golf,pitch,26.3360463,-81.4378778,,,FL,,false,true,false,openstreetmap
Topgolf,golf,sports_centre,26.6102846,-81.8041693,,,FL,,false,true,false,openstreetmap
Topgolf,golf,sports_centre,25.793563,-80.3877528,,,FL,,false,true,false,openstreetmap
Topgolf Miami Gardens,golf,golf_course,25.9331418,-80.2081323,,,FL,,false,true,false,openstreetmap
Topgolf Orlando,golf,sports_centre,28.43605,-81.4635267,,,FL,,false,true,false,openstreetmap
Topgolf Orlando,golf,pitch,28.4368988,-81.4633339,,,FL,,false,true,false,openstreetmap
Village Golf Club,golf,pitch,26.7163549,-80.2258068,,,FL,,false,true,false,openstreetmap
bag drop,golf,pitch,26.7161404,-80.2259849,,,FL,,false,true,false,openstreetmap
practice green,golf,pitch,28.0490655,-80.5501543,,,FL,,false,true,false,openstreetmap
Pinebrook Ironwood Golf Club,golf,golf_course,27.4667159,-82.6080812,4260 Ironwood Cir,Bradenton,FL,,false,true,false,openstreetmap
West Coast Carts,golf,pitch,27.4944481,-82.5736905,538 12th St W,Bradenton,FL,34205,false,true,false,openstreetmap
Eagle Trace Golf Club,golf,golf_course,26.2511211,-80.2879238,1111 Eagle Trace Blvd W,Coral Springs,FL,33071,false,true,false,openstreetmap
Club Champion,golf,pitch,26.4548502,-80.1885664,14917 Lyons Road,Delray Beach,FL,33446,false,true,false,openstreetmap
PGA Tour Superstore,golf,pitch,26.4032903,-81.8073764,23130 Fashion Dr,Estero,FL,33928,false,true,false,openstreetmap
Eastwood Golf Course,golf,golf_course,26.6177735,-81.8176363,3380 Oritz Avenue,Fort Myers,FL,33916,false,true,false,openstreetmap
Eastwood Golf Course,golf,golf_course,26.6262821,-81.8133534,3380 Oritz Avenue,Fort Myers,FL,33916,false,true,false,openstreetmap
Golf Practice Facility,golf,pitch,29.6474551,-82.3688068,,Gainesville,FL,32611,false,true,false,openstreetmap
