name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Anchor,golf,pitch,41.6971649,-87.5793963,,,IL,,false,true,false,openstreetmap
Bauer Golf,golf,pitch,40.5000489,-88.994748,,,IL,,false,true,false,openstreetmap
Beach,golf,pitch,41.6949976,-87.5803558,,,IL,,false,true,false,openstreetmap
Buccaneers Cove,golf,pitch,41.6891892,-87.5882337,,,IL,,false,true,false,openstreetmap
Cast Off,golf,pitch,41.6914364,-87.5890556,,,IL,,false,true,false,openstreetmap
Club Champion,golf,pitch,41.7527937,-87.9429572,,,IL,,false,true,false,openstreetmap
Club House,golf,pitch,39.8027493,-88.9912719,,,IL,,false,true,false,openstreetmap
Clubhouse 540,golf,sports_centre,41.7781806,-88.1107935,,,IL,,true,false,false,openstreetmap
Deception,golf,pitch,41.6984047,-87.5911388,,,IL,,false,true,false,openstreetmap
Decision,golf,pitch,41.7773694,-88.1265117,,,IL,,false,true,false,openstreetmap
Driving Range,golf,pitch,41.8496292,-87.9064689,,,IL,,false,true,false,openstreetmap
Driving Range,golf,pitch,40.7035693,-89.4366959,,,IL,,false,true,false,openstreetmap
Driving Range,golf,pitch,41.6339234,-87.7460794,,,IL,,false,true,false,openstreetmap
Driving Range,golf,pitch,41.9188797,-87.8304227,,,IL,,false,true,false,openstreetmap
Driving Range,golf,pitch,41.967075,-87.7955546,,,IL,,false,true,false,openstreetmap
Edge,golf,pitch,41.6962767,-87.5826625,,,IL,,false,true,false,openstreetmap
Edwin Watts Golf,golf,pitch,41.7567071,-87.9439347,,,IL,,false,true,false,openstreetmap
Elevation Golf,golf,sports_centre,41.7544173,-87.9117482,,,IL,,false,true,false,openstreetmap
Emerald Isle,golf,pitch,41.6966987,-87.5852688,,,IL,,false,true,false,openstreetmap
Far,golf,pitch,41.6978159,-87.5870832,,,IL,,false,true,false,openstreetmap
Five of a Kind,golf,pitch,41.6975572,-87.5887944,,,IL,,false,true,false,openstreetmap
Gof Mohr Golf Course,golf,golf_course,41.5528244,-90.3813451,,,IL,,false,true,false,openstreetmap
Golf Etc.,golf,pitch,40.1377866,-88.261017,,,IL,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,41.6044266,-87.8545243,,,IL,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,38.5964115,-89.9871853,,,IL,,false,true,false,openstreetmap
Golf Nation,golf,sports_centre,42.1173628,-88.0623332,,,IL,,false,true,false,openstreetmap
Half Mast,golf,pitch,41.6878834,-87.5938441,,,IL,,false,true,false,openstreetmap
Hard Alee,golf,pitch,41.6884687,-87.591853,,,IL,,false,true,false,openstreetmap
Horizon,golf,pitch,41.7003578,-87.5816555,,,IL,,false,true,false,openstreetmap
ISU Golf Course Pro Shop,golf,pitch,40.5176535,-89.004493,,,IL,,false,true,false,openstreetmap
Indoor Golf Dome,golf,sports_centre,41.9425482,-88.0097889,,,IL,,false,true,false,openstreetmap
Land's End,golf,pitch,41.6943704,-87.5781547,,,IL,,false,true,false,openstreetmap
Lauritsen/Wohlers Outdoor Practice Facility,golf,sports_centre,40.0931968,-88.2263344,,,IL,,false,true,false,openstreetmap
Liberty Call,golf,pitch,41.6933041,-87.5856735,,,IL,,false,true,false,openstreetmap
Marooned,golf,pitch,41.6878545,-87.5954537,,,IL,,false,true,false,openstreetmap
Mate's Choice,golf,pitch,41.6989928,-87.5828698,,,IL,,false,true,false,openstreetmap
More Sand,golf,pitch,41.689352,-87.5910931,,,IL,,false,true,false,openstreetmap
Narrow Passage,golf,pitch,41.7021495,-87.5855603,,,IL,,false,true,false,openstreetmap
Northern Exposure,golf,pitch,41.6990717,-87.5900094,,,IL,,false,true,false,openstreetmap
